B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballet	butterfly	Medley_Relay	50	0.05
dancer	ballet	butterfly	dragonfly	57	0.057
dancer	ballet	butterfly	freestyle	131	0.131
dancer	ballet	butterfly	backstroke	80	0.08
dancer	ballet	butterfly	recordholder_Ian	85	0.085
dancer	ballet	butterfly	breaststroke	70	0.07
dancer	ballet	butterfly	chrysalides	68	0.068
dancer	ballet	butterfly	Individual_Medley	57	0.057
dancer	ballet	NA	NA	402	0.402
dancer	ballerina	butterfly	freestyle	90	0.09
dancer	ballerina	butterfly	chrysalides	71	0.071
dancer	ballerina	butterfly	Medley_Relay	33	0.033
dancer	ballerina	butterfly	backstroke	93	0.093
dancer	ballerina	butterfly	dragonfly	97	0.097
dancer	ballerina	butterfly	Individual_Medley	51	0.051
dancer	ballerina	butterfly	breaststroke	69	0.069
dancer	ballerina	butterfly	recordholder_Ian	94	0.094
dancer	ballerina	NA	NA	402	0.402
ballet	ballerina	Medley_Relay	freestyle	21	0.021
ballet	ballerina	dragonfly	chrysalides	32	0.032
ballet	ballerina	freestyle	Medley_Relay	12	0.012
ballet	ballerina	backstroke	freestyle	20	0.02
ballet	ballerina	recordholder_Ian	backstroke	23	0.023
ballet	ballerina	freestyle	backstroke	36	0.036
ballet	ballerina	breaststroke	dragonfly	13	0.013
ballet	ballerina	freestyle	Individual_Medley	20	0.02
ballet	ballerina	recordholder_Ian	chrysalides	14	0.014
ballet	ballerina	chrysalides	dragonfly	37	0.037
ballet	ballerina	recordholder_Ian	dragonfly	17	0.017
ballet	ballerina	dragonfly	breaststroke	6	0.006
ballet	ballerina	dragonfly	recordholder_Ian	6	0.006
ballet	ballerina	freestyle	recordholder_Ian	21	0.021
ballet	ballerina	Individual_Medley	freestyle	21	0.021
ballet	ballerina	dragonfly	Medley_Relay	3	0.003
ballet	ballerina	Individual_Medley	breaststroke	9	0.009
ballet	ballerina	chrysalides	recordholder_Ian	11	0.011
ballet	ballerina	recordholder_Ian	breaststroke	11	0.011
ballet	ballerina	recordholder_Ian	Individual_Medley	8	0.008
ballet	ballerina	dragonfly	backstroke	6	0.006
ballet	ballerina	backstroke	Medley_Relay	9	0.009
ballet	ballerina	breaststroke	recordholder_Ian	22	0.022
ballet	ballerina	backstroke	dragonfly	9	0.009
ballet	ballerina	freestyle	breaststroke	24	0.024
ballet	ballerina	breaststroke	freestyle	13	0.013
ballet	ballerina	chrysalides	backstroke	5	0.005
ballet	ballerina	chrysalides	Medley_Relay	1	0.001
ballet	ballerina	Medley_Relay	backstroke	9	0.009
ballet	ballerina	Medley_Relay	breaststroke	10	0.01
ballet	ballerina	Individual_Medley	backstroke	8	0.008
ballet	ballerina	chrysalides	freestyle	7	0.007
ballet	ballerina	backstroke	recordholder_Ian	21	0.021
ballet	ballerina	recordholder_Ian	Medley_Relay	5	0.005
ballet	ballerina	recordholder_Ian	freestyle	7	0.007
ballet	ballerina	Individual_Medley	recordholder_Ian	9	0.009
ballet	ballerina	freestyle	chrysalides	6	0.006
ballet	ballerina	backstroke	chrysalides	6	0.006
ballet	ballerina	freestyle	dragonfly	12	0.012
ballet	ballerina	backstroke	breaststroke	4	0.004
ballet	ballerina	Medley_Relay	dragonfly	3	0.003
ballet	ballerina	breaststroke	chrysalides	8	0.008
ballet	ballerina	chrysalides	breaststroke	5	0.005
ballet	ballerina	Medley_Relay	recordholder_Ian	4	0.004
ballet	ballerina	breaststroke	backstroke	6	0.006
ballet	ballerina	Medley_Relay	Individual_Medley	1	0.001
ballet	ballerina	breaststroke	Individual_Medley	6	0.006
ballet	ballerina	chrysalides	Individual_Medley	2	0.002
ballet	ballerina	Individual_Medley	chrysalides	3	0.003
ballet	ballerina	backstroke	Individual_Medley	11	0.011
ballet	ballerina	Medley_Relay	chrysalides	2	0.002
ballet	ballerina	dragonfly	freestyle	1	0.001
ballet	ballerina	Individual_Medley	dragonfly	6	0.006
ballet	ballerina	dragonfly	Individual_Medley	3	0.003
ballet	ballerina	Individual_Medley	Medley_Relay	1	0.001
ballet	ballerina	breaststroke	Medley_Relay	2	0.002
ballet	ballerina	NA	NA	402	0.402
