B_dom	B_cod	A_dom	A_cod	count	probability
ballet	choreographer	recordholder_Ian	chrysalides	5	0.005
ballet	choreographer	backstroke	freestyle	18	0.018
ballet	choreographer	dragonfly	chrysalides	23	0.023
ballet	choreographer	freestyle	Medley_Relay	17	0.017
ballet	choreographer	dragonfly	freestyle	10	0.01
ballet	choreographer	recordholder_Ian	backstroke	22	0.022
ballet	choreographer	breaststroke	Medley_Relay	12	0.012
ballet	choreographer	freestyle	chrysalides	12	0.012
ballet	choreographer	Individual_Medley	dragonfly	5	0.005
ballet	choreographer	dragonfly	recordholder_Ian	8	0.008
ballet	choreographer	recordholder_Ian	Medley_Relay	3	0.003
ballet	choreographer	backstroke	recordholder_Ian	28	0.028
ballet	choreographer	breaststroke	Individual_Medley	13	0.013
ballet	choreographer	dragonfly	breaststroke	5	0.005
ballet	choreographer	recordholder_Ian	freestyle	20	0.02
ballet	choreographer	breaststroke	recordholder_Ian	17	0.017
ballet	choreographer	breaststroke	freestyle	15	0.015
ballet	choreographer	chrysalides	recordholder_Ian	11	0.011
ballet	choreographer	Individual_Medley	backstroke	14	0.014
ballet	choreographer	chrysalides	Individual_Medley	2	0.002
ballet	choreographer	backstroke	chrysalides	11	0.011
ballet	choreographer	freestyle	Individual_Medley	14	0.014
ballet	choreographer	dragonfly	backstroke	2	0.002
ballet	choreographer	Medley_Relay	backstroke	7	0.007
ballet	choreographer	Individual_Medley	recordholder_Ian	6	0.006
ballet	choreographer	Medley_Relay	Individual_Medley	3	0.003
ballet	choreographer	recordholder_Ian	breaststroke	16	0.016
ballet	choreographer	freestyle	backstroke	19	0.019
ballet	choreographer	Medley_Relay	freestyle	22	0.022
ballet	choreographer	freestyle	recordholder_Ian	17	0.017
ballet	choreographer	dragonfly	Medley_Relay	8	0.008
ballet	choreographer	chrysalides	dragonfly	19	0.019
ballet	choreographer	breaststroke	backstroke	3	0.003
ballet	choreographer	freestyle	breaststroke	17	0.017
ballet	choreographer	Individual_Medley	freestyle	28	0.028
ballet	choreographer	Individual_Medley	breaststroke	7	0.007
ballet	choreographer	backstroke	dragonfly	8	0.008
ballet	choreographer	backstroke	breaststroke	2	0.002
ballet	choreographer	chrysalides	freestyle	11	0.011
ballet	choreographer	freestyle	dragonfly	5	0.005
ballet	choreographer	backstroke	Individual_Medley	10	0.01
ballet	choreographer	chrysalides	breaststroke	6	0.006
ballet	choreographer	Medley_Relay	recordholder_Ian	3	0.003
ballet	choreographer	dragonfly	Individual_Medley	5	0.005
ballet	choreographer	breaststroke	dragonfly	2	0.002
ballet	choreographer	chrysalides	backstroke	3	0.003
ballet	choreographer	Medley_Relay	breaststroke	4	0.004
ballet	choreographer	backstroke	Medley_Relay	5	0.005
ballet	choreographer	recordholder_Ian	Individual_Medley	3	0.003
ballet	choreographer	recordholder_Ian	dragonfly	4	0.004
ballet	choreographer	Medley_Relay	dragonfly	1	0.001
ballet	choreographer	breaststroke	chrysalides	4	0.004
ballet	choreographer	Individual_Medley	Medley_Relay	1	0.001
ballet	choreographer	Individual_Medley	chrysalides	1	0.001
ballet	choreographer	Medley_Relay	chrysalides	2	0.002
ballet	choreographer	chrysalides	Medley_Relay	2	0.002
ballet	choreographer	NA	NA	459	0.459
dancer	ballet	butterfly	recordholder_Ian	73	0.073
dancer	ballet	butterfly	backstroke	82	0.082
dancer	ballet	butterfly	dragonfly	61	0.061
dancer	ballet	butterfly	freestyle	101	0.101
dancer	ballet	butterfly	breaststroke	66	0.066
dancer	ballet	butterfly	Individual_Medley	62	0.062
dancer	ballet	butterfly	chrysalides	54	0.054
dancer	ballet	butterfly	Medley_Relay	42	0.042
dancer	ballet	NA	NA	459	0.459
dancer	choreographer	butterfly	chrysalides	58	0.058
dancer	choreographer	butterfly	freestyle	124	0.124
dancer	choreographer	butterfly	Medley_Relay	48	0.048
dancer	choreographer	butterfly	backstroke	70	0.07
dancer	choreographer	butterfly	dragonfly	44	0.044
dancer	choreographer	butterfly	recordholder_Ian	90	0.09
dancer	choreographer	butterfly	Individual_Medley	50	0.05
dancer	choreographer	butterfly	breaststroke	57	0.057
dancer	choreographer	NA	NA	459	0.459
