B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	Individual_Medley	70	0.07
dancer	dance	butterfly	recordholder_Ian	70	0.07
dancer	dance	butterfly	Medley_Relay	72	0.072
dancer	dance	butterfly	breaststroke	59	0.059
dancer	dance	butterfly	backstroke	92	0.092
dancer	dance	butterfly	freestyle	151	0.151
dancer	dance	butterfly	chrysalides	71	0.071
dancer	dance	butterfly	dragonfly	38	0.038
dancer	dance	NA	NA	377	0.377
dancer	ballet	butterfly	dragonfly	70	0.07
dancer	ballet	butterfly	backstroke	94	0.094
dancer	ballet	butterfly	breaststroke	90	0.09
dancer	ballet	butterfly	Medley_Relay	70	0.07
dancer	ballet	butterfly	Individual_Medley	50	0.05
dancer	ballet	butterfly	recordholder_Ian	67	0.067
dancer	ballet	butterfly	freestyle	123	0.123
dancer	ballet	butterfly	chrysalides	59	0.059
dancer	ballet	NA	NA	377	0.377
ballet	dance	dragonfly	Individual_Medley	10	0.01
ballet	dance	backstroke	recordholder_Ian	13	0.013
ballet	dance	breaststroke	Medley_Relay	15	0.015
ballet	dance	Medley_Relay	recordholder_Ian	3	0.003
ballet	dance	Individual_Medley	breaststroke	8	0.008
ballet	dance	recordholder_Ian	breaststroke	16	0.016
ballet	dance	freestyle	Individual_Medley	26	0.026
ballet	dance	freestyle	backstroke	28	0.028
ballet	dance	backstroke	freestyle	28	0.028
ballet	dance	dragonfly	Medley_Relay	4	0.004
ballet	dance	breaststroke	freestyle	30	0.03
ballet	dance	Individual_Medley	chrysalides	3	0.003
ballet	dance	backstroke	chrysalides	12	0.012
ballet	dance	breaststroke	chrysalides	8	0.008
ballet	dance	chrysalides	recordholder_Ian	14	0.014
ballet	dance	freestyle	breaststroke	17	0.017
ballet	dance	recordholder_Ian	freestyle	13	0.013
ballet	dance	dragonfly	backstroke	6	0.006
ballet	dance	recordholder_Ian	backstroke	14	0.014
ballet	dance	backstroke	Medley_Relay	19	0.019
ballet	dance	Individual_Medley	freestyle	19	0.019
ballet	dance	dragonfly	chrysalides	31	0.031
ballet	dance	backstroke	Individual_Medley	14	0.014
ballet	dance	Individual_Medley	backstroke	11	0.011
ballet	dance	breaststroke	recordholder_Ian	17	0.017
ballet	dance	Medley_Relay	backstroke	9	0.009
ballet	dance	freestyle	Medley_Relay	29	0.029
ballet	dance	Medley_Relay	freestyle	43	0.043
ballet	dance	breaststroke	Individual_Medley	8	0.008
ballet	dance	chrysalides	freestyle	10	0.01
ballet	dance	freestyle	recordholder_Ian	10	0.01
ballet	dance	freestyle	dragonfly	8	0.008
ballet	dance	dragonfly	recordholder_Ian	6	0.006
ballet	dance	recordholder_Ian	Individual_Medley	8	0.008
ballet	dance	breaststroke	backstroke	11	0.011
ballet	dance	dragonfly	freestyle	8	0.008
ballet	dance	backstroke	dragonfly	7	0.007
ballet	dance	recordholder_Ian	Medley_Relay	3	0.003
ballet	dance	chrysalides	backstroke	13	0.013
ballet	dance	Medley_Relay	Individual_Medley	1	0.001
ballet	dance	recordholder_Ian	chrysalides	7	0.007
ballet	dance	Medley_Relay	chrysalides	5	0.005
ballet	dance	Medley_Relay	breaststroke	6	0.006
ballet	dance	breaststroke	dragonfly	1	0.001
ballet	dance	chrysalides	Individual_Medley	3	0.003
ballet	dance	Individual_Medley	recordholder_Ian	7	0.007
ballet	dance	recordholder_Ian	dragonfly	6	0.006
ballet	dance	chrysalides	Medley_Relay	2	0.002
ballet	dance	Medley_Relay	dragonfly	3	0.003
ballet	dance	freestyle	chrysalides	5	0.005
ballet	dance	chrysalides	breaststroke	6	0.006
ballet	dance	chrysalides	dragonfly	11	0.011
ballet	dance	dragonfly	breaststroke	5	0.005
ballet	dance	Individual_Medley	dragonfly	2	0.002
ballet	dance	backstroke	breaststroke	1	0.001
ballet	dance	NA	NA	377	0.377
