B_dom	B_cod	A_dom	A_cod	count	probability
ballet	dancing	freestyle	dragonfly	11	0.011
ballet	dancing	backstroke	breaststroke	5	0.005
ballet	dancing	dragonfly	chrysalides	22	0.022
ballet	dancing	freestyle	Individual_Medley	13	0.013
ballet	dancing	Individual_Medley	freestyle	14	0.014
ballet	dancing	dragonfly	breaststroke	2	0.002
ballet	dancing	recordholder_Ian	breaststroke	20	0.02
ballet	dancing	dragonfly	recordholder_Ian	9	0.009
ballet	dancing	recordholder_Ian	Individual_Medley	11	0.011
ballet	dancing	recordholder_Ian	dragonfly	7	0.007
ballet	dancing	breaststroke	Individual_Medley	8	0.008
ballet	dancing	chrysalides	dragonfly	26	0.026
ballet	dancing	backstroke	Individual_Medley	7	0.007
ballet	dancing	breaststroke	recordholder_Ian	21	0.021
ballet	dancing	chrysalides	backstroke	5	0.005
ballet	dancing	recordholder_Ian	backstroke	28	0.028
ballet	dancing	recordholder_Ian	Medley_Relay	6	0.006
ballet	dancing	recordholder_Ian	chrysalides	10	0.01
ballet	dancing	freestyle	breaststroke	18	0.018
ballet	dancing	recordholder_Ian	freestyle	29	0.029
ballet	dancing	backstroke	freestyle	13	0.013
ballet	dancing	backstroke	recordholder_Ian	22	0.022
ballet	dancing	backstroke	Medley_Relay	8	0.008
ballet	dancing	Medley_Relay	freestyle	18	0.018
ballet	dancing	freestyle	backstroke	14	0.014
ballet	dancing	dragonfly	backstroke	5	0.005
ballet	dancing	Medley_Relay	breaststroke	3	0.003
ballet	dancing	freestyle	chrysalides	10	0.01
ballet	dancing	chrysalides	breaststroke	8	0.008
ballet	dancing	breaststroke	chrysalides	6	0.006
ballet	dancing	freestyle	Medley_Relay	17	0.017
ballet	dancing	backstroke	dragonfly	7	0.007
ballet	dancing	breaststroke	freestyle	17	0.017
ballet	dancing	freestyle	recordholder_Ian	22	0.022
ballet	dancing	Individual_Medley	breaststroke	4	0.004
ballet	dancing	dragonfly	Medley_Relay	2	0.002
ballet	dancing	breaststroke	dragonfly	6	0.006
ballet	dancing	Individual_Medley	chrysalides	4	0.004
ballet	dancing	dragonfly	freestyle	5	0.005
ballet	dancing	breaststroke	Medley_Relay	3	0.003
ballet	dancing	chrysalides	Individual_Medley	1	0.001
ballet	dancing	chrysalides	freestyle	12	0.012
ballet	dancing	Medley_Relay	backstroke	8	0.008
ballet	dancing	Medley_Relay	dragonfly	2	0.002
ballet	dancing	dragonfly	Individual_Medley	1	0.001
ballet	dancing	chrysalides	recordholder_Ian	6	0.006
ballet	dancing	Individual_Medley	recordholder_Ian	5	0.005
ballet	dancing	breaststroke	backstroke	3	0.003
ballet	dancing	Medley_Relay	recordholder_Ian	4	0.004
ballet	dancing	Medley_Relay	Individual_Medley	1	0.001
ballet	dancing	chrysalides	Medley_Relay	1	0.001
ballet	dancing	Individual_Medley	backstroke	2	0.002
ballet	dancing	backstroke	chrysalides	4	0.004
ballet	dancing	Individual_Medley	dragonfly	3	0.003
ballet	dancing	Individual_Medley	Medley_Relay	2	0.002
ballet	dancing	NA	NA	479	0.479
dancer	ballet	butterfly	freestyle	105	0.105
dancer	ballet	butterfly	backstroke	66	0.066
dancer	ballet	butterfly	dragonfly	46	0.046
dancer	ballet	butterfly	Individual_Medley	34	0.034
dancer	ballet	butterfly	recordholder_Ian	111	0.111
dancer	ballet	butterfly	breaststroke	64	0.064
dancer	ballet	butterfly	chrysalides	59	0.059
dancer	ballet	butterfly	Medley_Relay	36	0.036
dancer	ballet	NA	NA	479	0.479
dancer	dancing	butterfly	dragonfly	62	0.062
dancer	dancing	butterfly	breaststroke	60	0.06
dancer	dancing	butterfly	chrysalides	56	0.056
dancer	dancing	butterfly	Individual_Medley	42	0.042
dancer	dancing	butterfly	freestyle	108	0.108
dancer	dancing	butterfly	recordholder_Ian	89	0.089
dancer	dancing	butterfly	backstroke	65	0.065
dancer	dancing	butterfly	Medley_Relay	39	0.039
dancer	dancing	NA	NA	479	0.479
