B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballet	butterfly	Individual_Medley	28	0.028
dancer	ballet	butterfly	chrysalides	60	0.06
dancer	ballet	butterfly	dragonfly	55	0.055
dancer	ballet	butterfly	Medley_Relay	23	0.023
dancer	ballet	butterfly	breaststroke	50	0.05
dancer	ballet	butterfly	freestyle	64	0.064
dancer	ballet	butterfly	recordholder_Ian	97	0.097
dancer	ballet	butterfly	backstroke	59	0.059
dancer	ballet	NA	NA	564	0.564
dancer	female_impersonator	butterfly	recordholder_Ian	102	0.102
dancer	female_impersonator	butterfly	backstroke	46	0.046
dancer	female_impersonator	butterfly	freestyle	30	0.03
dancer	female_impersonator	butterfly	breaststroke	35	0.035
dancer	female_impersonator	butterfly	dragonfly	113	0.113
dancer	female_impersonator	butterfly	chrysalides	62	0.062
dancer	female_impersonator	butterfly	Medley_Relay	16	0.016
dancer	female_impersonator	butterfly	Individual_Medley	32	0.032
dancer	female_impersonator	NA	NA	564	0.564
ballet	female_impersonator	Individual_Medley	recordholder_Ian	10	0.01
ballet	female_impersonator	chrysalides	backstroke	7	0.007
ballet	female_impersonator	chrysalides	freestyle	5	0.005
ballet	female_impersonator	dragonfly	backstroke	9	0.009
ballet	female_impersonator	Individual_Medley	breaststroke	4	0.004
ballet	female_impersonator	Medley_Relay	dragonfly	4	0.004
ballet	female_impersonator	chrysalides	breaststroke	4	0.004
ballet	female_impersonator	breaststroke	recordholder_Ian	20	0.02
ballet	female_impersonator	Medley_Relay	breaststroke	3	0.003
ballet	female_impersonator	freestyle	breaststroke	6	0.006
ballet	female_impersonator	Individual_Medley	backstroke	5	0.005
ballet	female_impersonator	dragonfly	breaststroke	5	0.005
ballet	female_impersonator	recordholder_Ian	chrysalides	14	0.014
ballet	female_impersonator	recordholder_Ian	backstroke	12	0.012
ballet	female_impersonator	chrysalides	dragonfly	27	0.027
ballet	female_impersonator	backstroke	recordholder_Ian	27	0.027
ballet	female_impersonator	recordholder_Ian	dragonfly	29	0.029
ballet	female_impersonator	breaststroke	chrysalides	8	0.008
ballet	female_impersonator	freestyle	chrysalides	11	0.011
ballet	female_impersonator	freestyle	dragonfly	18	0.018
ballet	female_impersonator	freestyle	Medley_Relay	6	0.006
ballet	female_impersonator	dragonfly	chrysalides	14	0.014
ballet	female_impersonator	breaststroke	freestyle	4	0.004
ballet	female_impersonator	freestyle	backstroke	7	0.007
ballet	female_impersonator	recordholder_Ian	freestyle	11	0.011
ballet	female_impersonator	dragonfly	Individual_Medley	10	0.01
ballet	female_impersonator	dragonfly	recordholder_Ian	10	0.01
ballet	female_impersonator	backstroke	dragonfly	19	0.019
ballet	female_impersonator	breaststroke	dragonfly	13	0.013
ballet	female_impersonator	Medley_Relay	recordholder_Ian	10	0.01
ballet	female_impersonator	recordholder_Ian	Medley_Relay	6	0.006
ballet	female_impersonator	recordholder_Ian	Individual_Medley	12	0.012
ballet	female_impersonator	freestyle	recordholder_Ian	13	0.013
ballet	female_impersonator	breaststroke	Medley_Relay	1	0.001
ballet	female_impersonator	Individual_Medley	dragonfly	3	0.003
ballet	female_impersonator	recordholder_Ian	breaststroke	13	0.013
ballet	female_impersonator	chrysalides	recordholder_Ian	12	0.012
ballet	female_impersonator	Individual_Medley	freestyle	1	0.001
ballet	female_impersonator	dragonfly	freestyle	5	0.005
ballet	female_impersonator	backstroke	freestyle	3	0.003
ballet	female_impersonator	Medley_Relay	Individual_Medley	2	0.002
ballet	female_impersonator	breaststroke	backstroke	4	0.004
ballet	female_impersonator	Individual_Medley	chrysalides	4	0.004
ballet	female_impersonator	dragonfly	Medley_Relay	2	0.002
ballet	female_impersonator	freestyle	Individual_Medley	3	0.003
ballet	female_impersonator	backstroke	chrysalides	10	0.01
ballet	female_impersonator	Medley_Relay	chrysalides	1	0.001
ballet	female_impersonator	Medley_Relay	backstroke	2	0.002
ballet	female_impersonator	Medley_Relay	freestyle	1	0.001
ballet	female_impersonator	chrysalides	Individual_Medley	5	0.005
ballet	female_impersonator	Individual_Medley	Medley_Relay	1	0.001
ballet	female_impersonator	NA	NA	564	0.564
