B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballet	butterfly	chrysalides	79	0.079
dancer	ballet	butterfly	freestyle	133	0.133
dancer	ballet	butterfly	recordholder_Ian	158	0.158
dancer	ballet	butterfly	Individual_Medley	60	0.06
dancer	ballet	butterfly	breaststroke	80	0.08
dancer	ballet	butterfly	dragonfly	98	0.098
dancer	ballet	butterfly	backstroke	93	0.093
dancer	ballet	butterfly	Medley_Relay	36	0.036
dancer	ballet	NA	NA	263	0.263
dancer	gymnast	butterfly	Individual_Medley	144	0.144
dancer	gymnast	butterfly	recordholder_Ian	143	0.143
dancer	gymnast	butterfly	breaststroke	114	0.114
dancer	gymnast	butterfly	backstroke	66	0.066
dancer	gymnast	butterfly	chrysalides	39	0.039
dancer	gymnast	butterfly	Medley_Relay	63	0.063
dancer	gymnast	butterfly	freestyle	114	0.114
dancer	gymnast	butterfly	dragonfly	54	0.054
dancer	gymnast	NA	NA	263	0.263
ballet	gymnast	chrysalides	Individual_Medley	8	0.008
ballet	gymnast	freestyle	recordholder_Ian	27	0.027
ballet	gymnast	recordholder_Ian	breaststroke	55	0.055
ballet	gymnast	recordholder_Ian	Individual_Medley	44	0.044
ballet	gymnast	Individual_Medley	breaststroke	9	0.009
ballet	gymnast	breaststroke	backstroke	3	0.003
ballet	gymnast	dragonfly	backstroke	28	0.028
ballet	gymnast	dragonfly	chrysalides	27	0.027
ballet	gymnast	recordholder_Ian	chrysalides	3	0.003
ballet	gymnast	dragonfly	breaststroke	8	0.008
ballet	gymnast	chrysalides	breaststroke	18	0.018
ballet	gymnast	backstroke	Medley_Relay	10	0.01
ballet	gymnast	backstroke	freestyle	10	0.01
ballet	gymnast	breaststroke	recordholder_Ian	30	0.03
ballet	gymnast	recordholder_Ian	backstroke	15	0.015
ballet	gymnast	backstroke	recordholder_Ian	40	0.04
ballet	gymnast	freestyle	Medley_Relay	32	0.032
ballet	gymnast	Medley_Relay	freestyle	19	0.019
ballet	gymnast	Individual_Medley	recordholder_Ian	20	0.02
ballet	gymnast	freestyle	Individual_Medley	46	0.046
ballet	gymnast	freestyle	breaststroke	16	0.016
ballet	gymnast	Medley_Relay	breaststroke	6	0.006
ballet	gymnast	breaststroke	Medley_Relay	10	0.01
ballet	gymnast	recordholder_Ian	freestyle	32	0.032
ballet	gymnast	breaststroke	dragonfly	10	0.01
ballet	gymnast	chrysalides	dragonfly	24	0.024
ballet	gymnast	chrysalides	freestyle	6	0.006
ballet	gymnast	backstroke	dragonfly	10	0.01
ballet	gymnast	Medley_Relay	recordholder_Ian	5	0.005
ballet	gymnast	breaststroke	chrysalides	4	0.004
ballet	gymnast	chrysalides	recordholder_Ian	12	0.012
ballet	gymnast	backstroke	Individual_Medley	19	0.019
ballet	gymnast	dragonfly	recordholder_Ian	9	0.009
ballet	gymnast	chrysalides	backstroke	10	0.01
ballet	gymnast	breaststroke	Individual_Medley	11	0.011
ballet	gymnast	dragonfly	freestyle	10	0.01
ballet	gymnast	dragonfly	Individual_Medley	14	0.014
ballet	gymnast	recordholder_Ian	Medley_Relay	7	0.007
ballet	gymnast	breaststroke	freestyle	12	0.012
ballet	gymnast	Individual_Medley	freestyle	25	0.025
ballet	gymnast	dragonfly	Medley_Relay	2	0.002
ballet	gymnast	backstroke	breaststroke	2	0.002
ballet	gymnast	freestyle	backstroke	7	0.007
ballet	gymnast	Individual_Medley	dragonfly	2	0.002
ballet	gymnast	Medley_Relay	Individual_Medley	2	0.002
ballet	gymnast	Medley_Relay	chrysalides	1	0.001
ballet	gymnast	freestyle	dragonfly	5	0.005
ballet	gymnast	backstroke	chrysalides	2	0.002
ballet	gymnast	Individual_Medley	chrysalides	2	0.002
ballet	gymnast	Medley_Relay	dragonfly	1	0.001
ballet	gymnast	recordholder_Ian	dragonfly	2	0.002
ballet	gymnast	chrysalides	Medley_Relay	1	0.001
ballet	gymnast	Medley_Relay	backstroke	2	0.002
ballet	gymnast	Individual_Medley	Medley_Relay	1	0.001
ballet	gymnast	Individual_Medley	backstroke	1	0.001
ballet	gymnast	NA	NA	263	0.263
