B_dom	B_cod	A_dom	A_cod	count	probability
ballet	hoofer	Medley_Relay	chrysalides	4	0.004
ballet	hoofer	breaststroke	chrysalides	14	0.014
ballet	hoofer	freestyle	chrysalides	7	0.007
ballet	hoofer	recordholder_Ian	breaststroke	17	0.017
ballet	hoofer	dragonfly	Individual_Medley	9	0.009
ballet	hoofer	backstroke	breaststroke	4	0.004
ballet	hoofer	freestyle	Individual_Medley	17	0.017
ballet	hoofer	chrysalides	Individual_Medley	5	0.005
ballet	hoofer	breaststroke	freestyle	6	0.006
ballet	hoofer	Individual_Medley	freestyle	10	0.01
ballet	hoofer	recordholder_Ian	chrysalides	9	0.009
ballet	hoofer	breaststroke	Individual_Medley	4	0.004
ballet	hoofer	recordholder_Ian	backstroke	21	0.021
ballet	hoofer	recordholder_Ian	Individual_Medley	9	0.009
ballet	hoofer	breaststroke	dragonfly	12	0.012
ballet	hoofer	breaststroke	recordholder_Ian	30	0.03
ballet	hoofer	breaststroke	backstroke	3	0.003
ballet	hoofer	Medley_Relay	freestyle	13	0.013
ballet	hoofer	chrysalides	breaststroke	10	0.01
ballet	hoofer	dragonfly	chrysalides	25	0.025
ballet	hoofer	breaststroke	Medley_Relay	2	0.002
ballet	hoofer	dragonfly	recordholder_Ian	8	0.008
ballet	hoofer	chrysalides	dragonfly	21	0.021
ballet	hoofer	freestyle	recordholder_Ian	20	0.02
ballet	hoofer	Individual_Medley	backstroke	3	0.003
ballet	hoofer	recordholder_Ian	freestyle	25	0.025
ballet	hoofer	backstroke	dragonfly	5	0.005
ballet	hoofer	freestyle	dragonfly	8	0.008
ballet	hoofer	dragonfly	breaststroke	16	0.016
ballet	hoofer	Medley_Relay	breaststroke	4	0.004
ballet	hoofer	backstroke	chrysalides	11	0.011
ballet	hoofer	Medley_Relay	Individual_Medley	2	0.002
ballet	hoofer	recordholder_Ian	Medley_Relay	6	0.006
ballet	hoofer	dragonfly	freestyle	16	0.016
ballet	hoofer	chrysalides	freestyle	5	0.005
ballet	hoofer	freestyle	breaststroke	10	0.01
ballet	hoofer	backstroke	recordholder_Ian	22	0.022
ballet	hoofer	Medley_Relay	recordholder_Ian	3	0.003
ballet	hoofer	Individual_Medley	recordholder_Ian	18	0.018
ballet	hoofer	Medley_Relay	backstroke	7	0.007
ballet	hoofer	dragonfly	backstroke	12	0.012
ballet	hoofer	recordholder_Ian	dragonfly	6	0.006
ballet	hoofer	backstroke	Individual_Medley	5	0.005
ballet	hoofer	freestyle	backstroke	10	0.01
ballet	hoofer	chrysalides	Medley_Relay	2	0.002
ballet	hoofer	chrysalides	backstroke	12	0.012
ballet	hoofer	backstroke	freestyle	9	0.009
ballet	hoofer	freestyle	Medley_Relay	8	0.008
ballet	hoofer	Individual_Medley	dragonfly	4	0.004
ballet	hoofer	Individual_Medley	breaststroke	6	0.006
ballet	hoofer	Individual_Medley	chrysalides	2	0.002
ballet	hoofer	chrysalides	recordholder_Ian	8	0.008
ballet	hoofer	backstroke	Medley_Relay	2	0.002
ballet	hoofer	Medley_Relay	dragonfly	1	0.001
ballet	hoofer	dragonfly	Medley_Relay	1	0.001
ballet	hoofer	NA	NA	471	0.471
dancer	ballet	butterfly	Medley_Relay	34	0.034
dancer	ballet	butterfly	breaststroke	71	0.071
dancer	ballet	butterfly	freestyle	80	0.08
dancer	ballet	butterfly	recordholder_Ian	93	0.093
dancer	ballet	butterfly	dragonfly	87	0.087
dancer	ballet	butterfly	backstroke	58	0.058
dancer	ballet	butterfly	chrysalides	63	0.063
dancer	ballet	butterfly	Individual_Medley	43	0.043
dancer	ballet	NA	NA	471	0.471
dancer	hoofer	butterfly	chrysalides	72	0.072
dancer	hoofer	butterfly	breaststroke	67	0.067
dancer	hoofer	butterfly	Individual_Medley	51	0.051
dancer	hoofer	butterfly	freestyle	84	0.084
dancer	hoofer	butterfly	backstroke	68	0.068
dancer	hoofer	butterfly	dragonfly	57	0.057
dancer	hoofer	butterfly	recordholder_Ian	109	0.109
dancer	hoofer	butterfly	Medley_Relay	21	0.021
dancer	hoofer	NA	NA	471	0.471
