B_dom	B_cod	A_dom	A_cod	count	probability
dancer	beauty	butterfly	flower	12	0.012
dancer	beauty	butterfly	sky	28	0.028
dancer	beauty	butterfly	beauty	598	0.598
dancer	beauty	butterfly	dance	37	0.037
dancer	beauty	butterfly	fly	23	0.023
dancer	beauty	butterfly	feather	37	0.037
dancer	beauty	butterfly	skirt	35	0.035
dancer	beauty	NA	NA	230	0.23
dancer	music	butterfly	beauty	59	0.059
dancer	music	butterfly	dance	384	0.384
dancer	music	butterfly	skirt	16	0.016
dancer	music	butterfly	spin	17	0.017
dancer	music	butterfly	feather	21	0.021
dancer	music	butterfly	flower	192	0.192
dancer	music	butterfly	sky	39	0.039
dancer	music	butterfly	fly	42	0.042
dancer	music	NA	NA	230	0.23
beauty	music	flower	beauty	12	0.012
beauty	music	sky	beauty	16	0.016
beauty	music	beauty	dance	374	0.374
beauty	music	dance	skirt	4	0.004
beauty	music	beauty	spin	14	0.014
beauty	music	sky	feather	3	0.003
beauty	music	fly	flower	5	0.005
beauty	music	beauty	skirt	8	0.008
beauty	music	beauty	sky	30	0.03
beauty	music	feather	flower	17	0.017
beauty	music	skirt	flower	27	0.027
beauty	music	beauty	flower	143	0.143
beauty	music	beauty	feather	14	0.014
beauty	music	feather	fly	5	0.005
beauty	music	beauty	fly	15	0.015
beauty	music	dance	fly	11	0.011
beauty	music	dance	beauty	21	0.021
beauty	music	skirt	beauty	4	0.004
beauty	music	fly	sky	2	0.002
beauty	music	dance	spin	1	0.001
beauty	music	fly	dance	10	0.01
beauty	music	fly	feather	2	0.002
beauty	music	fly	spin	2	0.002
beauty	music	feather	skirt	3	0.003
beauty	music	sky	fly	9	0.009
beauty	music	fly	beauty	1	0.001
beauty	music	feather	beauty	5	0.005
beauty	music	skirt	feather	2	0.002
beauty	music	feather	sky	7	0.007
beauty	music	skirt	fly	2	0.002
beauty	music	fly	skirt	1	0.001
beauty	music	NA	NA	230	0.23
