B_dom	B_cod	A_dom	A_cod	count	probability
dancer	beauty	butterfly	beauty	895	0.895
dancer	beauty	butterfly	dance	24	0.024
dancer	beauty	butterfly	feather	28	0.028
dancer	beauty	butterfly	fly	35	0.035
dancer	beauty	butterfly	skirt	18	0.018
dancer	beauty	NA	NA	0	0.0
dancer	skirt	butterfly	skirt	911	0.911
dancer	skirt	butterfly	fly	57	0.057
dancer	skirt	butterfly	beauty	13	0.013
dancer	skirt	butterfly	feather	11	0.011
dancer	skirt	butterfly	dance	8	0.008
dancer	skirt	NA	NA	0	0.0
beauty	skirt	beauty	skirt	895	0.895
beauty	skirt	dance	fly	24	0.024
beauty	skirt	feather	fly	15	0.015
beauty	skirt	feather	beauty	13	0.013
beauty	skirt	fly	skirt	16	0.016
beauty	skirt	skirt	fly	18	0.018
beauty	skirt	fly	feather	11	0.011
beauty	skirt	fly	dance	8	0.008
beauty	skirt	NA	NA	0	0.0
