B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	dragonfly	83	0.083
dancer	ballerina	butterfly	freestyle	60	0.06
dancer	ballerina	butterfly	breaststroke	45	0.045
dancer	ballerina	butterfly	recordholder_Ian	125	0.125
dancer	ballerina	butterfly	Individual_Medley	36	0.036
dancer	ballerina	butterfly	backstroke	69	0.069
dancer	ballerina	butterfly	Medley_Relay	23	0.023
dancer	ballerina	butterfly	chrysalides	71	0.071
dancer	ballerina	NA	NA	488	0.488
dancer	choreographer	butterfly	breaststroke	73	0.073
dancer	choreographer	butterfly	recordholder_Ian	118	0.118
dancer	choreographer	butterfly	backstroke	72	0.072
dancer	choreographer	butterfly	freestyle	96	0.096
dancer	choreographer	butterfly	chrysalides	46	0.046
dancer	choreographer	butterfly	Medley_Relay	33	0.033
dancer	choreographer	butterfly	Individual_Medley	34	0.034
dancer	choreographer	butterfly	dragonfly	40	0.04
dancer	choreographer	NA	NA	488	0.488
choreographer	ballerina	breaststroke	dragonfly	11	0.011
choreographer	ballerina	recordholder_Ian	freestyle	26	0.026
choreographer	ballerina	recordholder_Ian	breaststroke	21	0.021
choreographer	ballerina	backstroke	freestyle	5	0.005
choreographer	ballerina	backstroke	recordholder_Ian	29	0.029
choreographer	ballerina	breaststroke	Individual_Medley	6	0.006
choreographer	ballerina	freestyle	Individual_Medley	7	0.007
choreographer	ballerina	chrysalides	recordholder_Ian	4	0.004
choreographer	ballerina	backstroke	dragonfly	16	0.016
choreographer	ballerina	recordholder_Ian	backstroke	30	0.03
choreographer	ballerina	Medley_Relay	recordholder_Ian	9	0.009
choreographer	ballerina	Individual_Medley	breaststroke	3	0.003
choreographer	ballerina	breaststroke	recordholder_Ian	27	0.027
choreographer	ballerina	freestyle	breaststroke	11	0.011
choreographer	ballerina	Individual_Medley	dragonfly	4	0.004
choreographer	ballerina	recordholder_Ian	dragonfly	13	0.013
choreographer	ballerina	chrysalides	dragonfly	26	0.026
choreographer	ballerina	backstroke	Medley_Relay	3	0.003
choreographer	ballerina	recordholder_Ian	chrysalides	13	0.013
choreographer	ballerina	freestyle	recordholder_Ian	36	0.036
choreographer	ballerina	Individual_Medley	recordholder_Ian	15	0.015
choreographer	ballerina	freestyle	backstroke	14	0.014
choreographer	ballerina	dragonfly	breaststroke	2	0.002
choreographer	ballerina	backstroke	chrysalides	10	0.01
choreographer	ballerina	Medley_Relay	breaststroke	4	0.004
choreographer	ballerina	breaststroke	chrysalides	12	0.012
choreographer	ballerina	breaststroke	freestyle	9	0.009
choreographer	ballerina	dragonfly	backstroke	8	0.008
choreographer	ballerina	Individual_Medley	freestyle	7	0.007
choreographer	ballerina	dragonfly	chrysalides	22	0.022
choreographer	ballerina	Medley_Relay	backstroke	8	0.008
choreographer	ballerina	recordholder_Ian	Medley_Relay	4	0.004
choreographer	ballerina	freestyle	chrysalides	11	0.011
choreographer	ballerina	chrysalides	freestyle	4	0.004
choreographer	ballerina	recordholder_Ian	Individual_Medley	11	0.011
choreographer	ballerina	Medley_Relay	dragonfly	4	0.004
choreographer	ballerina	breaststroke	Medley_Relay	6	0.006
choreographer	ballerina	freestyle	Medley_Relay	8	0.008
choreographer	ballerina	freestyle	dragonfly	9	0.009
choreographer	ballerina	dragonfly	recordholder_Ian	5	0.005
choreographer	ballerina	backstroke	Individual_Medley	7	0.007
choreographer	ballerina	Individual_Medley	backstroke	3	0.003
choreographer	ballerina	chrysalides	Individual_Medley	4	0.004
choreographer	ballerina	Medley_Relay	freestyle	7	0.007
choreographer	ballerina	Individual_Medley	chrysalides	2	0.002
choreographer	ballerina	chrysalides	Medley_Relay	2	0.002
choreographer	ballerina	breaststroke	backstroke	2	0.002
choreographer	ballerina	chrysalides	backstroke	4	0.004
choreographer	ballerina	Medley_Relay	chrysalides	1	0.001
choreographer	ballerina	dragonfly	freestyle	2	0.002
choreographer	ballerina	backstroke	breaststroke	2	0.002
choreographer	ballerina	dragonfly	Individual_Medley	1	0.001
choreographer	ballerina	chrysalides	breaststroke	2	0.002
choreographer	ballerina	NA	NA	488	0.488
