B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dancing	butterfly	recordholder_Ian	62	0.062
dancer	dancing	butterfly	breaststroke	42	0.042
dancer	dancing	butterfly	freestyle	90	0.09
dancer	dancing	butterfly	chrysalides	65	0.065
dancer	dancing	butterfly	backstroke	39	0.039
dancer	dancing	butterfly	dragonfly	71	0.071
dancer	dancing	butterfly	Medley_Relay	24	0.024
dancer	dancing	butterfly	Individual_Medley	44	0.044
dancer	dancing	NA	NA	563	0.563
dancer	choreographer	butterfly	dragonfly	51	0.051
dancer	choreographer	butterfly	Medley_Relay	24	0.024
dancer	choreographer	butterfly	freestyle	68	0.068
dancer	choreographer	butterfly	breaststroke	58	0.058
dancer	choreographer	butterfly	chrysalides	50	0.05
dancer	choreographer	butterfly	backstroke	61	0.061
dancer	choreographer	butterfly	Individual_Medley	39	0.039
dancer	choreographer	butterfly	recordholder_Ian	86	0.086
dancer	choreographer	NA	NA	563	0.563
choreographer	dancing	dragonfly	recordholder_Ian	2	0.002
choreographer	dancing	Medley_Relay	recordholder_Ian	4	0.004
choreographer	dancing	freestyle	breaststroke	9	0.009
choreographer	dancing	Medley_Relay	freestyle	11	0.011
choreographer	dancing	breaststroke	chrysalides	8	0.008
choreographer	dancing	freestyle	recordholder_Ian	13	0.013
choreographer	dancing	chrysalides	freestyle	7	0.007
choreographer	dancing	dragonfly	chrysalides	16	0.016
choreographer	dancing	freestyle	backstroke	6	0.006
choreographer	dancing	freestyle	dragonfly	8	0.008
choreographer	dancing	backstroke	Medley_Relay	3	0.003
choreographer	dancing	chrysalides	dragonfly	17	0.017
choreographer	dancing	Individual_Medley	chrysalides	6	0.006
choreographer	dancing	chrysalides	breaststroke	13	0.013
choreographer	dancing	recordholder_Ian	backstroke	19	0.019
choreographer	dancing	dragonfly	freestyle	15	0.015
choreographer	dancing	recordholder_Ian	Individual_Medley	11	0.011
choreographer	dancing	freestyle	chrysalides	10	0.01
choreographer	dancing	recordholder_Ian	dragonfly	10	0.01
choreographer	dancing	backstroke	dragonfly	11	0.011
choreographer	dancing	breaststroke	dragonfly	16	0.016
choreographer	dancing	backstroke	freestyle	16	0.016
choreographer	dancing	freestyle	Medley_Relay	11	0.011
choreographer	dancing	freestyle	Individual_Medley	11	0.011
choreographer	dancing	recordholder_Ian	chrysalides	11	0.011
choreographer	dancing	recordholder_Ian	freestyle	24	0.024
choreographer	dancing	Individual_Medley	freestyle	11	0.011
choreographer	dancing	dragonfly	backstroke	6	0.006
choreographer	dancing	Individual_Medley	recordholder_Ian	9	0.009
choreographer	dancing	breaststroke	Individual_Medley	5	0.005
choreographer	dancing	dragonfly	Individual_Medley	7	0.007
choreographer	dancing	Individual_Medley	backstroke	4	0.004
choreographer	dancing	dragonfly	breaststroke	4	0.004
choreographer	dancing	Individual_Medley	dragonfly	7	0.007
choreographer	dancing	breaststroke	recordholder_Ian	19	0.019
choreographer	dancing	Medley_Relay	chrysalides	3	0.003
choreographer	dancing	recordholder_Ian	breaststroke	7	0.007
choreographer	dancing	breaststroke	freestyle	6	0.006
choreographer	dancing	Medley_Relay	Individual_Medley	1	0.001
choreographer	dancing	backstroke	Individual_Medley	5	0.005
choreographer	dancing	backstroke	recordholder_Ian	11	0.011
choreographer	dancing	backstroke	chrysalides	11	0.011
choreographer	dancing	chrysalides	Individual_Medley	4	0.004
choreographer	dancing	chrysalides	Medley_Relay	2	0.002
choreographer	dancing	Individual_Medley	breaststroke	2	0.002
choreographer	dancing	chrysalides	recordholder_Ian	4	0.004
choreographer	dancing	backstroke	breaststroke	4	0.004
choreographer	dancing	breaststroke	Medley_Relay	3	0.003
choreographer	dancing	recordholder_Ian	Medley_Relay	4	0.004
choreographer	dancing	Medley_Relay	breaststroke	3	0.003
choreographer	dancing	chrysalides	backstroke	3	0.003
choreographer	dancing	Medley_Relay	dragonfly	2	0.002
choreographer	dancing	breaststroke	backstroke	1	0.001
choreographer	dancing	dragonfly	Medley_Relay	1	0.001
choreographer	dancing	NA	NA	563	0.563
