B_dom	B_cod	A_dom	A_cod	count	probability
choreographer	female_impersonator	recordholder_Ian	breaststroke	15	0.015
choreographer	female_impersonator	dragonfly	breaststroke	8	0.008
choreographer	female_impersonator	Individual_Medley	recordholder_Ian	5	0.005
choreographer	female_impersonator	Medley_Relay	freestyle	8	0.008
choreographer	female_impersonator	chrysalides	recordholder_Ian	7	0.007
choreographer	female_impersonator	breaststroke	recordholder_Ian	22	0.022
choreographer	female_impersonator	chrysalides	dragonfly	23	0.023
choreographer	female_impersonator	dragonfly	Individual_Medley	5	0.005
choreographer	female_impersonator	recordholder_Ian	backstroke	15	0.015
choreographer	female_impersonator	freestyle	Individual_Medley	17	0.017
choreographer	female_impersonator	dragonfly	backstroke	6	0.006
choreographer	female_impersonator	freestyle	recordholder_Ian	21	0.021
choreographer	female_impersonator	Medley_Relay	dragonfly	10	0.01
choreographer	female_impersonator	Individual_Medley	chrysalides	7	0.007
choreographer	female_impersonator	recordholder_Ian	dragonfly	12	0.012
choreographer	female_impersonator	dragonfly	freestyle	4	0.004
choreographer	female_impersonator	freestyle	backstroke	7	0.007
choreographer	female_impersonator	backstroke	dragonfly	18	0.018
choreographer	female_impersonator	freestyle	dragonfly	9	0.009
choreographer	female_impersonator	Medley_Relay	recordholder_Ian	8	0.008
choreographer	female_impersonator	breaststroke	Individual_Medley	2	0.002
choreographer	female_impersonator	recordholder_Ian	Individual_Medley	4	0.004
choreographer	female_impersonator	Individual_Medley	dragonfly	4	0.004
choreographer	female_impersonator	dragonfly	recordholder_Ian	3	0.003
choreographer	female_impersonator	Individual_Medley	backstroke	4	0.004
choreographer	female_impersonator	backstroke	recordholder_Ian	20	0.02
choreographer	female_impersonator	chrysalides	breaststroke	7	0.007
choreographer	female_impersonator	freestyle	Medley_Relay	7	0.007
choreographer	female_impersonator	recordholder_Ian	Medley_Relay	3	0.003
choreographer	female_impersonator	Individual_Medley	freestyle	5	0.005
choreographer	female_impersonator	backstroke	breaststroke	3	0.003
choreographer	female_impersonator	freestyle	breaststroke	6	0.006
choreographer	female_impersonator	recordholder_Ian	freestyle	10	0.01
choreographer	female_impersonator	chrysalides	freestyle	5	0.005
choreographer	female_impersonator	recordholder_Ian	chrysalides	10	0.01
choreographer	female_impersonator	breaststroke	freestyle	6	0.006
choreographer	female_impersonator	chrysalides	Medley_Relay	3	0.003
choreographer	female_impersonator	Medley_Relay	breaststroke	5	0.005
choreographer	female_impersonator	freestyle	chrysalides	4	0.004
choreographer	female_impersonator	breaststroke	Medley_Relay	2	0.002
choreographer	female_impersonator	Medley_Relay	backstroke	6	0.006
choreographer	female_impersonator	dragonfly	chrysalides	6	0.006
choreographer	female_impersonator	breaststroke	dragonfly	14	0.014
choreographer	female_impersonator	chrysalides	Individual_Medley	2	0.002
choreographer	female_impersonator	backstroke	freestyle	4	0.004
choreographer	female_impersonator	chrysalides	backstroke	3	0.003
choreographer	female_impersonator	Individual_Medley	breaststroke	1	0.001
choreographer	female_impersonator	backstroke	chrysalides	1	0.001
choreographer	female_impersonator	dragonfly	Medley_Relay	1	0.001
choreographer	female_impersonator	backstroke	Individual_Medley	2	0.002
choreographer	female_impersonator	breaststroke	chrysalides	2	0.002
choreographer	female_impersonator	breaststroke	backstroke	2	0.002
choreographer	female_impersonator	Individual_Medley	Medley_Relay	1	0.001
choreographer	female_impersonator	NA	NA	615	0.615
dancer	female_impersonator	butterfly	breaststroke	45	0.045
dancer	female_impersonator	butterfly	recordholder_Ian	86	0.086
dancer	female_impersonator	butterfly	freestyle	42	0.042
dancer	female_impersonator	butterfly	dragonfly	90	0.09
dancer	female_impersonator	butterfly	Individual_Medley	32	0.032
dancer	female_impersonator	butterfly	backstroke	43	0.043
dancer	female_impersonator	butterfly	chrysalides	30	0.03
dancer	female_impersonator	butterfly	Medley_Relay	17	0.017
dancer	female_impersonator	NA	NA	615	0.615
dancer	choreographer	butterfly	recordholder_Ian	69	0.069
dancer	choreographer	butterfly	dragonfly	33	0.033
dancer	choreographer	butterfly	Individual_Medley	27	0.027
dancer	choreographer	butterfly	Medley_Relay	37	0.037
dancer	choreographer	butterfly	chrysalides	50	0.05
dancer	choreographer	butterfly	breaststroke	50	0.05
dancer	choreographer	butterfly	freestyle	71	0.071
dancer	choreographer	butterfly	backstroke	48	0.048
dancer	choreographer	NA	NA	615	0.615
