B_dom	B_cod	A_dom	A_cod	count	probability
choreographer	gymnast	freestyle	Medley_Relay	16	0.016
choreographer	gymnast	recordholder_Ian	backstroke	26	0.026
choreographer	gymnast	Individual_Medley	freestyle	22	0.022
choreographer	gymnast	dragonfly	Individual_Medley	19	0.019
choreographer	gymnast	chrysalides	breaststroke	17	0.017
choreographer	gymnast	breaststroke	recordholder_Ian	40	0.04
choreographer	gymnast	recordholder_Ian	breaststroke	36	0.036
choreographer	gymnast	dragonfly	freestyle	16	0.016
choreographer	gymnast	Medley_Relay	recordholder_Ian	8	0.008
choreographer	gymnast	backstroke	breaststroke	3	0.003
choreographer	gymnast	Medley_Relay	freestyle	22	0.022
choreographer	gymnast	dragonfly	Medley_Relay	2	0.002
choreographer	gymnast	Individual_Medley	recordholder_Ian	9	0.009
choreographer	gymnast	recordholder_Ian	Individual_Medley	36	0.036
choreographer	gymnast	backstroke	recordholder_Ian	33	0.033
choreographer	gymnast	freestyle	recordholder_Ian	34	0.034
choreographer	gymnast	freestyle	Individual_Medley	36	0.036
choreographer	gymnast	backstroke	dragonfly	15	0.015
choreographer	gymnast	breaststroke	chrysalides	8	0.008
choreographer	gymnast	chrysalides	freestyle	8	0.008
choreographer	gymnast	chrysalides	recordholder_Ian	21	0.021
choreographer	gymnast	freestyle	dragonfly	10	0.01
choreographer	gymnast	breaststroke	Individual_Medley	11	0.011
choreographer	gymnast	chrysalides	Individual_Medley	10	0.01
choreographer	gymnast	breaststroke	Medley_Relay	7	0.007
choreographer	gymnast	freestyle	chrysalides	5	0.005
choreographer	gymnast	freestyle	backstroke	6	0.006
choreographer	gymnast	dragonfly	backstroke	13	0.013
choreographer	gymnast	chrysalides	dragonfly	19	0.019
choreographer	gymnast	Individual_Medley	breaststroke	7	0.007
choreographer	gymnast	breaststroke	dragonfly	11	0.011
choreographer	gymnast	Individual_Medley	Medley_Relay	1	0.001
choreographer	gymnast	dragonfly	chrysalides	8	0.008
choreographer	gymnast	Individual_Medley	dragonfly	5	0.005
choreographer	gymnast	recordholder_Ian	freestyle	15	0.015
choreographer	gymnast	dragonfly	breaststroke	10	0.01
choreographer	gymnast	backstroke	chrysalides	8	0.008
choreographer	gymnast	backstroke	Individual_Medley	9	0.009
choreographer	gymnast	Medley_Relay	breaststroke	6	0.006
choreographer	gymnast	freestyle	breaststroke	12	0.012
choreographer	gymnast	backstroke	Medley_Relay	6	0.006
choreographer	gymnast	recordholder_Ian	chrysalides	2	0.002
choreographer	gymnast	Medley_Relay	chrysalides	2	0.002
choreographer	gymnast	Individual_Medley	backstroke	5	0.005
choreographer	gymnast	backstroke	freestyle	4	0.004
choreographer	gymnast	dragonfly	recordholder_Ian	3	0.003
choreographer	gymnast	chrysalides	backstroke	10	0.01
choreographer	gymnast	recordholder_Ian	Medley_Relay	3	0.003
choreographer	gymnast	breaststroke	backstroke	7	0.007
choreographer	gymnast	breaststroke	freestyle	2	0.002
choreographer	gymnast	recordholder_Ian	dragonfly	2	0.002
choreographer	gymnast	Medley_Relay	Individual_Medley	1	0.001
choreographer	gymnast	Medley_Relay	dragonfly	2	0.002
choreographer	gymnast	Medley_Relay	backstroke	1	0.001
choreographer	gymnast	Individual_Medley	chrysalides	1	0.001
choreographer	gymnast	NA	NA	349	0.349
dancer	choreographer	butterfly	freestyle	119	0.119
dancer	choreographer	butterfly	recordholder_Ian	120	0.12
dancer	choreographer	butterfly	Individual_Medley	50	0.05
dancer	choreographer	butterfly	dragonfly	71	0.071
dancer	choreographer	butterfly	chrysalides	85	0.085
dancer	choreographer	butterfly	breaststroke	86	0.086
dancer	choreographer	butterfly	Medley_Relay	42	0.042
dancer	choreographer	butterfly	backstroke	78	0.078
dancer	choreographer	NA	NA	349	0.349
dancer	gymnast	butterfly	Medley_Relay	35	0.035
dancer	gymnast	butterfly	backstroke	68	0.068
dancer	gymnast	butterfly	freestyle	89	0.089
dancer	gymnast	butterfly	Individual_Medley	122	0.122
dancer	gymnast	butterfly	breaststroke	91	0.091
dancer	gymnast	butterfly	recordholder_Ian	148	0.148
dancer	gymnast	butterfly	dragonfly	64	0.064
dancer	gymnast	butterfly	chrysalides	34	0.034
dancer	gymnast	NA	NA	349	0.349
