B_dom	B_cod	A_dom	A_cod	count	probability
choreographer	hoofer	backstroke	freestyle	13	0.013
choreographer	hoofer	recordholder_Ian	breaststroke	18	0.018
choreographer	hoofer	breaststroke	dragonfly	6	0.006
choreographer	hoofer	recordholder_Ian	freestyle	23	0.023
choreographer	hoofer	backstroke	recordholder_Ian	26	0.026
choreographer	hoofer	recordholder_Ian	backstroke	18	0.018
choreographer	hoofer	breaststroke	recordholder_Ian	23	0.023
choreographer	hoofer	dragonfly	chrysalides	14	0.014
choreographer	hoofer	breaststroke	backstroke	2	0.002
choreographer	hoofer	dragonfly	recordholder_Ian	6	0.006
choreographer	hoofer	breaststroke	freestyle	8	0.008
choreographer	hoofer	chrysalides	backstroke	11	0.011
choreographer	hoofer	breaststroke	Individual_Medley	9	0.009
choreographer	hoofer	Medley_Relay	recordholder_Ian	3	0.003
choreographer	hoofer	Medley_Relay	freestyle	10	0.01
choreographer	hoofer	Medley_Relay	breaststroke	4	0.004
choreographer	hoofer	backstroke	breaststroke	6	0.006
choreographer	hoofer	freestyle	Medley_Relay	12	0.012
choreographer	hoofer	Individual_Medley	freestyle	8	0.008
choreographer	hoofer	chrysalides	recordholder_Ian	11	0.011
choreographer	hoofer	Medley_Relay	Individual_Medley	1	0.001
choreographer	hoofer	dragonfly	Medley_Relay	3	0.003
choreographer	hoofer	chrysalides	dragonfly	18	0.018
choreographer	hoofer	dragonfly	backstroke	7	0.007
choreographer	hoofer	Individual_Medley	chrysalides	3	0.003
choreographer	hoofer	backstroke	Individual_Medley	11	0.011
choreographer	hoofer	breaststroke	chrysalides	6	0.006
choreographer	hoofer	Individual_Medley	breaststroke	6	0.006
choreographer	hoofer	recordholder_Ian	Individual_Medley	5	0.005
choreographer	hoofer	backstroke	Medley_Relay	1	0.001
choreographer	hoofer	breaststroke	Medley_Relay	4	0.004
choreographer	hoofer	freestyle	Individual_Medley	15	0.015
choreographer	hoofer	freestyle	breaststroke	25	0.025
choreographer	hoofer	chrysalides	breaststroke	4	0.004
choreographer	hoofer	chrysalides	freestyle	5	0.005
choreographer	hoofer	freestyle	backstroke	12	0.012
choreographer	hoofer	dragonfly	freestyle	5	0.005
choreographer	hoofer	backstroke	dragonfly	7	0.007
choreographer	hoofer	recordholder_Ian	Medley_Relay	6	0.006
choreographer	hoofer	dragonfly	breaststroke	4	0.004
choreographer	hoofer	recordholder_Ian	chrysalides	8	0.008
choreographer	hoofer	Medley_Relay	chrysalides	4	0.004
choreographer	hoofer	Individual_Medley	recordholder_Ian	9	0.009
choreographer	hoofer	freestyle	chrysalides	13	0.013
choreographer	hoofer	chrysalides	Individual_Medley	2	0.002
choreographer	hoofer	freestyle	recordholder_Ian	19	0.019
choreographer	hoofer	recordholder_Ian	dragonfly	6	0.006
choreographer	hoofer	Individual_Medley	backstroke	2	0.002
choreographer	hoofer	Individual_Medley	Medley_Relay	1	0.001
choreographer	hoofer	freestyle	dragonfly	5	0.005
choreographer	hoofer	Medley_Relay	backstroke	5	0.005
choreographer	hoofer	backstroke	chrysalides	6	0.006
choreographer	hoofer	Individual_Medley	dragonfly	2	0.002
choreographer	hoofer	Medley_Relay	dragonfly	5	0.005
choreographer	hoofer	chrysalides	Medley_Relay	1	0.001
choreographer	hoofer	NA	NA	533	0.533
dancer	choreographer	butterfly	backstroke	70	0.07
dancer	choreographer	butterfly	recordholder_Ian	84	0.084
dancer	choreographer	butterfly	breaststroke	58	0.058
dancer	choreographer	butterfly	dragonfly	39	0.039
dancer	choreographer	butterfly	chrysalides	52	0.052
dancer	choreographer	butterfly	Medley_Relay	32	0.032
dancer	choreographer	butterfly	freestyle	101	0.101
dancer	choreographer	butterfly	Individual_Medley	31	0.031
dancer	choreographer	NA	NA	533	0.533
dancer	hoofer	butterfly	freestyle	72	0.072
dancer	hoofer	butterfly	breaststroke	67	0.067
dancer	hoofer	butterfly	dragonfly	49	0.049
dancer	hoofer	butterfly	recordholder_Ian	97	0.097
dancer	hoofer	butterfly	backstroke	57	0.057
dancer	hoofer	butterfly	chrysalides	54	0.054
dancer	hoofer	butterfly	Individual_Medley	43	0.043
dancer	hoofer	butterfly	Medley_Relay	28	0.028
dancer	hoofer	NA	NA	533	0.533
