B_dom	B_cod	A_dom	A_cod	count	probability
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	67	0.067
dancer	Hildegard_Behrens	butterfly	floral	74	0.074
dancer	Hildegard_Behrens	butterfly	fritillary	59	0.059
dancer	Hildegard_Behrens	butterfly	dragonfly	61	0.061
dancer	Hildegard_Behrens	butterfly	orchid	133	0.133
dancer	Hildegard_Behrens	butterfly	zebra_longwing	34	0.034
dancer	Hildegard_Behrens	butterfly	magenta_flowers	86	0.086
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	44	0.044
dancer	Hildegard_Behrens	NA	NA	442	0.442
dancer	classically_trained_dancer	butterfly	floral	48	0.048
dancer	classically_trained_dancer	butterfly	giant_swallowtail	75	0.075
dancer	classically_trained_dancer	butterfly	orchid	75	0.075
dancer	classically_trained_dancer	butterfly	gulf_fritillary	88	0.088
dancer	classically_trained_dancer	butterfly	zebra_longwing	111	0.111
dancer	classically_trained_dancer	butterfly	dragonfly	106	0.106
dancer	classically_trained_dancer	butterfly	magenta_flowers	30	0.03
dancer	classically_trained_dancer	butterfly	fritillary	25	0.025
dancer	classically_trained_dancer	NA	NA	442	0.442
classically_trained_dancer	Hildegard_Behrens	floral	giant_swallowtail	10	0.01
classically_trained_dancer	Hildegard_Behrens	giant_swallowtail	floral	15	0.015
classically_trained_dancer	Hildegard_Behrens	orchid	fritillary	12	0.012
classically_trained_dancer	Hildegard_Behrens	gulf_fritillary	dragonfly	10	0.01
classically_trained_dancer	Hildegard_Behrens	gulf_fritillary	floral	15	0.015
classically_trained_dancer	Hildegard_Behrens	gulf_fritillary	orchid	36	0.036
classically_trained_dancer	Hildegard_Behrens	giant_swallowtail	dragonfly	14	0.014
classically_trained_dancer	Hildegard_Behrens	orchid	zebra_longwing	9	0.009
classically_trained_dancer	Hildegard_Behrens	floral	fritillary	10	0.01
classically_trained_dancer	Hildegard_Behrens	gulf_fritillary	magenta_flowers	9	0.009
classically_trained_dancer	Hildegard_Behrens	giant_swallowtail	fritillary	6	0.006
classically_trained_dancer	Hildegard_Behrens	floral	orchid	6	0.006
classically_trained_dancer	Hildegard_Behrens	zebra_longwing	floral	23	0.023
classically_trained_dancer	Hildegard_Behrens	floral	gulf_fritillary	9	0.009
classically_trained_dancer	Hildegard_Behrens	dragonfly	magenta_flowers	29	0.029
classically_trained_dancer	Hildegard_Behrens	giant_swallowtail	gulf_fritillary	7	0.007
classically_trained_dancer	Hildegard_Behrens	dragonfly	fritillary	16	0.016
classically_trained_dancer	Hildegard_Behrens	orchid	magenta_flowers	16	0.016
classically_trained_dancer	Hildegard_Behrens	zebra_longwing	magenta_flowers	19	0.019
classically_trained_dancer	Hildegard_Behrens	gulf_fritillary	fritillary	5	0.005
classically_trained_dancer	Hildegard_Behrens	giant_swallowtail	orchid	22	0.022
classically_trained_dancer	Hildegard_Behrens	zebra_longwing	fritillary	5	0.005
classically_trained_dancer	Hildegard_Behrens	magenta_flowers	floral	6	0.006
classically_trained_dancer	Hildegard_Behrens	magenta_flowers	dragonfly	6	0.006
classically_trained_dancer	Hildegard_Behrens	gulf_fritillary	zebra_longwing	8	0.008
classically_trained_dancer	Hildegard_Behrens	gulf_fritillary	giant_swallowtail	5	0.005
classically_trained_dancer	Hildegard_Behrens	orchid	gulf_fritillary	9	0.009
classically_trained_dancer	Hildegard_Behrens	zebra_longwing	dragonfly	14	0.014
classically_trained_dancer	Hildegard_Behrens	zebra_longwing	orchid	37	0.037
classically_trained_dancer	Hildegard_Behrens	dragonfly	gulf_fritillary	10	0.01
classically_trained_dancer	Hildegard_Behrens	giant_swallowtail	zebra_longwing	4	0.004
classically_trained_dancer	Hildegard_Behrens	dragonfly	zebra_longwing	4	0.004
classically_trained_dancer	Hildegard_Behrens	fritillary	floral	4	0.004
classically_trained_dancer	Hildegard_Behrens	fritillary	magenta_flowers	3	0.003
classically_trained_dancer	Hildegard_Behrens	zebra_longwing	giant_swallowtail	11	0.011
classically_trained_dancer	Hildegard_Behrens	dragonfly	floral	6	0.006
classically_trained_dancer	Hildegard_Behrens	dragonfly	giant_swallowtail	22	0.022
classically_trained_dancer	Hildegard_Behrens	fritillary	giant_swallowtail	2	0.002
classically_trained_dancer	Hildegard_Behrens	fritillary	gulf_fritillary	4	0.004
classically_trained_dancer	Hildegard_Behrens	magenta_flowers	orchid	7	0.007
classically_trained_dancer	Hildegard_Behrens	dragonfly	orchid	19	0.019
classically_trained_dancer	Hildegard_Behrens	zebra_longwing	gulf_fritillary	2	0.002
classically_trained_dancer	Hildegard_Behrens	giant_swallowtail	magenta_flowers	7	0.007
classically_trained_dancer	Hildegard_Behrens	orchid	giant_swallowtail	15	0.015
classically_trained_dancer	Hildegard_Behrens	floral	dragonfly	4	0.004
classically_trained_dancer	Hildegard_Behrens	magenta_flowers	fritillary	5	0.005
classically_trained_dancer	Hildegard_Behrens	magenta_flowers	gulf_fritillary	3	0.003
classically_trained_dancer	Hildegard_Behrens	magenta_flowers	giant_swallowtail	2	0.002
classically_trained_dancer	Hildegard_Behrens	orchid	dragonfly	9	0.009
classically_trained_dancer	Hildegard_Behrens	orchid	floral	5	0.005
classically_trained_dancer	Hildegard_Behrens	fritillary	orchid	6	0.006
classically_trained_dancer	Hildegard_Behrens	floral	zebra_longwing	6	0.006
classically_trained_dancer	Hildegard_Behrens	floral	magenta_flowers	3	0.003
classically_trained_dancer	Hildegard_Behrens	fritillary	dragonfly	4	0.004
classically_trained_dancer	Hildegard_Behrens	magenta_flowers	zebra_longwing	1	0.001
classically_trained_dancer	Hildegard_Behrens	fritillary	zebra_longwing	2	0.002
classically_trained_dancer	Hildegard_Behrens	NA	NA	442	0.442
