B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	giant_swallowtail	60	0.06
dancer	female_impersonator	butterfly	orchid	107	0.107
dancer	female_impersonator	butterfly	floral	53	0.053
dancer	female_impersonator	butterfly	dragonfly	104	0.104
dancer	female_impersonator	butterfly	zebra_longwing	64	0.064
dancer	female_impersonator	butterfly	magenta_flowers	30	0.03
dancer	female_impersonator	butterfly	gulf_fritillary	61	0.061
dancer	female_impersonator	butterfly	fritillary	38	0.038
dancer	female_impersonator	NA	NA	483	0.483
dancer	classically_trained_dancer	butterfly	zebra_longwing	115	0.115
dancer	classically_trained_dancer	butterfly	fritillary	19	0.019
dancer	classically_trained_dancer	butterfly	orchid	75	0.075
dancer	classically_trained_dancer	butterfly	gulf_fritillary	74	0.074
dancer	classically_trained_dancer	butterfly	floral	72	0.072
dancer	classically_trained_dancer	butterfly	giant_swallowtail	70	0.07
dancer	classically_trained_dancer	butterfly	magenta_flowers	31	0.031
dancer	classically_trained_dancer	butterfly	dragonfly	61	0.061
dancer	classically_trained_dancer	NA	NA	483	0.483
classically_trained_dancer	female_impersonator	zebra_longwing	giant_swallowtail	13	0.013
classically_trained_dancer	female_impersonator	fritillary	orchid	4	0.004
classically_trained_dancer	female_impersonator	fritillary	floral	2	0.002
classically_trained_dancer	female_impersonator	orchid	dragonfly	11	0.011
classically_trained_dancer	female_impersonator	gulf_fritillary	dragonfly	22	0.022
classically_trained_dancer	female_impersonator	zebra_longwing	dragonfly	32	0.032
classically_trained_dancer	female_impersonator	floral	zebra_longwing	15	0.015
classically_trained_dancer	female_impersonator	giant_swallowtail	dragonfly	22	0.022
classically_trained_dancer	female_impersonator	magenta_flowers	orchid	14	0.014
classically_trained_dancer	female_impersonator	orchid	giant_swallowtail	11	0.011
classically_trained_dancer	female_impersonator	giant_swallowtail	floral	13	0.013
classically_trained_dancer	female_impersonator	gulf_fritillary	orchid	23	0.023
classically_trained_dancer	female_impersonator	zebra_longwing	magenta_flowers	8	0.008
classically_trained_dancer	female_impersonator	dragonfly	zebra_longwing	12	0.012
classically_trained_dancer	female_impersonator	orchid	gulf_fritillary	19	0.019
classically_trained_dancer	female_impersonator	zebra_longwing	orchid	31	0.031
classically_trained_dancer	female_impersonator	dragonfly	orchid	9	0.009
classically_trained_dancer	female_impersonator	dragonfly	floral	3	0.003
classically_trained_dancer	female_impersonator	floral	fritillary	11	0.011
classically_trained_dancer	female_impersonator	orchid	zebra_longwing	16	0.016
classically_trained_dancer	female_impersonator	zebra_longwing	floral	15	0.015
classically_trained_dancer	female_impersonator	dragonfly	gulf_fritillary	10	0.01
classically_trained_dancer	female_impersonator	gulf_fritillary	floral	14	0.014
classically_trained_dancer	female_impersonator	orchid	fritillary	9	0.009
classically_trained_dancer	female_impersonator	gulf_fritillary	giant_swallowtail	5	0.005
classically_trained_dancer	female_impersonator	floral	dragonfly	7	0.007
classically_trained_dancer	female_impersonator	magenta_flowers	gulf_fritillary	3	0.003
classically_trained_dancer	female_impersonator	fritillary	giant_swallowtail	4	0.004
classically_trained_dancer	female_impersonator	fritillary	dragonfly	7	0.007
classically_trained_dancer	female_impersonator	dragonfly	magenta_flowers	7	0.007
classically_trained_dancer	female_impersonator	magenta_flowers	zebra_longwing	6	0.006
classically_trained_dancer	female_impersonator	giant_swallowtail	zebra_longwing	10	0.01
classically_trained_dancer	female_impersonator	floral	gulf_fritillary	17	0.017
classically_trained_dancer	female_impersonator	dragonfly	fritillary	5	0.005
classically_trained_dancer	female_impersonator	fritillary	zebra_longwing	1	0.001
classically_trained_dancer	female_impersonator	giant_swallowtail	orchid	20	0.02
classically_trained_dancer	female_impersonator	floral	orchid	6	0.006
classically_trained_dancer	female_impersonator	giant_swallowtail	magenta_flowers	2	0.002
classically_trained_dancer	female_impersonator	gulf_fritillary	zebra_longwing	4	0.004
classically_trained_dancer	female_impersonator	orchid	magenta_flowers	6	0.006
classically_trained_dancer	female_impersonator	zebra_longwing	fritillary	6	0.006
classically_trained_dancer	female_impersonator	dragonfly	giant_swallowtail	15	0.015
classically_trained_dancer	female_impersonator	magenta_flowers	floral	3	0.003
classically_trained_dancer	female_impersonator	orchid	floral	3	0.003
classically_trained_dancer	female_impersonator	zebra_longwing	gulf_fritillary	10	0.01
classically_trained_dancer	female_impersonator	floral	giant_swallowtail	12	0.012
classically_trained_dancer	female_impersonator	gulf_fritillary	magenta_flowers	3	0.003
classically_trained_dancer	female_impersonator	floral	magenta_flowers	4	0.004
classically_trained_dancer	female_impersonator	magenta_flowers	fritillary	2	0.002
classically_trained_dancer	female_impersonator	giant_swallowtail	fritillary	2	0.002
classically_trained_dancer	female_impersonator	giant_swallowtail	gulf_fritillary	1	0.001
classically_trained_dancer	female_impersonator	magenta_flowers	dragonfly	3	0.003
classically_trained_dancer	female_impersonator	gulf_fritillary	fritillary	3	0.003
classically_trained_dancer	female_impersonator	fritillary	gulf_fritillary	1	0.001
classically_trained_dancer	female_impersonator	NA	NA	483	0.483
