B_dom	B_cod	A_dom	A_cod	count	probability
dancer	Hildegard_Behrens	butterfly	dragonfly	63	0.063
dancer	Hildegard_Behrens	butterfly	fritillary	80	0.08
dancer	Hildegard_Behrens	butterfly	magenta_flowers	66	0.066
dancer	Hildegard_Behrens	butterfly	orchid	116	0.116
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	44	0.044
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	79	0.079
dancer	Hildegard_Behrens	butterfly	floral	79	0.079
dancer	Hildegard_Behrens	butterfly	zebra_longwing	24	0.024
dancer	Hildegard_Behrens	NA	NA	449	0.449
dancer	dance	butterfly	gulf_fritillary	45	0.045
dancer	dance	butterfly	floral	83	0.083
dancer	dance	butterfly	dragonfly	105	0.105
dancer	dance	butterfly	giant_swallowtail	87	0.087
dancer	dance	butterfly	orchid	88	0.088
dancer	dance	butterfly	fritillary	20	0.02
dancer	dance	butterfly	magenta_flowers	40	0.04
dancer	dance	butterfly	zebra_longwing	83	0.083
dancer	dance	NA	NA	449	0.449
dance	Hildegard_Behrens	gulf_fritillary	dragonfly	6	0.006
dance	Hildegard_Behrens	floral	fritillary	31	0.031
dance	Hildegard_Behrens	dragonfly	magenta_flowers	24	0.024
dance	Hildegard_Behrens	dragonfly	fritillary	14	0.014
dance	Hildegard_Behrens	giant_swallowtail	fritillary	10	0.01
dance	Hildegard_Behrens	giant_swallowtail	orchid	28	0.028
dance	Hildegard_Behrens	orchid	gulf_fritillary	17	0.017
dance	Hildegard_Behrens	giant_swallowtail	magenta_flowers	9	0.009
dance	Hildegard_Behrens	floral	orchid	5	0.005
dance	Hildegard_Behrens	fritillary	magenta_flowers	3	0.003
dance	Hildegard_Behrens	orchid	giant_swallowtail	33	0.033
dance	Hildegard_Behrens	giant_swallowtail	floral	17	0.017
dance	Hildegard_Behrens	dragonfly	gulf_fritillary	8	0.008
dance	Hildegard_Behrens	magenta_flowers	fritillary	5	0.005
dance	Hildegard_Behrens	dragonfly	orchid	18	0.018
dance	Hildegard_Behrens	magenta_flowers	orchid	12	0.012
dance	Hildegard_Behrens	zebra_longwing	orchid	31	0.031
dance	Hildegard_Behrens	zebra_longwing	floral	15	0.015
dance	Hildegard_Behrens	magenta_flowers	giant_swallowtail	5	0.005
dance	Hildegard_Behrens	giant_swallowtail	dragonfly	16	0.016
dance	Hildegard_Behrens	floral	giant_swallowtail	19	0.019
dance	Hildegard_Behrens	gulf_fritillary	magenta_flowers	5	0.005
dance	Hildegard_Behrens	magenta_flowers	dragonfly	9	0.009
dance	Hildegard_Behrens	zebra_longwing	dragonfly	16	0.016
dance	Hildegard_Behrens	dragonfly	floral	19	0.019
dance	Hildegard_Behrens	orchid	magenta_flowers	15	0.015
dance	Hildegard_Behrens	gulf_fritillary	orchid	17	0.017
dance	Hildegard_Behrens	floral	gulf_fritillary	11	0.011
dance	Hildegard_Behrens	floral	magenta_flowers	3	0.003
dance	Hildegard_Behrens	zebra_longwing	fritillary	7	0.007
dance	Hildegard_Behrens	dragonfly	giant_swallowtail	14	0.014
dance	Hildegard_Behrens	floral	dragonfly	9	0.009
dance	Hildegard_Behrens	zebra_longwing	giant_swallowtail	6	0.006
dance	Hildegard_Behrens	zebra_longwing	magenta_flowers	7	0.007
dance	Hildegard_Behrens	gulf_fritillary	floral	12	0.012
dance	Hildegard_Behrens	orchid	fritillary	10	0.01
dance	Hildegard_Behrens	magenta_flowers	floral	7	0.007
dance	Hildegard_Behrens	orchid	zebra_longwing	6	0.006
dance	Hildegard_Behrens	magenta_flowers	gulf_fritillary	2	0.002
dance	Hildegard_Behrens	orchid	dragonfly	3	0.003
dance	Hildegard_Behrens	fritillary	floral	5	0.005
dance	Hildegard_Behrens	fritillary	dragonfly	4	0.004
dance	Hildegard_Behrens	orchid	floral	4	0.004
dance	Hildegard_Behrens	fritillary	orchid	5	0.005
dance	Hildegard_Behrens	dragonfly	zebra_longwing	8	0.008
dance	Hildegard_Behrens	fritillary	gulf_fritillary	1	0.001
dance	Hildegard_Behrens	giant_swallowtail	gulf_fritillary	4	0.004
dance	Hildegard_Behrens	floral	zebra_longwing	5	0.005
dance	Hildegard_Behrens	gulf_fritillary	giant_swallowtail	1	0.001
dance	Hildegard_Behrens	gulf_fritillary	fritillary	3	0.003
dance	Hildegard_Behrens	fritillary	giant_swallowtail	1	0.001
dance	Hildegard_Behrens	zebra_longwing	gulf_fritillary	1	0.001
dance	Hildegard_Behrens	giant_swallowtail	zebra_longwing	3	0.003
dance	Hildegard_Behrens	gulf_fritillary	zebra_longwing	1	0.001
dance	Hildegard_Behrens	fritillary	zebra_longwing	1	0.001
dance	Hildegard_Behrens	NA	NA	449	0.449
