B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	dragonfly	109	0.109
dancer	ballerina	butterfly	breaststroke	63	0.063
dancer	ballerina	butterfly	backstroke	62	0.062
dancer	ballerina	butterfly	chrysalides	91	0.091
dancer	ballerina	butterfly	recordholder_Ian	147	0.147
dancer	ballerina	butterfly	freestyle	64	0.064
dancer	ballerina	butterfly	Individual_Medley	39	0.039
dancer	ballerina	butterfly	Medley_Relay	17	0.017
dancer	ballerina	NA	NA	408	0.408
dancer	dance	butterfly	chrysalides	80	0.08
dancer	dance	butterfly	freestyle	118	0.118
dancer	dance	butterfly	recordholder_Ian	98	0.098
dancer	dance	butterfly	Individual_Medley	49	0.049
dancer	dance	butterfly	backstroke	86	0.086
dancer	dance	butterfly	dragonfly	50	0.05
dancer	dance	butterfly	breaststroke	65	0.065
dancer	dance	butterfly	Medley_Relay	46	0.046
dancer	dance	NA	NA	408	0.408
dance	ballerina	chrysalides	dragonfly	43	0.043
dance	ballerina	chrysalides	breaststroke	7	0.007
dance	ballerina	freestyle	backstroke	13	0.013
dance	ballerina	recordholder_Ian	breaststroke	27	0.027
dance	ballerina	recordholder_Ian	chrysalides	19	0.019
dance	ballerina	Individual_Medley	recordholder_Ian	11	0.011
dance	ballerina	recordholder_Ian	backstroke	22	0.022
dance	ballerina	backstroke	chrysalides	13	0.013
dance	ballerina	freestyle	chrysalides	13	0.013
dance	ballerina	dragonfly	chrysalides	27	0.027
dance	ballerina	backstroke	freestyle	9	0.009
dance	ballerina	breaststroke	freestyle	5	0.005
dance	ballerina	Individual_Medley	breaststroke	10	0.01
dance	ballerina	dragonfly	backstroke	6	0.006
dance	ballerina	breaststroke	Individual_Medley	3	0.003
dance	ballerina	breaststroke	recordholder_Ian	26	0.026
dance	ballerina	freestyle	Medley_Relay	9	0.009
dance	ballerina	freestyle	breaststroke	7	0.007
dance	ballerina	recordholder_Ian	Individual_Medley	8	0.008
dance	ballerina	chrysalides	freestyle	8	0.008
dance	ballerina	Medley_Relay	backstroke	7	0.007
dance	ballerina	backstroke	recordholder_Ian	34	0.034
dance	ballerina	breaststroke	chrysalides	11	0.011
dance	ballerina	chrysalides	recordholder_Ian	14	0.014
dance	ballerina	Individual_Medley	freestyle	14	0.014
dance	ballerina	recordholder_Ian	freestyle	16	0.016
dance	ballerina	chrysalides	Individual_Medley	2	0.002
dance	ballerina	freestyle	dragonfly	21	0.021
dance	ballerina	freestyle	recordholder_Ian	40	0.04
dance	ballerina	Medley_Relay	recordholder_Ian	15	0.015
dance	ballerina	backstroke	dragonfly	17	0.017
dance	ballerina	freestyle	Individual_Medley	15	0.015
dance	ballerina	Medley_Relay	freestyle	11	0.011
dance	ballerina	dragonfly	breaststroke	7	0.007
dance	ballerina	Individual_Medley	backstroke	4	0.004
dance	ballerina	recordholder_Ian	dragonfly	6	0.006
dance	ballerina	Medley_Relay	Individual_Medley	4	0.004
dance	ballerina	breaststroke	Medley_Relay	2	0.002
dance	ballerina	chrysalides	Medley_Relay	2	0.002
dance	ballerina	Individual_Medley	chrysalides	5	0.005
dance	ballerina	breaststroke	dragonfly	12	0.012
dance	ballerina	Medley_Relay	chrysalides	3	0.003
dance	ballerina	dragonfly	Individual_Medley	2	0.002
dance	ballerina	backstroke	breaststroke	4	0.004
dance	ballerina	backstroke	Individual_Medley	5	0.005
dance	ballerina	backstroke	Medley_Relay	4	0.004
dance	ballerina	breaststroke	backstroke	6	0.006
dance	ballerina	dragonfly	recordholder_Ian	7	0.007
dance	ballerina	chrysalides	backstroke	4	0.004
dance	ballerina	Individual_Medley	dragonfly	5	0.005
dance	ballerina	Medley_Relay	dragonfly	5	0.005
dance	ballerina	dragonfly	freestyle	1	0.001
dance	ballerina	Medley_Relay	breaststroke	1	0.001
dance	ballerina	NA	NA	408	0.408
