B_dom	B_cod	A_dom	A_cod	count	probability
dance	choreographer	backstroke	Medley_Relay	6	0.006
dance	choreographer	freestyle	breaststroke	19	0.019
dance	choreographer	chrysalides	recordholder_Ian	13	0.013
dance	choreographer	freestyle	backstroke	16	0.016
dance	choreographer	chrysalides	dragonfly	13	0.013
dance	choreographer	freestyle	Medley_Relay	21	0.021
dance	choreographer	freestyle	Individual_Medley	20	0.02
dance	choreographer	recordholder_Ian	breaststroke	20	0.02
dance	choreographer	recordholder_Ian	chrysalides	6	0.006
dance	choreographer	dragonfly	backstroke	8	0.008
dance	choreographer	Individual_Medley	freestyle	43	0.043
dance	choreographer	backstroke	breaststroke	9	0.009
dance	choreographer	dragonfly	recordholder_Ian	5	0.005
dance	choreographer	Medley_Relay	backstroke	10	0.01
dance	choreographer	dragonfly	breaststroke	7	0.007
dance	choreographer	breaststroke	recordholder_Ian	20	0.02
dance	choreographer	backstroke	freestyle	9	0.009
dance	choreographer	backstroke	Individual_Medley	11	0.011
dance	choreographer	backstroke	dragonfly	8	0.008
dance	choreographer	dragonfly	chrysalides	19	0.019
dance	choreographer	freestyle	recordholder_Ian	20	0.02
dance	choreographer	Medley_Relay	freestyle	33	0.033
dance	choreographer	dragonfly	freestyle	7	0.007
dance	choreographer	Individual_Medley	breaststroke	12	0.012
dance	choreographer	backstroke	recordholder_Ian	28	0.028
dance	choreographer	chrysalides	freestyle	7	0.007
dance	choreographer	recordholder_Ian	backstroke	24	0.024
dance	choreographer	breaststroke	freestyle	10	0.01
dance	choreographer	breaststroke	backstroke	5	0.005
dance	choreographer	breaststroke	Medley_Relay	7	0.007
dance	choreographer	chrysalides	breaststroke	6	0.006
dance	choreographer	chrysalides	Individual_Medley	3	0.003
dance	choreographer	breaststroke	chrysalides	3	0.003
dance	choreographer	Individual_Medley	backstroke	7	0.007
dance	choreographer	breaststroke	Individual_Medley	8	0.008
dance	choreographer	dragonfly	Medley_Relay	1	0.001
dance	choreographer	chrysalides	backstroke	5	0.005
dance	choreographer	Medley_Relay	breaststroke	12	0.012
dance	choreographer	Individual_Medley	Medley_Relay	3	0.003
dance	choreographer	recordholder_Ian	Individual_Medley	2	0.002
dance	choreographer	recordholder_Ian	Medley_Relay	3	0.003
dance	choreographer	recordholder_Ian	dragonfly	4	0.004
dance	choreographer	Medley_Relay	recordholder_Ian	2	0.002
dance	choreographer	Individual_Medley	recordholder_Ian	13	0.013
dance	choreographer	freestyle	chrysalides	4	0.004
dance	choreographer	recordholder_Ian	freestyle	11	0.011
dance	choreographer	Medley_Relay	chrysalides	1	0.001
dance	choreographer	freestyle	dragonfly	7	0.007
dance	choreographer	dragonfly	Individual_Medley	3	0.003
dance	choreographer	Medley_Relay	dragonfly	3	0.003
dance	choreographer	Individual_Medley	chrysalides	4	0.004
dance	choreographer	backstroke	chrysalides	1	0.001
dance	choreographer	breaststroke	dragonfly	1	0.001
dance	choreographer	NA	NA	457	0.457
dancer	dance	butterfly	backstroke	72	0.072
dancer	dance	butterfly	freestyle	107	0.107
dancer	dance	butterfly	chrysalides	47	0.047
dancer	dance	butterfly	recordholder_Ian	70	0.07
dancer	dance	butterfly	dragonfly	50	0.05
dancer	dance	butterfly	Individual_Medley	82	0.082
dancer	dance	butterfly	Medley_Relay	61	0.061
dancer	dance	butterfly	breaststroke	54	0.054
dancer	dance	NA	NA	457	0.457
dancer	choreographer	butterfly	Medley_Relay	41	0.041
dancer	choreographer	butterfly	breaststroke	85	0.085
dancer	choreographer	butterfly	recordholder_Ian	101	0.101
dancer	choreographer	butterfly	backstroke	75	0.075
dancer	choreographer	butterfly	dragonfly	36	0.036
dancer	choreographer	butterfly	Individual_Medley	47	0.047
dancer	choreographer	butterfly	chrysalides	38	0.038
dancer	choreographer	butterfly	freestyle	120	0.12
dancer	choreographer	NA	NA	457	0.457
