B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	floral	97	0.097
dancer	dance	butterfly	gulf_fritillary	50	0.05
dancer	dance	butterfly	dragonfly	81	0.081
dancer	dance	butterfly	giant_swallowtail	82	0.082
dancer	dance	butterfly	magenta_flowers	40	0.04
dancer	dance	butterfly	orchid	74	0.074
dancer	dance	butterfly	zebra_longwing	63	0.063
dancer	dance	butterfly	fritillary	26	0.026
dancer	dance	NA	NA	487	0.487
dancer	classically_trained_dancer	butterfly	gulf_fritillary	82	0.082
dancer	classically_trained_dancer	butterfly	orchid	91	0.091
dancer	classically_trained_dancer	butterfly	floral	43	0.043
dancer	classically_trained_dancer	butterfly	fritillary	17	0.017
dancer	classically_trained_dancer	butterfly	dragonfly	79	0.079
dancer	classically_trained_dancer	butterfly	zebra_longwing	85	0.085
dancer	classically_trained_dancer	butterfly	giant_swallowtail	77	0.077
dancer	classically_trained_dancer	butterfly	magenta_flowers	39	0.039
dancer	classically_trained_dancer	NA	NA	487	0.487
dance	classically_trained_dancer	floral	gulf_fritillary	15	0.015
dance	classically_trained_dancer	gulf_fritillary	orchid	14	0.014
dance	classically_trained_dancer	dragonfly	orchid	10	0.01
dance	classically_trained_dancer	giant_swallowtail	floral	11	0.011
dance	classically_trained_dancer	magenta_flowers	fritillary	2	0.002
dance	classically_trained_dancer	orchid	gulf_fritillary	23	0.023
dance	classically_trained_dancer	zebra_longwing	dragonfly	16	0.016
dance	classically_trained_dancer	orchid	zebra_longwing	16	0.016
dance	classically_trained_dancer	dragonfly	gulf_fritillary	20	0.02
dance	classically_trained_dancer	floral	zebra_longwing	28	0.028
dance	classically_trained_dancer	floral	fritillary	6	0.006
dance	classically_trained_dancer	floral	giant_swallowtail	21	0.021
dance	classically_trained_dancer	dragonfly	zebra_longwing	15	0.015
dance	classically_trained_dancer	zebra_longwing	floral	9	0.009
dance	classically_trained_dancer	giant_swallowtail	orchid	25	0.025
dance	classically_trained_dancer	fritillary	dragonfly	4	0.004
dance	classically_trained_dancer	gulf_fritillary	zebra_longwing	5	0.005
dance	classically_trained_dancer	zebra_longwing	giant_swallowtail	8	0.008
dance	classically_trained_dancer	gulf_fritillary	giant_swallowtail	7	0.007
dance	classically_trained_dancer	zebra_longwing	fritillary	2	0.002
dance	classically_trained_dancer	giant_swallowtail	zebra_longwing	9	0.009
dance	classically_trained_dancer	floral	dragonfly	8	0.008
dance	classically_trained_dancer	magenta_flowers	gulf_fritillary	8	0.008
dance	classically_trained_dancer	magenta_flowers	zebra_longwing	8	0.008
dance	classically_trained_dancer	dragonfly	fritillary	4	0.004
dance	classically_trained_dancer	zebra_longwing	orchid	19	0.019
dance	classically_trained_dancer	orchid	magenta_flowers	7	0.007
dance	classically_trained_dancer	orchid	giant_swallowtail	13	0.013
dance	classically_trained_dancer	magenta_flowers	dragonfly	12	0.012
dance	classically_trained_dancer	giant_swallowtail	dragonfly	20	0.02
dance	classically_trained_dancer	gulf_fritillary	dragonfly	9	0.009
dance	classically_trained_dancer	floral	orchid	13	0.013
dance	classically_trained_dancer	dragonfly	magenta_flowers	7	0.007
dance	classically_trained_dancer	orchid	fritillary	2	0.002
dance	classically_trained_dancer	giant_swallowtail	gulf_fritillary	10	0.01
dance	classically_trained_dancer	dragonfly	giant_swallowtail	22	0.022
dance	classically_trained_dancer	gulf_fritillary	floral	9	0.009
dance	classically_trained_dancer	orchid	dragonfly	10	0.01
dance	classically_trained_dancer	zebra_longwing	magenta_flowers	6	0.006
dance	classically_trained_dancer	fritillary	orchid	6	0.006
dance	classically_trained_dancer	fritillary	zebra_longwing	4	0.004
dance	classically_trained_dancer	magenta_flowers	floral	2	0.002
dance	classically_trained_dancer	floral	magenta_flowers	6	0.006
dance	classically_trained_dancer	fritillary	floral	6	0.006
dance	classically_trained_dancer	magenta_flowers	orchid	4	0.004
dance	classically_trained_dancer	gulf_fritillary	magenta_flowers	5	0.005
dance	classically_trained_dancer	fritillary	giant_swallowtail	2	0.002
dance	classically_trained_dancer	zebra_longwing	gulf_fritillary	3	0.003
dance	classically_trained_dancer	magenta_flowers	giant_swallowtail	4	0.004
dance	classically_trained_dancer	gulf_fritillary	fritillary	1	0.001
dance	classically_trained_dancer	fritillary	magenta_flowers	1	0.001
dance	classically_trained_dancer	giant_swallowtail	magenta_flowers	7	0.007
dance	classically_trained_dancer	orchid	floral	3	0.003
dance	classically_trained_dancer	fritillary	gulf_fritillary	3	0.003
dance	classically_trained_dancer	dragonfly	floral	3	0.003
dance	classically_trained_dancer	NA	NA	487	0.487
