B_dom	B_cod	A_dom	A_cod	count	probability
dance	dancing	chrysalides	Individual_Medley	4	0.004
dance	dancing	Individual_Medley	recordholder_Ian	8	0.008
dance	dancing	backstroke	freestyle	39	0.039
dance	dancing	chrysalides	dragonfly	17	0.017
dance	dancing	Medley_Relay	dragonfly	2	0.002
dance	dancing	freestyle	Individual_Medley	20	0.02
dance	dancing	freestyle	breaststroke	25	0.025
dance	dancing	freestyle	dragonfly	10	0.01
dance	dancing	breaststroke	dragonfly	7	0.007
dance	dancing	Individual_Medley	freestyle	17	0.017
dance	dancing	freestyle	chrysalides	10	0.01
dance	dancing	freestyle	backstroke	35	0.035
dance	dancing	breaststroke	backstroke	4	0.004
dance	dancing	freestyle	Medley_Relay	12	0.012
dance	dancing	breaststroke	recordholder_Ian	8	0.008
dance	dancing	dragonfly	backstroke	6	0.006
dance	dancing	Individual_Medley	backstroke	5	0.005
dance	dancing	recordholder_Ian	chrysalides	11	0.011
dance	dancing	recordholder_Ian	freestyle	12	0.012
dance	dancing	freestyle	recordholder_Ian	19	0.019
dance	dancing	backstroke	chrysalides	8	0.008
dance	dancing	recordholder_Ian	dragonfly	5	0.005
dance	dancing	Medley_Relay	Individual_Medley	10	0.01
dance	dancing	dragonfly	freestyle	8	0.008
dance	dancing	chrysalides	freestyle	13	0.013
dance	dancing	Medley_Relay	freestyle	12	0.012
dance	dancing	breaststroke	freestyle	36	0.036
dance	dancing	Medley_Relay	backstroke	6	0.006
dance	dancing	backstroke	breaststroke	5	0.005
dance	dancing	dragonfly	chrysalides	12	0.012
dance	dancing	Medley_Relay	breaststroke	8	0.008
dance	dancing	dragonfly	breaststroke	3	0.003
dance	dancing	Individual_Medley	breaststroke	7	0.007
dance	dancing	breaststroke	Medley_Relay	6	0.006
dance	dancing	recordholder_Ian	Individual_Medley	7	0.007
dance	dancing	chrysalides	recordholder_Ian	5	0.005
dance	dancing	recordholder_Ian	backstroke	2	0.002
dance	dancing	breaststroke	chrysalides	6	0.006
dance	dancing	backstroke	Medley_Relay	5	0.005
dance	dancing	backstroke	Individual_Medley	9	0.009
dance	dancing	Medley_Relay	chrysalides	2	0.002
dance	dancing	chrysalides	Medley_Relay	3	0.003
dance	dancing	dragonfly	Individual_Medley	5	0.005
dance	dancing	Medley_Relay	recordholder_Ian	2	0.002
dance	dancing	chrysalides	backstroke	2	0.002
dance	dancing	breaststroke	Individual_Medley	7	0.007
dance	dancing	backstroke	recordholder_Ian	6	0.006
dance	dancing	Individual_Medley	Medley_Relay	13	0.013
dance	dancing	recordholder_Ian	breaststroke	10	0.01
dance	dancing	recordholder_Ian	Medley_Relay	4	0.004
dance	dancing	chrysalides	breaststroke	1	0.001
dance	dancing	Individual_Medley	dragonfly	1	0.001
dance	dancing	dragonfly	Medley_Relay	1	0.001
dance	dancing	backstroke	dragonfly	1	0.001
dance	dancing	Individual_Medley	chrysalides	1	0.001
dance	dancing	dragonfly	recordholder_Ian	4	0.004
dance	dancing	NA	NA	493	0.493
dancer	dancing	butterfly	Individual_Medley	62	0.062
dancer	dancing	butterfly	recordholder_Ian	52	0.052
dancer	dancing	butterfly	freestyle	137	0.137
dancer	dancing	butterfly	dragonfly	43	0.043
dancer	dancing	butterfly	breaststroke	59	0.059
dancer	dancing	butterfly	chrysalides	50	0.05
dancer	dancing	butterfly	backstroke	60	0.06
dancer	dancing	butterfly	Medley_Relay	44	0.044
dancer	dancing	NA	NA	493	0.493
dancer	dance	butterfly	chrysalides	45	0.045
dancer	dance	butterfly	Individual_Medley	52	0.052
dancer	dance	butterfly	backstroke	73	0.073
dancer	dance	butterfly	Medley_Relay	42	0.042
dancer	dance	butterfly	freestyle	131	0.131
dancer	dance	butterfly	breaststroke	74	0.074
dancer	dance	butterfly	dragonfly	39	0.039
dancer	dance	butterfly	recordholder_Ian	51	0.051
dancer	dance	NA	NA	493	0.493
