B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	fritillary	52	0.052
dancer	female_impersonator	butterfly	giant_swallowtail	71	0.071
dancer	female_impersonator	butterfly	gulf_fritillary	50	0.05
dancer	female_impersonator	butterfly	floral	52	0.052
dancer	female_impersonator	butterfly	dragonfly	139	0.139
dancer	female_impersonator	butterfly	zebra_longwing	60	0.06
dancer	female_impersonator	butterfly	orchid	99	0.099
dancer	female_impersonator	butterfly	magenta_flowers	33	0.033
dancer	female_impersonator	NA	NA	444	0.444
dancer	dance	butterfly	floral	95	0.095
dancer	dance	butterfly	orchid	87	0.087
dancer	dance	butterfly	gulf_fritillary	49	0.049
dancer	dance	butterfly	dragonfly	91	0.091
dancer	dance	butterfly	zebra_longwing	99	0.099
dancer	dance	butterfly	fritillary	20	0.02
dancer	dance	butterfly	giant_swallowtail	79	0.079
dancer	dance	butterfly	magenta_flowers	36	0.036
dancer	dance	NA	NA	444	0.444
dance	female_impersonator	floral	fritillary	18	0.018
dance	female_impersonator	floral	giant_swallowtail	21	0.021
dance	female_impersonator	orchid	gulf_fritillary	16	0.016
dance	female_impersonator	orchid	floral	11	0.011
dance	female_impersonator	gulf_fritillary	dragonfly	20	0.02
dance	female_impersonator	dragonfly	zebra_longwing	24	0.024
dance	female_impersonator	zebra_longwing	dragonfly	44	0.044
dance	female_impersonator	dragonfly	giant_swallowtail	25	0.025
dance	female_impersonator	dragonfly	fritillary	11	0.011
dance	female_impersonator	fritillary	gulf_fritillary	3	0.003
dance	female_impersonator	dragonfly	orchid	10	0.01
dance	female_impersonator	giant_swallowtail	dragonfly	29	0.029
dance	female_impersonator	floral	zebra_longwing	14	0.014
dance	female_impersonator	floral	gulf_fritillary	12	0.012
dance	female_impersonator	zebra_longwing	magenta_flowers	7	0.007
dance	female_impersonator	zebra_longwing	orchid	27	0.027
dance	female_impersonator	dragonfly	floral	5	0.005
dance	female_impersonator	floral	orchid	15	0.015
dance	female_impersonator	orchid	zebra_longwing	13	0.013
dance	female_impersonator	fritillary	zebra_longwing	1	0.001
dance	female_impersonator	giant_swallowtail	fritillary	6	0.006
dance	female_impersonator	gulf_fritillary	giant_swallowtail	4	0.004
dance	female_impersonator	dragonfly	magenta_flowers	8	0.008
dance	female_impersonator	gulf_fritillary	floral	6	0.006
dance	female_impersonator	magenta_flowers	orchid	11	0.011
dance	female_impersonator	magenta_flowers	fritillary	2	0.002
dance	female_impersonator	gulf_fritillary	orchid	10	0.01
dance	female_impersonator	orchid	magenta_flowers	10	0.01
dance	female_impersonator	fritillary	orchid	4	0.004
dance	female_impersonator	zebra_longwing	floral	7	0.007
dance	female_impersonator	floral	dragonfly	11	0.011
dance	female_impersonator	magenta_flowers	giant_swallowtail	3	0.003
dance	female_impersonator	fritillary	dragonfly	5	0.005
dance	female_impersonator	fritillary	floral	5	0.005
dance	female_impersonator	giant_swallowtail	floral	14	0.014
dance	female_impersonator	gulf_fritillary	magenta_flowers	2	0.002
dance	female_impersonator	orchid	fritillary	3	0.003
dance	female_impersonator	gulf_fritillary	zebra_longwing	2	0.002
dance	female_impersonator	giant_swallowtail	orchid	22	0.022
dance	female_impersonator	magenta_flowers	gulf_fritillary	3	0.003
dance	female_impersonator	zebra_longwing	giant_swallowtail	4	0.004
dance	female_impersonator	giant_swallowtail	gulf_fritillary	5	0.005
dance	female_impersonator	orchid	giant_swallowtail	12	0.012
dance	female_impersonator	floral	magenta_flowers	4	0.004
dance	female_impersonator	dragonfly	gulf_fritillary	8	0.008
dance	female_impersonator	orchid	dragonfly	22	0.022
dance	female_impersonator	magenta_flowers	floral	4	0.004
dance	female_impersonator	magenta_flowers	dragonfly	8	0.008
dance	female_impersonator	zebra_longwing	fritillary	7	0.007
dance	female_impersonator	magenta_flowers	zebra_longwing	5	0.005
dance	female_impersonator	zebra_longwing	gulf_fritillary	3	0.003
dance	female_impersonator	giant_swallowtail	magenta_flowers	2	0.002
dance	female_impersonator	fritillary	giant_swallowtail	2	0.002
dance	female_impersonator	gulf_fritillary	fritillary	5	0.005
dance	female_impersonator	giant_swallowtail	zebra_longwing	1	0.001
dance	female_impersonator	NA	NA	444	0.444
