B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	breaststroke	60	0.06
dancer	dance	butterfly	recordholder_Ian	130	0.13
dancer	dance	butterfly	chrysalides	102	0.102
dancer	dance	butterfly	freestyle	153	0.153
dancer	dance	butterfly	Individual_Medley	61	0.061
dancer	dance	butterfly	Medley_Relay	42	0.042
dancer	dance	butterfly	backstroke	82	0.082
dancer	dance	butterfly	dragonfly	101	0.101
dancer	dance	NA	NA	269	0.269
dancer	gymnast	butterfly	dragonfly	95	0.095
dancer	gymnast	butterfly	freestyle	90	0.09
dancer	gymnast	butterfly	Medley_Relay	46	0.046
dancer	gymnast	butterfly	recordholder_Ian	148	0.148
dancer	gymnast	butterfly	breaststroke	99	0.099
dancer	gymnast	butterfly	Individual_Medley	136	0.136
dancer	gymnast	butterfly	chrysalides	56	0.056
dancer	gymnast	butterfly	backstroke	61	0.061
dancer	gymnast	NA	NA	269	0.269
dance	gymnast	breaststroke	dragonfly	13	0.013
dance	gymnast	recordholder_Ian	freestyle	26	0.026
dance	gymnast	chrysalides	dragonfly	21	0.021
dance	gymnast	freestyle	Medley_Relay	26	0.026
dance	gymnast	freestyle	dragonfly	27	0.027
dance	gymnast	Individual_Medley	recordholder_Ian	20	0.02
dance	gymnast	recordholder_Ian	breaststroke	40	0.04
dance	gymnast	Individual_Medley	freestyle	14	0.014
dance	gymnast	freestyle	recordholder_Ian	43	0.043
dance	gymnast	breaststroke	recordholder_Ian	24	0.024
dance	gymnast	freestyle	breaststroke	15	0.015
dance	gymnast	freestyle	Individual_Medley	30	0.03
dance	gymnast	recordholder_Ian	Individual_Medley	44	0.044
dance	gymnast	Medley_Relay	chrysalides	5	0.005
dance	gymnast	Medley_Relay	breaststroke	7	0.007
dance	gymnast	freestyle	backstroke	5	0.005
dance	gymnast	backstroke	recordholder_Ian	32	0.032
dance	gymnast	backstroke	dragonfly	12	0.012
dance	gymnast	dragonfly	Individual_Medley	22	0.022
dance	gymnast	Medley_Relay	Individual_Medley	3	0.003
dance	gymnast	chrysalides	backstroke	13	0.013
dance	gymnast	dragonfly	backstroke	26	0.026
dance	gymnast	breaststroke	Medley_Relay	2	0.002
dance	gymnast	chrysalides	Individual_Medley	23	0.023
dance	gymnast	Individual_Medley	dragonfly	15	0.015
dance	gymnast	dragonfly	chrysalides	18	0.018
dance	gymnast	Medley_Relay	freestyle	11	0.011
dance	gymnast	backstroke	Individual_Medley	10	0.01
dance	gymnast	backstroke	Medley_Relay	9	0.009
dance	gymnast	chrysalides	breaststroke	23	0.023
dance	gymnast	recordholder_Ian	chrysalides	1	0.001
dance	gymnast	chrysalides	freestyle	9	0.009
dance	gymnast	chrysalides	recordholder_Ian	11	0.011
dance	gymnast	dragonfly	freestyle	17	0.017
dance	gymnast	breaststroke	freestyle	6	0.006
dance	gymnast	breaststroke	chrysalides	10	0.01
dance	gymnast	backstroke	freestyle	7	0.007
dance	gymnast	backstroke	breaststroke	1	0.001
dance	gymnast	Individual_Medley	chrysalides	4	0.004
dance	gymnast	dragonfly	recordholder_Ian	9	0.009
dance	gymnast	recordholder_Ian	Medley_Relay	5	0.005
dance	gymnast	backstroke	chrysalides	11	0.011
dance	gymnast	recordholder_Ian	backstroke	12	0.012
dance	gymnast	dragonfly	breaststroke	8	0.008
dance	gymnast	Medley_Relay	recordholder_Ian	9	0.009
dance	gymnast	recordholder_Ian	dragonfly	2	0.002
dance	gymnast	Individual_Medley	breaststroke	5	0.005
dance	gymnast	Medley_Relay	backstroke	2	0.002
dance	gymnast	breaststroke	Individual_Medley	4	0.004
dance	gymnast	freestyle	chrysalides	7	0.007
dance	gymnast	Medley_Relay	dragonfly	5	0.005
dance	gymnast	dragonfly	Medley_Relay	1	0.001
dance	gymnast	Individual_Medley	Medley_Relay	1	0.001
dance	gymnast	chrysalides	Medley_Relay	2	0.002
dance	gymnast	breaststroke	backstroke	1	0.001
dance	gymnast	Individual_Medley	backstroke	2	0.002
dance	gymnast	NA	NA	269	0.269
