B_dom	B_cod	A_dom	A_cod	count	probability
dance	night	feather	sky	20	0.02
dance	night	dance	woman	124	0.124
dance	night	sky	empty	7	0.007
dance	night	sky	dance	7	0.007
dance	night	fly	dance	29	0.029
dance	night	dance	sky	73	0.073
dance	night	dance	fly	58	0.058
dance	night	beauty	empty	7	0.007
dance	night	fly	empty	24	0.024
dance	night	beauty	dance	29	0.029
dance	night	feather	woman	14	0.014
dance	night	flower	dance	38	0.038
dance	night	flower	woman	16	0.016
dance	night	dance	empty	37	0.037
dance	night	feather	dance	11	0.011
dance	night	dance	feather	16	0.016
dance	night	dance	flower	5	0.005
dance	night	feather	fly	15	0.015
dance	night	fly	feather	4	0.004
dance	night	beauty	sky	21	0.021
dance	night	beauty	feather	3	0.003
dance	night	beauty	woman	17	0.017
dance	night	sky	feather	2	0.002
dance	night	flower	sky	29	0.029
dance	night	flower	beauty	4	0.004
dance	night	fly	flower	1	0.001
dance	night	dance	beauty	11	0.011
dance	night	feather	empty	3	0.003
dance	night	fly	sky	8	0.008
dance	night	feather	flower	1	0.001
dance	night	flower	empty	12	0.012
dance	night	flower	fly	8	0.008
dance	night	sky	flower	1	0.001
dance	night	woman	empty	7	0.007
dance	night	flower	feather	4	0.004
dance	night	woman	dance	2	0.002
dance	night	feather	beauty	1	0.001
dance	night	NA	NA	331	0.331
dancer	dance	butterfly	feather	65	0.065
dancer	dance	butterfly	dance	324	0.324
dancer	dance	butterfly	sky	17	0.017
dancer	dance	butterfly	fly	66	0.066
dancer	dance	butterfly	beauty	77	0.077
dancer	dance	butterfly	flower	111	0.111
dancer	dance	butterfly	woman	9	0.009
dancer	dance	NA	NA	331	0.331
dancer	night	butterfly	sky	151	0.151
dancer	night	butterfly	woman	171	0.171
dancer	night	butterfly	empty	97	0.097
dancer	night	butterfly	dance	116	0.116
dancer	night	butterfly	fly	81	0.081
dancer	night	butterfly	feather	29	0.029
dancer	night	butterfly	flower	8	0.008
dancer	night	butterfly	beauty	16	0.016
dancer	night	NA	NA	331	0.331
