B_dom	B_cod	A_dom	A_cod	count	probability
dancer	singers	butterfly	orchid	88	0.088
dancer	singers	butterfly	zebra_longwing	68	0.068
dancer	singers	butterfly	giant_swallowtail	124	0.124
dancer	singers	butterfly	fritillary	65	0.065
dancer	singers	butterfly	gulf_fritillary	40	0.04
dancer	singers	butterfly	floral	47	0.047
dancer	singers	butterfly	dragonfly	12	0.012
dancer	singers	butterfly	magenta_flowers	49	0.049
dancer	singers	NA	NA	507	0.507
dancer	dance	butterfly	magenta_flowers	45	0.045
dancer	dance	butterfly	dragonfly	111	0.111
dancer	dance	butterfly	zebra_longwing	65	0.065
dancer	dance	butterfly	giant_swallowtail	48	0.048
dancer	dance	butterfly	fritillary	13	0.013
dancer	dance	butterfly	orchid	78	0.078
dancer	dance	butterfly	floral	93	0.093
dancer	dance	butterfly	gulf_fritillary	40	0.04
dancer	dance	NA	NA	507	0.507
dance	singers	magenta_flowers	orchid	7	0.007
dance	singers	dragonfly	zebra_longwing	15	0.015
dance	singers	zebra_longwing	orchid	22	0.022
dance	singers	dragonfly	giant_swallowtail	39	0.039
dance	singers	zebra_longwing	fritillary	3	0.003
dance	singers	giant_swallowtail	gulf_fritillary	5	0.005
dance	singers	zebra_longwing	floral	17	0.017
dance	singers	dragonfly	gulf_fritillary	8	0.008
dance	singers	zebra_longwing	gulf_fritillary	3	0.003
dance	singers	fritillary	orchid	4	0.004
dance	singers	orchid	fritillary	12	0.012
dance	singers	floral	gulf_fritillary	7	0.007
dance	singers	floral	orchid	9	0.009
dance	singers	orchid	giant_swallowtail	25	0.025
dance	singers	orchid	dragonfly	1	0.001
dance	singers	zebra_longwing	giant_swallowtail	10	0.01
dance	singers	gulf_fritillary	floral	9	0.009
dance	singers	dragonfly	fritillary	20	0.02
dance	singers	giant_swallowtail	orchid	20	0.02
dance	singers	magenta_flowers	fritillary	6	0.006
dance	singers	dragonfly	magenta_flowers	15	0.015
dance	singers	giant_swallowtail	dragonfly	3	0.003
dance	singers	orchid	zebra_longwing	10	0.01
dance	singers	floral	fritillary	17	0.017
dance	singers	floral	giant_swallowtail	32	0.032
dance	singers	orchid	magenta_flowers	14	0.014
dance	singers	orchid	gulf_fritillary	12	0.012
dance	singers	floral	zebra_longwing	20	0.02
dance	singers	dragonfly	orchid	12	0.012
dance	singers	gulf_fritillary	orchid	14	0.014
dance	singers	zebra_longwing	magenta_flowers	7	0.007
dance	singers	magenta_flowers	zebra_longwing	13	0.013
dance	singers	floral	dragonfly	2	0.002
dance	singers	orchid	floral	4	0.004
dance	singers	giant_swallowtail	floral	9	0.009
dance	singers	magenta_flowers	giant_swallowtail	8	0.008
dance	singers	fritillary	giant_swallowtail	3	0.003
dance	singers	fritillary	floral	3	0.003
dance	singers	giant_swallowtail	zebra_longwing	4	0.004
dance	singers	giant_swallowtail	fritillary	4	0.004
dance	singers	floral	magenta_flowers	6	0.006
dance	singers	gulf_fritillary	zebra_longwing	4	0.004
dance	singers	gulf_fritillary	fritillary	3	0.003
dance	singers	gulf_fritillary	giant_swallowtail	7	0.007
dance	singers	zebra_longwing	dragonfly	3	0.003
dance	singers	magenta_flowers	gulf_fritillary	5	0.005
dance	singers	giant_swallowtail	magenta_flowers	3	0.003
dance	singers	magenta_flowers	dragonfly	3	0.003
dance	singers	gulf_fritillary	magenta_flowers	3	0.003
dance	singers	fritillary	zebra_longwing	2	0.002
dance	singers	magenta_flowers	floral	3	0.003
dance	singers	dragonfly	floral	2	0.002
dance	singers	fritillary	magenta_flowers	1	0.001
dance	singers	NA	NA	507	0.507
