B_dom	B_cod	A_dom	A_cod	count	probability
dance	skirt	flower	dance	21	0.021
dance	skirt	dance	beauty	75	0.075
dance	skirt	feather	flower	13	0.013
dance	skirt	beauty	dance	35	0.035
dance	skirt	beauty	woman	19	0.019
dance	skirt	dance	feather	92	0.092
dance	skirt	dance	fly	80	0.08
dance	skirt	dance	flower	57	0.057
dance	skirt	fly	feather	48	0.048
dance	skirt	flower	sky	20	0.02
dance	skirt	dance	woman	46	0.046
dance	skirt	flower	fly	18	0.018
dance	skirt	dance	sky	47	0.047
dance	skirt	feather	sky	15	0.015
dance	skirt	beauty	feather	13	0.013
dance	skirt	fly	flower	8	0.008
dance	skirt	feather	dance	14	0.014
dance	skirt	flower	feather	55	0.055
dance	skirt	feather	beauty	9	0.009
dance	skirt	feather	fly	10	0.01
dance	skirt	sky	feather	22	0.022
dance	skirt	dance	empty	5	0.005
dance	skirt	flower	woman	15	0.015
dance	skirt	fly	dance	21	0.021
dance	skirt	fly	sky	5	0.005
dance	skirt	beauty	sky	9	0.009
dance	skirt	flower	empty	5	0.005
dance	skirt	sky	empty	1	0.001
dance	skirt	woman	dance	4	0.004
dance	skirt	fly	empty	2	0.002
dance	skirt	flower	beauty	7	0.007
dance	skirt	feather	woman	5	0.005
dance	skirt	sky	flower	4	0.004
dance	skirt	beauty	empty	3	0.003
dance	skirt	feather	empty	1	0.001
dance	skirt	sky	dance	2	0.002
dance	skirt	NA	NA	194	0.194
dancer	dance	butterfly	flower	141	0.141
dancer	dance	butterfly	dance	402	0.402
dancer	dance	butterfly	feather	67	0.067
dancer	dance	butterfly	beauty	79	0.079
dancer	dance	butterfly	fly	84	0.084
dancer	dance	butterfly	sky	29	0.029
dancer	dance	butterfly	woman	4	0.004
dancer	dance	NA	NA	194	0.194
dancer	skirt	butterfly	dance	97	0.097
dancer	skirt	butterfly	beauty	91	0.091
dancer	skirt	butterfly	flower	82	0.082
dancer	skirt	butterfly	woman	85	0.085
dancer	skirt	butterfly	feather	230	0.23
dancer	skirt	butterfly	fly	108	0.108
dancer	skirt	butterfly	sky	96	0.096
dancer	skirt	butterfly	empty	17	0.017
dancer	skirt	NA	NA	194	0.194
