B_dom	B_cod	A_dom	A_cod	count	probability
dance	spin	dance	feather	37	0.037
dance	spin	beauty	dance	15	0.015
dance	spin	flower	fly	26	0.026
dance	spin	beauty	feather	10	0.01
dance	spin	flower	dance	38	0.038
dance	spin	dance	fly	131	0.131
dance	spin	beauty	sky	6	0.006
dance	spin	feather	dance	13	0.013
dance	spin	dance	beauty	6	0.006
dance	spin	fly	dance	20	0.02
dance	spin	dance	sky	16	0.016
dance	spin	fly	feather	10	0.01
dance	spin	flower	empty	5	0.005
dance	spin	dance	flower	7	0.007
dance	spin	feather	fly	16	0.016
dance	spin	fly	sky	3	0.003
dance	spin	flower	feather	18	0.018
dance	spin	feather	sky	6	0.006
dance	spin	sky	dance	9	0.009
dance	spin	dance	empty	6	0.006
dance	spin	woman	dance	10	0.01
dance	spin	sky	feather	3	0.003
dance	spin	sky	beauty	1	0.001
dance	spin	flower	sky	6	0.006
dance	spin	fly	empty	4	0.004
dance	spin	sky	empty	1	0.001
dance	spin	feather	empty	3	0.003
dance	spin	flower	beauty	2	0.002
dance	spin	fly	flower	1	0.001
dance	spin	beauty	empty	1	0.001
dance	spin	NA	NA	570	0.57
dancer	dance	butterfly	dance	203	0.203
dancer	dance	butterfly	beauty	32	0.032
dancer	dance	butterfly	flower	95	0.095
dancer	dance	butterfly	feather	38	0.038
dancer	dance	butterfly	fly	38	0.038
dancer	dance	butterfly	sky	14	0.014
dancer	dance	butterfly	woman	10	0.01
dancer	dance	NA	NA	570	0.57
dancer	spin	butterfly	feather	78	0.078
dancer	spin	butterfly	dance	105	0.105
dancer	spin	butterfly	fly	173	0.173
dancer	spin	butterfly	sky	37	0.037
dancer	spin	butterfly	beauty	9	0.009
dancer	spin	butterfly	empty	20	0.02
dancer	spin	butterfly	flower	8	0.008
dancer	spin	NA	NA	570	0.57
