B_dom	B_cod	A_dom	A_cod	count	probability
dancer	stage	butterfly	dance	126	0.126
dancer	stage	butterfly	empty	28	0.028
dancer	stage	butterfly	fly	32	0.032
dancer	stage	butterfly	feather	62	0.062
dancer	stage	butterfly	flower	44	0.044
dancer	stage	butterfly	woman	59	0.059
dancer	stage	butterfly	sky	33	0.033
dancer	stage	butterfly	beauty	22	0.022
dancer	stage	NA	NA	594	0.594
dancer	dance	butterfly	woman	7	0.007
dancer	dance	butterfly	beauty	47	0.047
dancer	dance	butterfly	sky	17	0.017
dancer	dance	butterfly	flower	90	0.09
dancer	dance	butterfly	dance	149	0.149
dancer	dance	butterfly	feather	46	0.046
dancer	dance	butterfly	fly	48	0.048
dancer	dance	butterfly	empty	2	0.002
dancer	dance	NA	NA	594	0.594
dance	stage	woman	dance	6	0.006
dance	stage	beauty	dance	29	0.029
dance	stage	sky	dance	10	0.01
dance	stage	flower	dance	34	0.034
dance	stage	sky	empty	3	0.003
dance	stage	dance	fly	24	0.024
dance	stage	dance	feather	33	0.033
dance	stage	flower	empty	8	0.008
dance	stage	dance	flower	28	0.028
dance	stage	flower	fly	5	0.005
dance	stage	feather	empty	4	0.004
dance	stage	flower	woman	11	0.011
dance	stage	beauty	woman	10	0.01
dance	stage	fly	flower	7	0.007
dance	stage	fly	dance	28	0.028
dance	stage	flower	sky	13	0.013
dance	stage	flower	feather	16	0.016
dance	stage	dance	sky	11	0.011
dance	stage	feather	beauty	3	0.003
dance	stage	beauty	empty	3	0.003
dance	stage	woman	empty	1	0.001
dance	stage	feather	dance	17	0.017
dance	stage	fly	sky	3	0.003
dance	stage	feather	woman	8	0.008
dance	stage	feather	flower	8	0.008
dance	stage	dance	beauty	16	0.016
dance	stage	fly	feather	8	0.008
dance	stage	dance	woman	30	0.03
dance	stage	feather	sky	3	0.003
dance	stage	feather	fly	3	0.003
dance	stage	dance	empty	7	0.007
dance	stage	flower	beauty	3	0.003
dance	stage	sky	feather	3	0.003
dance	stage	beauty	sky	3	0.003
dance	stage	fly	empty	2	0.002
dance	stage	beauty	feather	2	0.002
dance	stage	empty	dance	2	0.002
dance	stage	sky	flower	1	0.001
dance	stage	NA	NA	594	0.594
