B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	fly	77	0.077
dancer	dance	butterfly	dance	562	0.562
dancer	dance	butterfly	flower	185	0.185
dancer	dance	butterfly	sky	35	0.035
dancer	dance	butterfly	feather	119	0.119
dancer	dance	butterfly	beauty	22	0.022
dancer	dance	NA	NA	0	0.0
dancer	woman	butterfly	dance	45	0.045
dancer	woman	butterfly	woman	465	0.465
dancer	woman	butterfly	flower	197	0.197
dancer	woman	butterfly	feather	63	0.063
dancer	woman	butterfly	sky	60	0.06
dancer	woman	butterfly	beauty	130	0.13
dancer	woman	butterfly	empty	26	0.026
dancer	woman	butterfly	fly	14	0.014
dancer	woman	NA	NA	0	0.0
dance	woman	fly	dance	11	0.011
dance	woman	dance	woman	302	0.302
dance	woman	fly	flower	41	0.041
dance	woman	dance	flower	111	0.111
dance	woman	flower	woman	105	0.105
dance	woman	dance	feather	32	0.032
dance	woman	dance	sky	28	0.028
dance	woman	sky	flower	19	0.019
dance	woman	feather	dance	8	0.008
dance	woman	flower	dance	19	0.019
dance	woman	fly	beauty	15	0.015
dance	woman	feather	woman	58	0.058
dance	woman	dance	beauty	81	0.081
dance	woman	flower	sky	19	0.019
dance	woman	flower	feather	14	0.014
dance	woman	flower	empty	22	0.022
dance	woman	fly	empty	4	0.004
dance	woman	feather	flower	26	0.026
dance	woman	feather	beauty	22	0.022
dance	woman	dance	fly	8	0.008
dance	woman	beauty	feather	11	0.011
dance	woman	fly	feather	6	0.006
dance	woman	sky	beauty	12	0.012
dance	woman	beauty	sky	8	0.008
dance	woman	flower	fly	6	0.006
dance	woman	feather	sky	5	0.005
dance	woman	sky	dance	4	0.004
dance	woman	beauty	dance	3	0.003
dance	woman	NA	NA	0	0.0
