B_dom	B_cod	A_dom	A_cod	count	probability
dancer	Hildegard_Behrens	butterfly	floral	80	0.08
dancer	Hildegard_Behrens	butterfly	fritillary	70	0.07
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	66	0.066
dancer	Hildegard_Behrens	butterfly	orchid	140	0.14
dancer	Hildegard_Behrens	butterfly	dragonfly	79	0.079
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	61	0.061
dancer	Hildegard_Behrens	butterfly	magenta_flowers	52	0.052
dancer	Hildegard_Behrens	butterfly	zebra_longwing	34	0.034
dancer	Hildegard_Behrens	NA	NA	418	0.418
dancer	dancers	butterfly	giant_swallowtail	95	0.095
dancer	dancers	butterfly	magenta_flowers	43	0.043
dancer	dancers	butterfly	gulf_fritillary	62	0.062
dancer	dancers	butterfly	fritillary	35	0.035
dancer	dancers	butterfly	zebra_longwing	90	0.09
dancer	dancers	butterfly	dragonfly	91	0.091
dancer	dancers	butterfly	orchid	58	0.058
dancer	dancers	butterfly	floral	108	0.108
dancer	dancers	NA	NA	418	0.418
dancers	Hildegard_Behrens	giant_swallowtail	floral	18	0.018
dancers	Hildegard_Behrens	magenta_flowers	fritillary	7	0.007
dancers	Hildegard_Behrens	gulf_fritillary	giant_swallowtail	5	0.005
dancers	Hildegard_Behrens	fritillary	giant_swallowtail	4	0.004
dancers	Hildegard_Behrens	giant_swallowtail	orchid	36	0.036
dancers	Hildegard_Behrens	zebra_longwing	dragonfly	19	0.019
dancers	Hildegard_Behrens	magenta_flowers	orchid	11	0.011
dancers	Hildegard_Behrens	fritillary	gulf_fritillary	1	0.001
dancers	Hildegard_Behrens	giant_swallowtail	magenta_flowers	8	0.008
dancers	Hildegard_Behrens	dragonfly	orchid	16	0.016
dancers	Hildegard_Behrens	orchid	fritillary	7	0.007
dancers	Hildegard_Behrens	fritillary	magenta_flowers	5	0.005
dancers	Hildegard_Behrens	floral	dragonfly	9	0.009
dancers	Hildegard_Behrens	gulf_fritillary	orchid	25	0.025
dancers	Hildegard_Behrens	orchid	gulf_fritillary	16	0.016
dancers	Hildegard_Behrens	magenta_flowers	dragonfly	8	0.008
dancers	Hildegard_Behrens	giant_swallowtail	dragonfly	18	0.018
dancers	Hildegard_Behrens	zebra_longwing	orchid	33	0.033
dancers	Hildegard_Behrens	dragonfly	gulf_fritillary	10	0.01
dancers	Hildegard_Behrens	magenta_flowers	floral	5	0.005
dancers	Hildegard_Behrens	gulf_fritillary	magenta_flowers	7	0.007
dancers	Hildegard_Behrens	dragonfly	giant_swallowtail	7	0.007
dancers	Hildegard_Behrens	floral	fritillary	30	0.03
dancers	Hildegard_Behrens	dragonfly	floral	26	0.026
dancers	Hildegard_Behrens	floral	giant_swallowtail	27	0.027
dancers	Hildegard_Behrens	floral	orchid	11	0.011
dancers	Hildegard_Behrens	orchid	zebra_longwing	7	0.007
dancers	Hildegard_Behrens	floral	zebra_longwing	10	0.01
dancers	Hildegard_Behrens	orchid	giant_swallowtail	15	0.015
dancers	Hildegard_Behrens	floral	gulf_fritillary	18	0.018
dancers	Hildegard_Behrens	dragonfly	magenta_flowers	14	0.014
dancers	Hildegard_Behrens	giant_swallowtail	fritillary	7	0.007
dancers	Hildegard_Behrens	dragonfly	fritillary	7	0.007
dancers	Hildegard_Behrens	zebra_longwing	magenta_flowers	8	0.008
dancers	Hildegard_Behrens	gulf_fritillary	dragonfly	10	0.01
dancers	Hildegard_Behrens	orchid	dragonfly	6	0.006
dancers	Hildegard_Behrens	gulf_fritillary	floral	12	0.012
dancers	Hildegard_Behrens	zebra_longwing	fritillary	10	0.01
dancers	Hildegard_Behrens	fritillary	dragonfly	9	0.009
dancers	Hildegard_Behrens	zebra_longwing	floral	13	0.013
dancers	Hildegard_Behrens	magenta_flowers	zebra_longwing	3	0.003
dancers	Hildegard_Behrens	zebra_longwing	gulf_fritillary	4	0.004
dancers	Hildegard_Behrens	giant_swallowtail	gulf_fritillary	8	0.008
dancers	Hildegard_Behrens	gulf_fritillary	fritillary	2	0.002
dancers	Hildegard_Behrens	fritillary	zebra_longwing	2	0.002
dancers	Hildegard_Behrens	magenta_flowers	giant_swallowtail	5	0.005
dancers	Hildegard_Behrens	fritillary	orchid	8	0.008
dancers	Hildegard_Behrens	fritillary	floral	6	0.006
dancers	Hildegard_Behrens	zebra_longwing	giant_swallowtail	3	0.003
dancers	Hildegard_Behrens	dragonfly	zebra_longwing	11	0.011
dancers	Hildegard_Behrens	floral	magenta_flowers	3	0.003
dancers	Hildegard_Behrens	magenta_flowers	gulf_fritillary	4	0.004
dancers	Hildegard_Behrens	orchid	magenta_flowers	7	0.007
dancers	Hildegard_Behrens	gulf_fritillary	zebra_longwing	1	0.001
dancers	Hildegard_Behrens	NA	NA	418	0.418
