B_dom	B_cod	A_dom	A_cod	count	probability
dancers	classically_trained_dancer	fritillary	orchid	10	0.01
dancers	classically_trained_dancer	floral	zebra_longwing	26	0.026
dancers	classically_trained_dancer	giant_swallowtail	orchid	17	0.017
dancers	classically_trained_dancer	magenta_flowers	orchid	6	0.006
dancers	classically_trained_dancer	floral	gulf_fritillary	28	0.028
dancers	classically_trained_dancer	dragonfly	floral	6	0.006
dancers	classically_trained_dancer	orchid	gulf_fritillary	14	0.014
dancers	classically_trained_dancer	floral	giant_swallowtail	11	0.011
dancers	classically_trained_dancer	gulf_fritillary	floral	20	0.02
dancers	classically_trained_dancer	dragonfly	zebra_longwing	28	0.028
dancers	classically_trained_dancer	orchid	zebra_longwing	24	0.024
dancers	classically_trained_dancer	giant_swallowtail	fritillary	3	0.003
dancers	classically_trained_dancer	zebra_longwing	magenta_flowers	3	0.003
dancers	classically_trained_dancer	floral	fritillary	5	0.005
dancers	classically_trained_dancer	giant_swallowtail	dragonfly	30	0.03
dancers	classically_trained_dancer	magenta_flowers	zebra_longwing	6	0.006
dancers	classically_trained_dancer	dragonfly	gulf_fritillary	17	0.017
dancers	classically_trained_dancer	orchid	fritillary	5	0.005
dancers	classically_trained_dancer	zebra_longwing	floral	19	0.019
dancers	classically_trained_dancer	zebra_longwing	fritillary	5	0.005
dancers	classically_trained_dancer	giant_swallowtail	floral	12	0.012
dancers	classically_trained_dancer	zebra_longwing	giant_swallowtail	11	0.011
dancers	classically_trained_dancer	orchid	giant_swallowtail	10	0.01
dancers	classically_trained_dancer	gulf_fritillary	orchid	12	0.012
dancers	classically_trained_dancer	fritillary	dragonfly	5	0.005
dancers	classically_trained_dancer	gulf_fritillary	giant_swallowtail	4	0.004
dancers	classically_trained_dancer	fritillary	floral	5	0.005
dancers	classically_trained_dancer	gulf_fritillary	zebra_longwing	10	0.01
dancers	classically_trained_dancer	dragonfly	giant_swallowtail	21	0.021
dancers	classically_trained_dancer	zebra_longwing	dragonfly	19	0.019
dancers	classically_trained_dancer	giant_swallowtail	magenta_flowers	5	0.005
dancers	classically_trained_dancer	giant_swallowtail	gulf_fritillary	6	0.006
dancers	classically_trained_dancer	giant_swallowtail	zebra_longwing	10	0.01
dancers	classically_trained_dancer	floral	dragonfly	9	0.009
dancers	classically_trained_dancer	gulf_fritillary	fritillary	4	0.004
dancers	classically_trained_dancer	gulf_fritillary	dragonfly	4	0.004
dancers	classically_trained_dancer	magenta_flowers	floral	5	0.005
dancers	classically_trained_dancer	orchid	dragonfly	3	0.003
dancers	classically_trained_dancer	magenta_flowers	gulf_fritillary	5	0.005
dancers	classically_trained_dancer	magenta_flowers	dragonfly	11	0.011
dancers	classically_trained_dancer	zebra_longwing	gulf_fritillary	6	0.006
dancers	classically_trained_dancer	fritillary	giant_swallowtail	5	0.005
dancers	classically_trained_dancer	dragonfly	fritillary	4	0.004
dancers	classically_trained_dancer	zebra_longwing	orchid	10	0.01
dancers	classically_trained_dancer	floral	magenta_flowers	3	0.003
dancers	classically_trained_dancer	floral	orchid	5	0.005
dancers	classically_trained_dancer	dragonfly	orchid	11	0.011
dancers	classically_trained_dancer	magenta_flowers	giant_swallowtail	8	0.008
dancers	classically_trained_dancer	dragonfly	magenta_flowers	5	0.005
dancers	classically_trained_dancer	orchid	magenta_flowers	3	0.003
dancers	classically_trained_dancer	fritillary	zebra_longwing	2	0.002
dancers	classically_trained_dancer	fritillary	gulf_fritillary	1	0.001
dancers	classically_trained_dancer	gulf_fritillary	magenta_flowers	1	0.001
dancers	classically_trained_dancer	orchid	floral	1	0.001
dancers	classically_trained_dancer	magenta_flowers	fritillary	1	0.001
dancers	classically_trained_dancer	NA	NA	480	0.48
dancer	dancers	butterfly	fritillary	28	0.028
dancer	dancers	butterfly	floral	87	0.087
dancer	dancers	butterfly	giant_swallowtail	83	0.083
dancer	dancers	butterfly	magenta_flowers	42	0.042
dancer	dancers	butterfly	dragonfly	92	0.092
dancer	dancers	butterfly	orchid	60	0.06
dancer	dancers	butterfly	gulf_fritillary	55	0.055
dancer	dancers	butterfly	zebra_longwing	73	0.073
dancer	dancers	NA	NA	480	0.48
dancer	classically_trained_dancer	butterfly	orchid	71	0.071
dancer	classically_trained_dancer	butterfly	zebra_longwing	106	0.106
dancer	classically_trained_dancer	butterfly	gulf_fritillary	77	0.077
dancer	classically_trained_dancer	butterfly	floral	68	0.068
dancer	classically_trained_dancer	butterfly	giant_swallowtail	70	0.07
dancer	classically_trained_dancer	butterfly	fritillary	27	0.027
dancer	classically_trained_dancer	butterfly	magenta_flowers	20	0.02
dancer	classically_trained_dancer	butterfly	dragonfly	81	0.081
dancer	classically_trained_dancer	NA	NA	480	0.48
