B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dancers	butterfly	magenta_flowers	28	0.028
dancer	dancers	butterfly	gulf_fritillary	36	0.036
dancer	dancers	butterfly	zebra_longwing	36	0.036
dancer	dancers	butterfly	floral	53	0.053
dancer	dancers	butterfly	orchid	37	0.037
dancer	dancers	butterfly	dragonfly	67	0.067
dancer	dancers	butterfly	fritillary	13	0.013
dancer	dancers	butterfly	giant_swallowtail	52	0.052
dancer	dancers	NA	NA	678	0.678
dancer	singer	butterfly	fritillary	43	0.043
dancer	singer	butterfly	orchid	62	0.062
dancer	singer	butterfly	magenta_flowers	55	0.055
dancer	singer	butterfly	giant_swallowtail	33	0.033
dancer	singer	butterfly	zebra_longwing	41	0.041
dancer	singer	butterfly	gulf_fritillary	44	0.044
dancer	singer	butterfly	dragonfly	14	0.014
dancer	singer	butterfly	floral	30	0.03
dancer	singer	NA	NA	678	0.678
dancers	singer	magenta_flowers	fritillary	6	0.006
dancers	singer	gulf_fritillary	orchid	11	0.011
dancers	singer	zebra_longwing	magenta_flowers	5	0.005
dancers	singer	floral	giant_swallowtail	7	0.007
dancers	singer	gulf_fritillary	zebra_longwing	5	0.005
dancers	singer	floral	gulf_fritillary	12	0.012
dancers	singer	magenta_flowers	orchid	9	0.009
dancers	singer	orchid	giant_swallowtail	10	0.01
dancers	singer	dragonfly	zebra_longwing	14	0.014
dancers	singer	orchid	magenta_flowers	3	0.003
dancers	singer	dragonfly	gulf_fritillary	10	0.01
dancers	singer	dragonfly	orchid	11	0.011
dancers	singer	zebra_longwing	gulf_fritillary	4	0.004
dancers	singer	floral	orchid	5	0.005
dancers	singer	fritillary	giant_swallowtail	1	0.001
dancers	singer	floral	zebra_longwing	8	0.008
dancers	singer	floral	fritillary	10	0.01
dancers	singer	giant_swallowtail	dragonfly	3	0.003
dancers	singer	magenta_flowers	giant_swallowtail	4	0.004
dancers	singer	orchid	gulf_fritillary	6	0.006
dancers	singer	fritillary	magenta_flowers	3	0.003
dancers	singer	fritillary	gulf_fritillary	1	0.001
dancers	singer	dragonfly	magenta_flowers	12	0.012
dancers	singer	giant_swallowtail	magenta_flowers	15	0.015
dancers	singer	giant_swallowtail	gulf_fritillary	9	0.009
dancers	singer	gulf_fritillary	giant_swallowtail	3	0.003
dancers	singer	zebra_longwing	orchid	10	0.01
dancers	singer	orchid	zebra_longwing	7	0.007
dancers	singer	magenta_flowers	gulf_fritillary	2	0.002
dancers	singer	gulf_fritillary	fritillary	3	0.003
dancers	singer	gulf_fritillary	floral	5	0.005
dancers	singer	fritillary	zebra_longwing	3	0.003
dancers	singer	giant_swallowtail	orchid	14	0.014
dancers	singer	dragonfly	giant_swallowtail	7	0.007
dancers	singer	zebra_longwing	dragonfly	5	0.005
dancers	singer	gulf_fritillary	magenta_flowers	7	0.007
dancers	singer	floral	dragonfly	1	0.001
dancers	singer	floral	magenta_flowers	10	0.01
dancers	singer	giant_swallowtail	floral	7	0.007
dancers	singer	orchid	fritillary	6	0.006
dancers	singer	zebra_longwing	fritillary	6	0.006
dancers	singer	fritillary	orchid	2	0.002
dancers	singer	dragonfly	fritillary	10	0.01
dancers	singer	dragonfly	floral	3	0.003
dancers	singer	fritillary	floral	3	0.003
dancers	singer	orchid	floral	3	0.003
dancers	singer	magenta_flowers	floral	4	0.004
dancers	singer	giant_swallowtail	fritillary	2	0.002
dancers	singer	zebra_longwing	floral	5	0.005
dancers	singer	gulf_fritillary	dragonfly	2	0.002
dancers	singer	magenta_flowers	zebra_longwing	2	0.002
dancers	singer	orchid	dragonfly	2	0.002
dancers	singer	magenta_flowers	dragonfly	1	0.001
dancers	singer	giant_swallowtail	zebra_longwing	2	0.002
dancers	singer	zebra_longwing	giant_swallowtail	1	0.001
dancers	singer	NA	NA	678	0.678
