B_dom	B_cod	A_dom	A_cod	count	probability
dancer	singers	butterfly	floral	44	0.044
dancer	singers	butterfly	fritillary	86	0.086
dancer	singers	butterfly	giant_swallowtail	109	0.109
dancer	singers	butterfly	zebra_longwing	52	0.052
dancer	singers	butterfly	magenta_flowers	53	0.053
dancer	singers	butterfly	gulf_fritillary	50	0.05
dancer	singers	butterfly	orchid	70	0.07
dancer	singers	butterfly	dragonfly	24	0.024
dancer	singers	NA	NA	512	0.512
dancer	dancers	butterfly	magenta_flowers	44	0.044
dancer	dancers	butterfly	orchid	47	0.047
dancer	dancers	butterfly	giant_swallowtail	66	0.066
dancer	dancers	butterfly	fritillary	37	0.037
dancer	dancers	butterfly	zebra_longwing	94	0.094
dancer	dancers	butterfly	floral	66	0.066
dancer	dancers	butterfly	gulf_fritillary	81	0.081
dancer	dancers	butterfly	dragonfly	53	0.053
dancer	dancers	NA	NA	512	0.512
dancers	singers	magenta_flowers	floral	7	0.007
dancers	singers	magenta_flowers	fritillary	5	0.005
dancers	singers	orchid	giant_swallowtail	8	0.008
dancers	singers	orchid	floral	14	0.014
dancers	singers	giant_swallowtail	zebra_longwing	16	0.016
dancers	singers	fritillary	magenta_flowers	8	0.008
dancers	singers	zebra_longwing	gulf_fritillary	11	0.011
dancers	singers	floral	orchid	23	0.023
dancers	singers	gulf_fritillary	giant_swallowtail	24	0.024
dancers	singers	magenta_flowers	giant_swallowtail	18	0.018
dancers	singers	dragonfly	orchid	13	0.013
dancers	singers	dragonfly	fritillary	13	0.013
dancers	singers	zebra_longwing	dragonfly	8	0.008
dancers	singers	magenta_flowers	orchid	3	0.003
dancers	singers	dragonfly	zebra_longwing	4	0.004
dancers	singers	dragonfly	giant_swallowtail	13	0.013
dancers	singers	giant_swallowtail	fritillary	13	0.013
dancers	singers	dragonfly	floral	1	0.001
dancers	singers	gulf_fritillary	magenta_flowers	10	0.01
dancers	singers	gulf_fritillary	dragonfly	5	0.005
dancers	singers	gulf_fritillary	fritillary	13	0.013
dancers	singers	giant_swallowtail	gulf_fritillary	11	0.011
dancers	singers	giant_swallowtail	floral	4	0.004
dancers	singers	floral	magenta_flowers	15	0.015
dancers	singers	dragonfly	gulf_fritillary	8	0.008
dancers	singers	zebra_longwing	orchid	10	0.01
dancers	singers	zebra_longwing	floral	8	0.008
dancers	singers	gulf_fritillary	orchid	9	0.009
dancers	singers	zebra_longwing	fritillary	27	0.027
dancers	singers	zebra_longwing	giant_swallowtail	25	0.025
dancers	singers	orchid	zebra_longwing	5	0.005
dancers	singers	floral	giant_swallowtail	13	0.013
dancers	singers	gulf_fritillary	zebra_longwing	13	0.013
dancers	singers	magenta_flowers	zebra_longwing	4	0.004
dancers	singers	orchid	fritillary	9	0.009
dancers	singers	magenta_flowers	gulf_fritillary	6	0.006
dancers	singers	fritillary	dragonfly	3	0.003
dancers	singers	fritillary	gulf_fritillary	4	0.004
dancers	singers	giant_swallowtail	orchid	8	0.008
dancers	singers	gulf_fritillary	floral	7	0.007
dancers	singers	orchid	gulf_fritillary	5	0.005
dancers	singers	giant_swallowtail	magenta_flowers	11	0.011
dancers	singers	fritillary	orchid	4	0.004
dancers	singers	floral	gulf_fritillary	5	0.005
dancers	singers	fritillary	floral	3	0.003
dancers	singers	floral	zebra_longwing	3	0.003
dancers	singers	giant_swallowtail	dragonfly	3	0.003
dancers	singers	floral	fritillary	6	0.006
dancers	singers	zebra_longwing	magenta_flowers	5	0.005
dancers	singers	fritillary	giant_swallowtail	8	0.008
dancers	singers	fritillary	zebra_longwing	7	0.007
dancers	singers	orchid	magenta_flowers	3	0.003
dancers	singers	magenta_flowers	dragonfly	1	0.001
dancers	singers	orchid	dragonfly	3	0.003
dancers	singers	dragonfly	magenta_flowers	1	0.001
dancers	singers	floral	dragonfly	1	0.001
dancers	singers	NA	NA	512	0.512
