B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	freestyle	49	0.049
dancer	ballerina	butterfly	chrysalides	85	0.085
dancer	ballerina	butterfly	breaststroke	30	0.03
dancer	ballerina	butterfly	dragonfly	99	0.099
dancer	ballerina	butterfly	backstroke	52	0.052
dancer	ballerina	butterfly	Medley_Relay	10	0.01
dancer	ballerina	butterfly	recordholder_Ian	119	0.119
dancer	ballerina	butterfly	Individual_Medley	37	0.037
dancer	ballerina	NA	NA	519	0.519
dancer	dancing	butterfly	backstroke	75	0.075
dancer	dancing	butterfly	dragonfly	63	0.063
dancer	dancing	butterfly	Individual_Medley	41	0.041
dancer	dancing	butterfly	chrysalides	73	0.073
dancer	dancing	butterfly	freestyle	95	0.095
dancer	dancing	butterfly	Medley_Relay	29	0.029
dancer	dancing	butterfly	breaststroke	40	0.04
dancer	dancing	butterfly	recordholder_Ian	65	0.065
dancer	dancing	NA	NA	519	0.519
dancing	ballerina	backstroke	freestyle	6	0.006
dancing	ballerina	dragonfly	chrysalides	30	0.03
dancing	ballerina	Individual_Medley	breaststroke	3	0.003
dancing	ballerina	backstroke	dragonfly	21	0.021
dancing	ballerina	chrysalides	backstroke	13	0.013
dancing	ballerina	freestyle	Medley_Relay	3	0.003
dancing	ballerina	Medley_Relay	recordholder_Ian	14	0.014
dancing	ballerina	breaststroke	dragonfly	7	0.007
dancing	ballerina	Individual_Medley	dragonfly	7	0.007
dancing	ballerina	recordholder_Ian	freestyle	9	0.009
dancing	ballerina	recordholder_Ian	chrysalides	11	0.011
dancing	ballerina	freestyle	recordholder_Ian	31	0.031
dancing	ballerina	backstroke	Medley_Relay	2	0.002
dancing	ballerina	recordholder_Ian	breaststroke	10	0.01
dancing	ballerina	freestyle	backstroke	13	0.013
dancing	ballerina	backstroke	recordholder_Ian	27	0.027
dancing	ballerina	breaststroke	recordholder_Ian	17	0.017
dancing	ballerina	breaststroke	chrysalides	12	0.012
dancing	ballerina	chrysalides	dragonfly	33	0.033
dancing	ballerina	recordholder_Ian	backstroke	15	0.015
dancing	ballerina	backstroke	chrysalides	14	0.014
dancing	ballerina	freestyle	Individual_Medley	12	0.012
dancing	ballerina	recordholder_Ian	Medley_Relay	3	0.003
dancing	ballerina	Individual_Medley	freestyle	10	0.01
dancing	ballerina	Medley_Relay	backstroke	4	0.004
dancing	ballerina	recordholder_Ian	Individual_Medley	8	0.008
dancing	ballerina	Medley_Relay	Individual_Medley	1	0.001
dancing	ballerina	dragonfly	freestyle	11	0.011
dancing	ballerina	freestyle	chrysalides	12	0.012
dancing	ballerina	Individual_Medley	recordholder_Ian	15	0.015
dancing	ballerina	freestyle	dragonfly	21	0.021
dancing	ballerina	chrysalides	Individual_Medley	5	0.005
dancing	ballerina	Individual_Medley	backstroke	2	0.002
dancing	ballerina	chrysalides	recordholder_Ian	10	0.01
dancing	ballerina	dragonfly	breaststroke	7	0.007
dancing	ballerina	chrysalides	breaststroke	6	0.006
dancing	ballerina	breaststroke	Individual_Medley	2	0.002
dancing	ballerina	freestyle	breaststroke	3	0.003
dancing	ballerina	recordholder_Ian	dragonfly	9	0.009
dancing	ballerina	Individual_Medley	chrysalides	4	0.004
dancing	ballerina	breaststroke	freestyle	2	0.002
dancing	ballerina	dragonfly	backstroke	5	0.005
dancing	ballerina	Medley_Relay	chrysalides	2	0.002
dancing	ballerina	Medley_Relay	freestyle	7	0.007
dancing	ballerina	dragonfly	Individual_Medley	5	0.005
dancing	ballerina	dragonfly	recordholder_Ian	5	0.005
dancing	ballerina	chrysalides	freestyle	4	0.004
dancing	ballerina	chrysalides	Medley_Relay	2	0.002
dancing	ballerina	backstroke	Individual_Medley	4	0.004
dancing	ballerina	backstroke	breaststroke	1	0.001
dancing	ballerina	Medley_Relay	dragonfly	1	0.001
dancing	ballerina	NA	NA	519	0.519
