B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dancing	butterfly	freestyle	111	0.111
dancer	dancing	butterfly	Individual_Medley	52	0.052
dancer	dancing	butterfly	breaststroke	50	0.05
dancer	dancing	butterfly	Medley_Relay	38	0.038
dancer	dancing	butterfly	dragonfly	64	0.064
dancer	dancing	butterfly	recordholder_Ian	73	0.073
dancer	dancing	butterfly	backstroke	65	0.065
dancer	dancing	butterfly	chrysalides	68	0.068
dancer	dancing	NA	NA	479	0.479
dancer	ballet	butterfly	backstroke	67	0.067
dancer	ballet	butterfly	recordholder_Ian	111	0.111
dancer	ballet	butterfly	freestyle	89	0.089
dancer	ballet	butterfly	chrysalides	67	0.067
dancer	ballet	butterfly	Medley_Relay	38	0.038
dancer	ballet	butterfly	dragonfly	63	0.063
dancer	ballet	butterfly	breaststroke	58	0.058
dancer	ballet	butterfly	Individual_Medley	28	0.028
dancer	ballet	NA	NA	479	0.479
dancing	ballet	freestyle	backstroke	16	0.016
dancing	ballet	Individual_Medley	recordholder_Ian	14	0.014
dancing	ballet	Individual_Medley	freestyle	15	0.015
dancing	ballet	freestyle	recordholder_Ian	32	0.032
dancing	ballet	breaststroke	recordholder_Ian	16	0.016
dancing	ballet	freestyle	chrysalides	6	0.006
dancing	ballet	freestyle	Medley_Relay	16	0.016
dancing	ballet	Medley_Relay	dragonfly	4	0.004
dancing	ballet	breaststroke	dragonfly	8	0.008
dancing	ballet	Individual_Medley	dragonfly	4	0.004
dancing	ballet	dragonfly	chrysalides	34	0.034
dancing	ballet	recordholder_Ian	breaststroke	16	0.016
dancing	ballet	backstroke	recordholder_Ian	21	0.021
dancing	ballet	Individual_Medley	backstroke	5	0.005
dancing	ballet	Medley_Relay	breaststroke	7	0.007
dancing	ballet	chrysalides	backstroke	9	0.009
dancing	ballet	breaststroke	chrysalides	7	0.007
dancing	ballet	breaststroke	Medley_Relay	3	0.003
dancing	ballet	Medley_Relay	backstroke	8	0.008
dancing	ballet	chrysalides	freestyle	9	0.009
dancing	ballet	recordholder_Ian	freestyle	19	0.019
dancing	ballet	dragonfly	backstroke	5	0.005
dancing	ballet	freestyle	dragonfly	15	0.015
dancing	ballet	dragonfly	breaststroke	4	0.004
dancing	ballet	Individual_Medley	chrysalides	3	0.003
dancing	ballet	dragonfly	recordholder_Ian	8	0.008
dancing	ballet	Medley_Relay	recordholder_Ian	5	0.005
dancing	ballet	freestyle	breaststroke	15	0.015
dancing	ballet	chrysalides	dragonfly	20	0.02
dancing	ballet	recordholder_Ian	chrysalides	8	0.008
dancing	ballet	freestyle	Individual_Medley	11	0.011
dancing	ballet	Individual_Medley	breaststroke	7	0.007
dancing	ballet	backstroke	freestyle	11	0.011
dancing	ballet	recordholder_Ian	backstroke	23	0.023
dancing	ballet	recordholder_Ian	Individual_Medley	2	0.002
dancing	ballet	chrysalides	Medley_Relay	1	0.001
dancing	ballet	chrysalides	Individual_Medley	8	0.008
dancing	ballet	breaststroke	Individual_Medley	1	0.001
dancing	ballet	dragonfly	Medley_Relay	3	0.003
dancing	ballet	recordholder_Ian	dragonfly	4	0.004
dancing	ballet	breaststroke	freestyle	14	0.014
dancing	ballet	chrysalides	recordholder_Ian	15	0.015
dancing	ballet	backstroke	Individual_Medley	4	0.004
dancing	ballet	backstroke	Medley_Relay	10	0.01
dancing	ballet	chrysalides	breaststroke	6	0.006
dancing	ballet	backstroke	dragonfly	8	0.008
dancing	ballet	dragonfly	freestyle	9	0.009
dancing	ballet	backstroke	breaststroke	3	0.003
dancing	ballet	Medley_Relay	chrysalides	1	0.001
dancing	ballet	Medley_Relay	freestyle	12	0.012
dancing	ballet	Medley_Relay	Individual_Medley	1	0.001
dancing	ballet	Individual_Medley	Medley_Relay	4	0.004
dancing	ballet	backstroke	chrysalides	8	0.008
dancing	ballet	dragonfly	Individual_Medley	1	0.001
dancing	ballet	breaststroke	backstroke	1	0.001
dancing	ballet	recordholder_Ian	Medley_Relay	1	0.001
dancing	ballet	NA	NA	479	0.479
