B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dancing	butterfly	recordholder_Ian	48	0.048
dancer	dancing	butterfly	Medley_Relay	23	0.023
dancer	dancing	butterfly	dragonfly	59	0.059
dancer	dancing	butterfly	chrysalides	53	0.053
dancer	dancing	butterfly	backstroke	37	0.037
dancer	dancing	butterfly	breaststroke	33	0.033
dancer	dancing	butterfly	freestyle	56	0.056
dancer	dancing	butterfly	Individual_Medley	27	0.027
dancer	dancing	NA	NA	664	0.664
dancer	female_impersonator	butterfly	freestyle	32	0.032
dancer	female_impersonator	butterfly	dragonfly	104	0.104
dancer	female_impersonator	butterfly	recordholder_Ian	73	0.073
dancer	female_impersonator	butterfly	breaststroke	29	0.029
dancer	female_impersonator	butterfly	backstroke	42	0.042
dancer	female_impersonator	butterfly	Individual_Medley	24	0.024
dancer	female_impersonator	butterfly	chrysalides	21	0.021
dancer	female_impersonator	butterfly	Medley_Relay	11	0.011
dancer	female_impersonator	NA	NA	664	0.664
dancing	female_impersonator	recordholder_Ian	freestyle	4	0.004
dancing	female_impersonator	Medley_Relay	dragonfly	6	0.006
dancing	female_impersonator	Medley_Relay	recordholder_Ian	6	0.006
dancing	female_impersonator	dragonfly	breaststroke	10	0.01
dancing	female_impersonator	dragonfly	recordholder_Ian	21	0.021
dancing	female_impersonator	recordholder_Ian	backstroke	13	0.013
dancing	female_impersonator	chrysalides	dragonfly	25	0.025
dancing	female_impersonator	backstroke	recordholder_Ian	8	0.008
dancing	female_impersonator	breaststroke	recordholder_Ian	12	0.012
dancing	female_impersonator	freestyle	recordholder_Ian	12	0.012
dancing	female_impersonator	recordholder_Ian	Individual_Medley	3	0.003
dancing	female_impersonator	Individual_Medley	recordholder_Ian	9	0.009
dancing	female_impersonator	freestyle	breaststroke	4	0.004
dancing	female_impersonator	freestyle	dragonfly	23	0.023
dancing	female_impersonator	chrysalides	freestyle	4	0.004
dancing	female_impersonator	Individual_Medley	freestyle	6	0.006
dancing	female_impersonator	dragonfly	backstroke	9	0.009
dancing	female_impersonator	freestyle	chrysalides	5	0.005
dancing	female_impersonator	dragonfly	freestyle	8	0.008
dancing	female_impersonator	chrysalides	backstroke	8	0.008
dancing	female_impersonator	backstroke	dragonfly	19	0.019
dancing	female_impersonator	breaststroke	Individual_Medley	1	0.001
dancing	female_impersonator	backstroke	Individual_Medley	3	0.003
dancing	female_impersonator	freestyle	Individual_Medley	8	0.008
dancing	female_impersonator	freestyle	Medley_Relay	1	0.001
dancing	female_impersonator	chrysalides	recordholder_Ian	5	0.005
dancing	female_impersonator	dragonfly	Individual_Medley	7	0.007
dancing	female_impersonator	Medley_Relay	freestyle	5	0.005
dancing	female_impersonator	recordholder_Ian	chrysalides	5	0.005
dancing	female_impersonator	Medley_Relay	backstroke	5	0.005
dancing	female_impersonator	chrysalides	Medley_Relay	4	0.004
dancing	female_impersonator	Individual_Medley	dragonfly	9	0.009
dancing	female_impersonator	recordholder_Ian	dragonfly	11	0.011
dancing	female_impersonator	recordholder_Ian	Medley_Relay	3	0.003
dancing	female_impersonator	breaststroke	dragonfly	11	0.011
dancing	female_impersonator	recordholder_Ian	breaststroke	9	0.009
dancing	female_impersonator	dragonfly	chrysalides	4	0.004
dancing	female_impersonator	Medley_Relay	breaststroke	1	0.001
dancing	female_impersonator	Individual_Medley	backstroke	2	0.002
dancing	female_impersonator	breaststroke	backstroke	2	0.002
dancing	female_impersonator	backstroke	chrysalides	3	0.003
dancing	female_impersonator	freestyle	backstroke	3	0.003
dancing	female_impersonator	Individual_Medley	Medley_Relay	1	0.001
dancing	female_impersonator	breaststroke	chrysalides	4	0.004
dancing	female_impersonator	chrysalides	Individual_Medley	2	0.002
dancing	female_impersonator	breaststroke	freestyle	1	0.001
dancing	female_impersonator	chrysalides	breaststroke	5	0.005
dancing	female_impersonator	backstroke	freestyle	4	0.004
dancing	female_impersonator	breaststroke	Medley_Relay	2	0.002
dancing	female_impersonator	NA	NA	664	0.664
