B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dancing	butterfly	chrysalides	87	0.087
dancer	dancing	butterfly	recordholder_Ian	101	0.101
dancer	dancing	butterfly	freestyle	116	0.116
dancer	dancing	butterfly	breaststroke	70	0.07
dancer	dancing	butterfly	Individual_Medley	35	0.035
dancer	dancing	butterfly	dragonfly	111	0.111
dancer	dancing	butterfly	Medley_Relay	42	0.042
dancer	dancing	butterfly	backstroke	58	0.058
dancer	dancing	NA	NA	380	0.38
dancer	gymnast	butterfly	Individual_Medley	109	0.109
dancer	gymnast	butterfly	chrysalides	36	0.036
dancer	gymnast	butterfly	dragonfly	82	0.082
dancer	gymnast	butterfly	recordholder_Ian	123	0.123
dancer	gymnast	butterfly	backstroke	68	0.068
dancer	gymnast	butterfly	Medley_Relay	70	0.07
dancer	gymnast	butterfly	breaststroke	70	0.07
dancer	gymnast	butterfly	freestyle	62	0.062
dancer	gymnast	NA	NA	380	0.38
dancing	gymnast	chrysalides	Individual_Medley	19	0.019
dancing	gymnast	recordholder_Ian	chrysalides	4	0.004
dancing	gymnast	freestyle	chrysalides	10	0.01
dancing	gymnast	breaststroke	dragonfly	12	0.012
dancing	gymnast	breaststroke	chrysalides	5	0.005
dancing	gymnast	freestyle	recordholder_Ian	21	0.021
dancing	gymnast	chrysalides	dragonfly	11	0.011
dancing	gymnast	Individual_Medley	backstroke	3	0.003
dancing	gymnast	Individual_Medley	dragonfly	12	0.012
dancing	gymnast	breaststroke	Medley_Relay	7	0.007
dancing	gymnast	chrysalides	recordholder_Ian	11	0.011
dancing	gymnast	dragonfly	backstroke	21	0.021
dancing	gymnast	freestyle	breaststroke	14	0.014
dancing	gymnast	recordholder_Ian	backstroke	8	0.008
dancing	gymnast	freestyle	Medley_Relay	16	0.016
dancing	gymnast	Medley_Relay	breaststroke	6	0.006
dancing	gymnast	Medley_Relay	backstroke	5	0.005
dancing	gymnast	breaststroke	recordholder_Ian	24	0.024
dancing	gymnast	backstroke	Medley_Relay	8	0.008
dancing	gymnast	Individual_Medley	breaststroke	3	0.003
dancing	gymnast	freestyle	dragonfly	17	0.017
dancing	gymnast	dragonfly	Medley_Relay	8	0.008
dancing	gymnast	Individual_Medley	recordholder_Ian	8	0.008
dancing	gymnast	backstroke	dragonfly	12	0.012
dancing	gymnast	breaststroke	freestyle	10	0.01
dancing	gymnast	dragonfly	recordholder_Ian	28	0.028
dancing	gymnast	Medley_Relay	recordholder_Ian	13	0.013
dancing	gymnast	breaststroke	Individual_Medley	6	0.006
dancing	gymnast	recordholder_Ian	breaststroke	13	0.013
dancing	gymnast	recordholder_Ian	Medley_Relay	29	0.029
dancing	gymnast	backstroke	chrysalides	5	0.005
dancing	gymnast	backstroke	recordholder_Ian	18	0.018
dancing	gymnast	freestyle	Individual_Medley	28	0.028
dancing	gymnast	recordholder_Ian	dragonfly	13	0.013
dancing	gymnast	chrysalides	backstroke	15	0.015
dancing	gymnast	chrysalides	breaststroke	24	0.024
dancing	gymnast	recordholder_Ian	Individual_Medley	24	0.024
dancing	gymnast	dragonfly	chrysalides	8	0.008
dancing	gymnast	backstroke	Individual_Medley	8	0.008
dancing	gymnast	chrysalides	freestyle	5	0.005
dancing	gymnast	freestyle	backstroke	10	0.01
dancing	gymnast	chrysalides	Medley_Relay	2	0.002
dancing	gymnast	dragonfly	freestyle	15	0.015
dancing	gymnast	dragonfly	Individual_Medley	23	0.023
dancing	gymnast	dragonfly	breaststroke	8	0.008
dancing	gymnast	recordholder_Ian	freestyle	10	0.01
dancing	gymnast	backstroke	breaststroke	2	0.002
dancing	gymnast	Medley_Relay	freestyle	10	0.01
dancing	gymnast	Individual_Medley	freestyle	7	0.007
dancing	gymnast	Medley_Relay	dragonfly	5	0.005
dancing	gymnast	breaststroke	backstroke	6	0.006
dancing	gymnast	Individual_Medley	chrysalides	2	0.002
dancing	gymnast	Medley_Relay	chrysalides	2	0.002
dancing	gymnast	backstroke	freestyle	5	0.005
dancing	gymnast	Medley_Relay	Individual_Medley	1	0.001
dancing	gymnast	NA	NA	380	0.38
