B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	flower	169	0.169
dancer	dance	butterfly	fly	116	0.116
dancer	dance	butterfly	dance	459	0.459
dancer	dance	butterfly	skirt	32	0.032
dancer	dance	butterfly	beauty	114	0.114
dancer	dance	butterfly	feather	61	0.061
dancer	dance	butterfly	sky	25	0.025
dancer	dance	butterfly	spin	24	0.024
dancer	dance	NA	NA	0	0.0
dancer	feather	butterfly	spin	75	0.075
dancer	feather	butterfly	feather	377	0.377
dancer	feather	butterfly	beauty	45	0.045
dancer	feather	butterfly	skirt	192	0.192
dancer	feather	butterfly	dance	66	0.066
dancer	feather	butterfly	sky	210	0.21
dancer	feather	butterfly	fly	35	0.035
dancer	feather	NA	NA	0	0.0
feather	dance	spin	flower	14	0.014
feather	dance	feather	fly	49	0.049
feather	dance	feather	dance	208	0.208
feather	dance	beauty	skirt	8	0.008
feather	dance	skirt	fly	36	0.036
feather	dance	feather	beauty	56	0.056
feather	dance	feather	flower	64	0.064
feather	dance	dance	flower	21	0.021
feather	dance	beauty	dance	17	0.017
feather	dance	spin	feather	8	0.008
feather	dance	sky	dance	134	0.134
feather	dance	spin	dance	30	0.03
feather	dance	sky	flower	39	0.039
feather	dance	skirt	dance	70	0.07
feather	dance	skirt	flower	15	0.015
feather	dance	sky	beauty	24	0.024
feather	dance	beauty	feather	9	0.009
feather	dance	skirt	feather	9	0.009
feather	dance	dance	fly	10	0.01
feather	dance	beauty	fly	10	0.01
feather	dance	fly	skirt	8	0.008
feather	dance	skirt	sky	13	0.013
feather	dance	sky	feather	13	0.013
feather	dance	skirt	spin	21	0.021
feather	dance	fly	flower	16	0.016
feather	dance	fly	feather	11	0.011
feather	dance	spin	fly	11	0.011
feather	dance	dance	skirt	4	0.004
feather	dance	skirt	beauty	28	0.028
feather	dance	dance	sky	11	0.011
feather	dance	spin	skirt	12	0.012
feather	dance	dance	spin	3	0.003
feather	dance	dance	beauty	6	0.006
feather	dance	dance	feather	11	0.011
feather	dance	beauty	sky	1	0.001
feather	dance	NA	NA	0	0.0
