B_dom	B_cod	A_dom	A_cod	count	probability
dancer	feather	butterfly	dance	102	0.102
dancer	feather	butterfly	feather	547	0.547
dancer	feather	butterfly	spin	34	0.034
dancer	feather	butterfly	sky	156	0.156
dancer	feather	butterfly	skirt	152	0.152
dancer	feather	butterfly	beauty	9	0.009
dancer	feather	NA	NA	0	0.0
dancer	skirt	butterfly	skirt	700	0.7
dancer	skirt	butterfly	dance	53	0.053
dancer	skirt	butterfly	beauty	51	0.051
dancer	skirt	butterfly	feather	126	0.126
dancer	skirt	butterfly	fly	55	0.055
dancer	skirt	butterfly	sky	15	0.015
dancer	skirt	NA	NA	0	0.0
feather	skirt	dance	skirt	76	0.076
feather	skirt	feather	skirt	547	0.547
feather	skirt	spin	dance	12	0.012
feather	skirt	sky	skirt	77	0.077
feather	skirt	sky	beauty	17	0.017
feather	skirt	skirt	feather	79	0.079
feather	skirt	skirt	beauty	20	0.02
feather	skirt	sky	fly	26	0.026
feather	skirt	sky	feather	36	0.036
feather	skirt	spin	feather	11	0.011
feather	skirt	skirt	dance	32	0.032
feather	skirt	spin	fly	11	0.011
feather	skirt	skirt	sky	15	0.015
feather	skirt	beauty	dance	9	0.009
feather	skirt	dance	fly	12	0.012
feather	skirt	dance	beauty	14	0.014
feather	skirt	skirt	fly	6	0.006
feather	skirt	NA	NA	0	0.0
