B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballet	butterfly	recordholder_Ian	98	0.098
dancer	ballet	butterfly	breaststroke	50	0.05
dancer	ballet	butterfly	dragonfly	52	0.052
dancer	ballet	butterfly	Individual_Medley	31	0.031
dancer	ballet	butterfly	backstroke	54	0.054
dancer	ballet	butterfly	freestyle	55	0.055
dancer	ballet	butterfly	chrysalides	72	0.072
dancer	ballet	butterfly	Medley_Relay	30	0.03
dancer	ballet	NA	NA	558	0.558
dancer	female_impersonator	butterfly	breaststroke	56	0.056
dancer	female_impersonator	butterfly	dragonfly	118	0.118
dancer	female_impersonator	butterfly	recordholder_Ian	97	0.097
dancer	female_impersonator	butterfly	chrysalides	40	0.04
dancer	female_impersonator	butterfly	Medley_Relay	22	0.022
dancer	female_impersonator	butterfly	backstroke	36	0.036
dancer	female_impersonator	butterfly	freestyle	49	0.049
dancer	female_impersonator	butterfly	Individual_Medley	24	0.024
dancer	female_impersonator	NA	NA	558	0.558
female_impersonator	ballet	breaststroke	recordholder_Ian	21	0.021
female_impersonator	ballet	dragonfly	recordholder_Ian	25	0.025
female_impersonator	ballet	dragonfly	breaststroke	13	0.013
female_impersonator	ballet	recordholder_Ian	breaststroke	19	0.019
female_impersonator	ballet	chrysalides	recordholder_Ian	12	0.012
female_impersonator	ballet	Medley_Relay	dragonfly	5	0.005
female_impersonator	ballet	backstroke	Individual_Medley	4	0.004
female_impersonator	ballet	freestyle	recordholder_Ian	14	0.014
female_impersonator	ballet	recordholder_Ian	backstroke	25	0.025
female_impersonator	ballet	dragonfly	backstroke	13	0.013
female_impersonator	ballet	chrysalides	breaststroke	7	0.007
female_impersonator	ballet	Medley_Relay	freestyle	6	0.006
female_impersonator	ballet	dragonfly	chrysalides	35	0.035
female_impersonator	ballet	Medley_Relay	recordholder_Ian	7	0.007
female_impersonator	ballet	Individual_Medley	chrysalides	5	0.005
female_impersonator	ballet	freestyle	Medley_Relay	5	0.005
female_impersonator	ballet	freestyle	chrysalides	8	0.008
female_impersonator	ballet	chrysalides	Individual_Medley	4	0.004
female_impersonator	ballet	dragonfly	Medley_Relay	7	0.007
female_impersonator	ballet	recordholder_Ian	Medley_Relay	11	0.011
female_impersonator	ballet	freestyle	backstroke	8	0.008
female_impersonator	ballet	Individual_Medley	recordholder_Ian	9	0.009
female_impersonator	ballet	dragonfly	freestyle	18	0.018
female_impersonator	ballet	chrysalides	freestyle	5	0.005
female_impersonator	ballet	backstroke	freestyle	5	0.005
female_impersonator	ballet	breaststroke	dragonfly	13	0.013
female_impersonator	ballet	Individual_Medley	freestyle	2	0.002
female_impersonator	ballet	recordholder_Ian	freestyle	14	0.014
female_impersonator	ballet	dragonfly	Individual_Medley	7	0.007
female_impersonator	ballet	recordholder_Ian	chrysalides	13	0.013
female_impersonator	ballet	backstroke	dragonfly	8	0.008
female_impersonator	ballet	recordholder_Ian	dragonfly	6	0.006
female_impersonator	ballet	freestyle	Individual_Medley	2	0.002
female_impersonator	ballet	freestyle	dragonfly	9	0.009
female_impersonator	ballet	backstroke	breaststroke	4	0.004
female_impersonator	ballet	recordholder_Ian	Individual_Medley	9	0.009
female_impersonator	ballet	Individual_Medley	dragonfly	5	0.005
female_impersonator	ballet	Medley_Relay	breaststroke	4	0.004
female_impersonator	ballet	chrysalides	backstroke	4	0.004
female_impersonator	ballet	breaststroke	Medley_Relay	2	0.002
female_impersonator	ballet	chrysalides	dragonfly	6	0.006
female_impersonator	ballet	backstroke	recordholder_Ian	10	0.01
female_impersonator	ballet	breaststroke	chrysalides	8	0.008
female_impersonator	ballet	breaststroke	freestyle	5	0.005
female_impersonator	ballet	backstroke	chrysalides	3	0.003
female_impersonator	ballet	breaststroke	Individual_Medley	5	0.005
female_impersonator	ballet	breaststroke	backstroke	2	0.002
female_impersonator	ballet	Individual_Medley	Medley_Relay	1	0.001
female_impersonator	ballet	Individual_Medley	backstroke	2	0.002
female_impersonator	ballet	backstroke	Medley_Relay	2	0.002
female_impersonator	ballet	freestyle	breaststroke	3	0.003
female_impersonator	ballet	chrysalides	Medley_Relay	2	0.002
female_impersonator	ballet	NA	NA	558	0.558
