B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	dragonfly	139	0.139
dancer	female_impersonator	butterfly	backstroke	44	0.044
dancer	female_impersonator	butterfly	breaststroke	53	0.053
dancer	female_impersonator	butterfly	freestyle	39	0.039
dancer	female_impersonator	butterfly	recordholder_Ian	69	0.069
dancer	female_impersonator	butterfly	chrysalides	45	0.045
dancer	female_impersonator	butterfly	Medley_Relay	13	0.013
dancer	female_impersonator	butterfly	Individual_Medley	17	0.017
dancer	female_impersonator	NA	NA	581	0.581
dancer	dance	butterfly	backstroke	52	0.052
dancer	dance	butterfly	recordholder_Ian	86	0.086
dancer	dance	butterfly	Individual_Medley	38	0.038
dancer	dance	butterfly	freestyle	55	0.055
dancer	dance	butterfly	chrysalides	62	0.062
dancer	dance	butterfly	Medley_Relay	29	0.029
dancer	dance	butterfly	dragonfly	52	0.052
dancer	dance	butterfly	breaststroke	45	0.045
dancer	dance	NA	NA	581	0.581
female_impersonator	dance	dragonfly	backstroke	25	0.025
female_impersonator	dance	backstroke	recordholder_Ian	12	0.012
female_impersonator	dance	dragonfly	Individual_Medley	17	0.017
female_impersonator	dance	breaststroke	recordholder_Ian	19	0.019
female_impersonator	dance	backstroke	Individual_Medley	3	0.003
female_impersonator	dance	freestyle	backstroke	2	0.002
female_impersonator	dance	dragonfly	freestyle	19	0.019
female_impersonator	dance	dragonfly	chrysalides	25	0.025
female_impersonator	dance	backstroke	freestyle	3	0.003
female_impersonator	dance	dragonfly	Medley_Relay	7	0.007
female_impersonator	dance	backstroke	dragonfly	9	0.009
female_impersonator	dance	recordholder_Ian	Individual_Medley	7	0.007
female_impersonator	dance	recordholder_Ian	breaststroke	10	0.01
female_impersonator	dance	recordholder_Ian	Medley_Relay	9	0.009
female_impersonator	dance	dragonfly	recordholder_Ian	29	0.029
female_impersonator	dance	recordholder_Ian	freestyle	12	0.012
female_impersonator	dance	chrysalides	freestyle	7	0.007
female_impersonator	dance	chrysalides	recordholder_Ian	12	0.012
female_impersonator	dance	breaststroke	freestyle	6	0.006
female_impersonator	dance	Medley_Relay	freestyle	4	0.004
female_impersonator	dance	chrysalides	dragonfly	10	0.01
female_impersonator	dance	recordholder_Ian	dragonfly	5	0.005
female_impersonator	dance	breaststroke	chrysalides	8	0.008
female_impersonator	dance	chrysalides	breaststroke	10	0.01
female_impersonator	dance	Medley_Relay	chrysalides	4	0.004
female_impersonator	dance	Individual_Medley	recordholder_Ian	2	0.002
female_impersonator	dance	backstroke	chrysalides	12	0.012
female_impersonator	dance	freestyle	recordholder_Ian	10	0.01
female_impersonator	dance	freestyle	Medley_Relay	5	0.005
female_impersonator	dance	freestyle	dragonfly	8	0.008
female_impersonator	dance	recordholder_Ian	backstroke	18	0.018
female_impersonator	dance	recordholder_Ian	chrysalides	8	0.008
female_impersonator	dance	dragonfly	breaststroke	17	0.017
female_impersonator	dance	Medley_Relay	dragonfly	2	0.002
female_impersonator	dance	freestyle	chrysalides	4	0.004
female_impersonator	dance	breaststroke	dragonfly	11	0.011
female_impersonator	dance	backstroke	Medley_Relay	3	0.003
female_impersonator	dance	Individual_Medley	dragonfly	7	0.007
female_impersonator	dance	chrysalides	backstroke	3	0.003
female_impersonator	dance	Individual_Medley	freestyle	4	0.004
female_impersonator	dance	freestyle	breaststroke	5	0.005
female_impersonator	dance	Medley_Relay	recordholder_Ian	2	0.002
female_impersonator	dance	Medley_Relay	breaststroke	1	0.001
female_impersonator	dance	breaststroke	Individual_Medley	5	0.005
female_impersonator	dance	breaststroke	Medley_Relay	3	0.003
female_impersonator	dance	Individual_Medley	chrysalides	1	0.001
female_impersonator	dance	chrysalides	Individual_Medley	1	0.001
female_impersonator	dance	chrysalides	Medley_Relay	2	0.002
female_impersonator	dance	freestyle	Individual_Medley	5	0.005
female_impersonator	dance	backstroke	breaststroke	2	0.002
female_impersonator	dance	breaststroke	backstroke	1	0.001
female_impersonator	dance	Individual_Medley	backstroke	3	0.003
female_impersonator	dance	NA	NA	581	0.581
