B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	orchid	102	0.102
dancer	female_impersonator	butterfly	fritillary	52	0.052
dancer	female_impersonator	butterfly	zebra_longwing	75	0.075
dancer	female_impersonator	butterfly	giant_swallowtail	56	0.056
dancer	female_impersonator	butterfly	gulf_fritillary	59	0.059
dancer	female_impersonator	butterfly	dragonfly	116	0.116
dancer	female_impersonator	butterfly	floral	59	0.059
dancer	female_impersonator	butterfly	magenta_flowers	38	0.038
dancer	female_impersonator	NA	NA	443	0.443
dancer	dancers	butterfly	gulf_fritillary	51	0.051
dancer	dancers	butterfly	dragonfly	88	0.088
dancer	dancers	butterfly	floral	76	0.076
dancer	dancers	butterfly	zebra_longwing	86	0.086
dancer	dancers	butterfly	orchid	72	0.072
dancer	dancers	butterfly	magenta_flowers	41	0.041
dancer	dancers	butterfly	giant_swallowtail	108	0.108
dancer	dancers	butterfly	fritillary	35	0.035
dancer	dancers	NA	NA	443	0.443
female_impersonator	dancers	orchid	gulf_fritillary	20	0.02
female_impersonator	dancers	fritillary	dragonfly	10	0.01
female_impersonator	dancers	zebra_longwing	dragonfly	20	0.02
female_impersonator	dancers	giant_swallowtail	floral	13	0.013
female_impersonator	dancers	gulf_fritillary	floral	13	0.013
female_impersonator	dancers	dragonfly	zebra_longwing	24	0.024
female_impersonator	dancers	floral	orchid	10	0.01
female_impersonator	dancers	fritillary	orchid	8	0.008
female_impersonator	dancers	zebra_longwing	floral	22	0.022
female_impersonator	dancers	floral	magenta_flowers	2	0.002
female_impersonator	dancers	orchid	giant_swallowtail	27	0.027
female_impersonator	dancers	fritillary	zebra_longwing	13	0.013
female_impersonator	dancers	dragonfly	gulf_fritillary	16	0.016
female_impersonator	dancers	orchid	zebra_longwing	16	0.016
female_impersonator	dancers	gulf_fritillary	zebra_longwing	6	0.006
female_impersonator	dancers	fritillary	giant_swallowtail	7	0.007
female_impersonator	dancers	dragonfly	giant_swallowtail	42	0.042
female_impersonator	dancers	magenta_flowers	fritillary	3	0.003
female_impersonator	dancers	gulf_fritillary	fritillary	6	0.006
female_impersonator	dancers	zebra_longwing	gulf_fritillary	4	0.004
female_impersonator	dancers	gulf_fritillary	orchid	12	0.012
female_impersonator	dancers	floral	dragonfly	6	0.006
female_impersonator	dancers	gulf_fritillary	dragonfly	11	0.011
female_impersonator	dancers	floral	giant_swallowtail	13	0.013
female_impersonator	dancers	magenta_flowers	floral	5	0.005
female_impersonator	dancers	dragonfly	orchid	11	0.011
female_impersonator	dancers	magenta_flowers	orchid	9	0.009
female_impersonator	dancers	zebra_longwing	orchid	14	0.014
female_impersonator	dancers	fritillary	floral	7	0.007
female_impersonator	dancers	dragonfly	floral	6	0.006
female_impersonator	dancers	giant_swallowtail	zebra_longwing	5	0.005
female_impersonator	dancers	orchid	magenta_flowers	11	0.011
female_impersonator	dancers	gulf_fritillary	giant_swallowtail	7	0.007
female_impersonator	dancers	giant_swallowtail	dragonfly	20	0.02
female_impersonator	dancers	orchid	dragonfly	11	0.011
female_impersonator	dancers	zebra_longwing	fritillary	2	0.002
female_impersonator	dancers	giant_swallowtail	magenta_flowers	7	0.007
female_impersonator	dancers	dragonfly	fritillary	11	0.011
female_impersonator	dancers	floral	zebra_longwing	17	0.017
female_impersonator	dancers	dragonfly	magenta_flowers	6	0.006
female_impersonator	dancers	magenta_flowers	dragonfly	10	0.01
female_impersonator	dancers	gulf_fritillary	magenta_flowers	4	0.004
female_impersonator	dancers	orchid	floral	10	0.01
female_impersonator	dancers	fritillary	magenta_flowers	5	0.005
female_impersonator	dancers	zebra_longwing	giant_swallowtail	7	0.007
female_impersonator	dancers	giant_swallowtail	orchid	8	0.008
female_impersonator	dancers	zebra_longwing	magenta_flowers	6	0.006
female_impersonator	dancers	floral	fritillary	5	0.005
female_impersonator	dancers	orchid	fritillary	7	0.007
female_impersonator	dancers	giant_swallowtail	fritillary	1	0.001
female_impersonator	dancers	floral	gulf_fritillary	6	0.006
female_impersonator	dancers	magenta_flowers	zebra_longwing	5	0.005
female_impersonator	dancers	magenta_flowers	giant_swallowtail	5	0.005
female_impersonator	dancers	fritillary	gulf_fritillary	2	0.002
female_impersonator	dancers	giant_swallowtail	gulf_fritillary	2	0.002
female_impersonator	dancers	magenta_flowers	gulf_fritillary	1	0.001
female_impersonator	dancers	NA	NA	443	0.443
