B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dancing	butterfly	dragonfly	53	0.053
dancer	dancing	butterfly	backstroke	40	0.04
dancer	dancing	butterfly	breaststroke	30	0.03
dancer	dancing	butterfly	recordholder_Ian	61	0.061
dancer	dancing	butterfly	freestyle	66	0.066
dancer	dancing	butterfly	chrysalides	62	0.062
dancer	dancing	butterfly	Individual_Medley	21	0.021
dancer	dancing	butterfly	Medley_Relay	28	0.028
dancer	dancing	NA	NA	639	0.639
dancer	female_impersonator	butterfly	recordholder_Ian	75	0.075
dancer	female_impersonator	butterfly	dragonfly	110	0.11
dancer	female_impersonator	butterfly	freestyle	47	0.047
dancer	female_impersonator	butterfly	breaststroke	38	0.038
dancer	female_impersonator	butterfly	Medley_Relay	11	0.011
dancer	female_impersonator	butterfly	backstroke	26	0.026
dancer	female_impersonator	butterfly	chrysalides	32	0.032
dancer	female_impersonator	butterfly	Individual_Medley	22	0.022
dancer	female_impersonator	NA	NA	639	0.639
female_impersonator	dancing	recordholder_Ian	dragonfly	15	0.015
female_impersonator	dancing	dragonfly	backstroke	11	0.011
female_impersonator	dancing	freestyle	breaststroke	5	0.005
female_impersonator	dancing	breaststroke	recordholder_Ian	8	0.008
female_impersonator	dancing	recordholder_Ian	freestyle	14	0.014
female_impersonator	dancing	breaststroke	dragonfly	11	0.011
female_impersonator	dancing	dragonfly	chrysalides	28	0.028
female_impersonator	dancing	recordholder_Ian	chrysalides	12	0.012
female_impersonator	dancing	recordholder_Ian	backstroke	12	0.012
female_impersonator	dancing	dragonfly	recordholder_Ian	18	0.018
female_impersonator	dancing	dragonfly	freestyle	23	0.023
female_impersonator	dancing	freestyle	backstroke	8	0.008
female_impersonator	dancing	breaststroke	Individual_Medley	3	0.003
female_impersonator	dancing	Medley_Relay	dragonfly	3	0.003
female_impersonator	dancing	backstroke	freestyle	5	0.005
female_impersonator	dancing	dragonfly	breaststroke	14	0.014
female_impersonator	dancing	dragonfly	Individual_Medley	8	0.008
female_impersonator	dancing	chrysalides	dragonfly	7	0.007
female_impersonator	dancing	chrysalides	freestyle	8	0.008
female_impersonator	dancing	recordholder_Ian	breaststroke	7	0.007
female_impersonator	dancing	breaststroke	Medley_Relay	1	0.001
female_impersonator	dancing	Individual_Medley	chrysalides	4	0.004
female_impersonator	dancing	breaststroke	freestyle	8	0.008
female_impersonator	dancing	dragonfly	Medley_Relay	8	0.008
female_impersonator	dancing	Medley_Relay	Individual_Medley	1	0.001
female_impersonator	dancing	chrysalides	recordholder_Ian	8	0.008
female_impersonator	dancing	Medley_Relay	chrysalides	2	0.002
female_impersonator	dancing	backstroke	Medley_Relay	3	0.003
female_impersonator	dancing	freestyle	dragonfly	5	0.005
female_impersonator	dancing	freestyle	recordholder_Ian	14	0.014
female_impersonator	dancing	Individual_Medley	backstroke	2	0.002
female_impersonator	dancing	backstroke	dragonfly	10	0.01
female_impersonator	dancing	freestyle	chrysalides	8	0.008
female_impersonator	dancing	Individual_Medley	recordholder_Ian	5	0.005
female_impersonator	dancing	backstroke	chrysalides	3	0.003
female_impersonator	dancing	recordholder_Ian	Medley_Relay	9	0.009
female_impersonator	dancing	Individual_Medley	freestyle	6	0.006
female_impersonator	dancing	backstroke	recordholder_Ian	5	0.005
female_impersonator	dancing	chrysalides	backstroke	5	0.005
female_impersonator	dancing	freestyle	Medley_Relay	5	0.005
female_impersonator	dancing	breaststroke	backstroke	2	0.002
female_impersonator	dancing	freestyle	Individual_Medley	2	0.002
female_impersonator	dancing	Individual_Medley	dragonfly	2	0.002
female_impersonator	dancing	recordholder_Ian	Individual_Medley	6	0.006
female_impersonator	dancing	chrysalides	Individual_Medley	1	0.001
female_impersonator	dancing	breaststroke	chrysalides	5	0.005
female_impersonator	dancing	chrysalides	breaststroke	1	0.001
female_impersonator	dancing	Medley_Relay	recordholder_Ian	3	0.003
female_impersonator	dancing	Medley_Relay	freestyle	2	0.002
female_impersonator	dancing	Individual_Medley	breaststroke	3	0.003
female_impersonator	dancing	chrysalides	Medley_Relay	2	0.002
female_impersonator	dancing	NA	NA	639	0.639
