B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	breaststroke	49	0.049
dancer	female_impersonator	butterfly	chrysalides	54	0.054
dancer	female_impersonator	butterfly	freestyle	54	0.054
dancer	female_impersonator	butterfly	recordholder_Ian	112	0.112
dancer	female_impersonator	butterfly	dragonfly	162	0.162
dancer	female_impersonator	butterfly	backstroke	48	0.048
dancer	female_impersonator	butterfly	Medley_Relay	23	0.023
dancer	female_impersonator	butterfly	Individual_Medley	32	0.032
dancer	female_impersonator	NA	NA	466	0.466
dancer	gymnast	butterfly	recordholder_Ian	105	0.105
dancer	gymnast	butterfly	breaststroke	49	0.049
dancer	gymnast	butterfly	Individual_Medley	89	0.089
dancer	gymnast	butterfly	chrysalides	46	0.046
dancer	gymnast	butterfly	backstroke	50	0.05
dancer	gymnast	butterfly	Medley_Relay	48	0.048
dancer	gymnast	butterfly	dragonfly	72	0.072
dancer	gymnast	butterfly	freestyle	75	0.075
dancer	gymnast	NA	NA	466	0.466
female_impersonator	gymnast	breaststroke	recordholder_Ian	20	0.02
female_impersonator	gymnast	chrysalides	breaststroke	11	0.011
female_impersonator	gymnast	freestyle	recordholder_Ian	15	0.015
female_impersonator	gymnast	recordholder_Ian	Individual_Medley	16	0.016
female_impersonator	gymnast	breaststroke	Individual_Medley	3	0.003
female_impersonator	gymnast	dragonfly	recordholder_Ian	35	0.035
female_impersonator	gymnast	recordholder_Ian	breaststroke	18	0.018
female_impersonator	gymnast	dragonfly	chrysalides	20	0.02
female_impersonator	gymnast	chrysalides	backstroke	4	0.004
female_impersonator	gymnast	recordholder_Ian	Medley_Relay	20	0.02
female_impersonator	gymnast	backstroke	dragonfly	10	0.01
female_impersonator	gymnast	backstroke	breaststroke	2	0.002
female_impersonator	gymnast	dragonfly	freestyle	29	0.029
female_impersonator	gymnast	backstroke	recordholder_Ian	15	0.015
female_impersonator	gymnast	recordholder_Ian	freestyle	14	0.014
female_impersonator	gymnast	freestyle	Medley_Relay	9	0.009
female_impersonator	gymnast	freestyle	chrysalides	3	0.003
female_impersonator	gymnast	breaststroke	freestyle	9	0.009
female_impersonator	gymnast	Medley_Relay	freestyle	7	0.007
female_impersonator	gymnast	recordholder_Ian	dragonfly	24	0.024
female_impersonator	gymnast	dragonfly	Individual_Medley	35	0.035
female_impersonator	gymnast	chrysalides	Individual_Medley	16	0.016
female_impersonator	gymnast	dragonfly	Medley_Relay	5	0.005
female_impersonator	gymnast	Individual_Medley	dragonfly	9	0.009
female_impersonator	gymnast	recordholder_Ian	backstroke	13	0.013
female_impersonator	gymnast	breaststroke	chrysalides	5	0.005
female_impersonator	gymnast	Individual_Medley	freestyle	9	0.009
female_impersonator	gymnast	Individual_Medley	recordholder_Ian	7	0.007
female_impersonator	gymnast	dragonfly	backstroke	27	0.027
female_impersonator	gymnast	dragonfly	breaststroke	11	0.011
female_impersonator	gymnast	freestyle	Individual_Medley	9	0.009
female_impersonator	gymnast	Medley_Relay	chrysalides	3	0.003
female_impersonator	gymnast	breaststroke	dragonfly	5	0.005
female_impersonator	gymnast	backstroke	Individual_Medley	8	0.008
female_impersonator	gymnast	breaststroke	Medley_Relay	7	0.007
female_impersonator	gymnast	Medley_Relay	recordholder_Ian	4	0.004
female_impersonator	gymnast	Medley_Relay	Individual_Medley	2	0.002
female_impersonator	gymnast	chrysalides	recordholder_Ian	9	0.009
female_impersonator	gymnast	backstroke	chrysalides	3	0.003
female_impersonator	gymnast	chrysalides	dragonfly	11	0.011
female_impersonator	gymnast	freestyle	backstroke	4	0.004
female_impersonator	gymnast	freestyle	breaststroke	4	0.004
female_impersonator	gymnast	Medley_Relay	dragonfly	3	0.003
female_impersonator	gymnast	Medley_Relay	breaststroke	3	0.003
female_impersonator	gymnast	backstroke	Medley_Relay	4	0.004
female_impersonator	gymnast	Individual_Medley	chrysalides	5	0.005
female_impersonator	gymnast	backstroke	freestyle	6	0.006
female_impersonator	gymnast	chrysalides	Medley_Relay	2	0.002
female_impersonator	gymnast	recordholder_Ian	chrysalides	7	0.007
female_impersonator	gymnast	freestyle	dragonfly	10	0.01
female_impersonator	gymnast	chrysalides	freestyle	1	0.001
female_impersonator	gymnast	Individual_Medley	Medley_Relay	1	0.001
female_impersonator	gymnast	Individual_Medley	backstroke	1	0.001
female_impersonator	gymnast	Medley_Relay	backstroke	1	0.001
female_impersonator	gymnast	NA	NA	466	0.466
