B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	dragonfly	90	0.09
dancer	female_impersonator	butterfly	freestyle	51	0.051
dancer	female_impersonator	butterfly	breaststroke	54	0.054
dancer	female_impersonator	butterfly	backstroke	33	0.033
dancer	female_impersonator	butterfly	recordholder_Ian	79	0.079
dancer	female_impersonator	butterfly	chrysalides	21	0.021
dancer	female_impersonator	butterfly	Medley_Relay	19	0.019
dancer	female_impersonator	butterfly	Individual_Medley	25	0.025
dancer	female_impersonator	NA	NA	628	0.628
dancer	hoofer	butterfly	freestyle	60	0.06
dancer	hoofer	butterfly	Individual_Medley	52	0.052
dancer	hoofer	butterfly	recordholder_Ian	78	0.078
dancer	hoofer	butterfly	breaststroke	48	0.048
dancer	hoofer	butterfly	Medley_Relay	28	0.028
dancer	hoofer	butterfly	chrysalides	42	0.042
dancer	hoofer	butterfly	dragonfly	21	0.021
dancer	hoofer	butterfly	backstroke	43	0.043
dancer	hoofer	NA	NA	628	0.628
female_impersonator	hoofer	dragonfly	freestyle	11	0.011
female_impersonator	hoofer	freestyle	Individual_Medley	12	0.012
female_impersonator	hoofer	dragonfly	recordholder_Ian	20	0.02
female_impersonator	hoofer	dragonfly	breaststroke	11	0.011
female_impersonator	hoofer	breaststroke	freestyle	9	0.009
female_impersonator	hoofer	freestyle	Medley_Relay	6	0.006
female_impersonator	hoofer	breaststroke	recordholder_Ian	19	0.019
female_impersonator	hoofer	backstroke	chrysalides	2	0.002
female_impersonator	hoofer	dragonfly	Individual_Medley	10	0.01
female_impersonator	hoofer	recordholder_Ian	Individual_Medley	16	0.016
female_impersonator	hoofer	breaststroke	Individual_Medley	8	0.008
female_impersonator	hoofer	chrysalides	dragonfly	5	0.005
female_impersonator	hoofer	recordholder_Ian	breaststroke	20	0.02
female_impersonator	hoofer	Medley_Relay	chrysalides	2	0.002
female_impersonator	hoofer	freestyle	recordholder_Ian	14	0.014
female_impersonator	hoofer	dragonfly	chrysalides	25	0.025
female_impersonator	hoofer	backstroke	recordholder_Ian	10	0.01
female_impersonator	hoofer	recordholder_Ian	freestyle	12	0.012
female_impersonator	hoofer	backstroke	breaststroke	4	0.004
female_impersonator	hoofer	breaststroke	dragonfly	1	0.001
female_impersonator	hoofer	backstroke	dragonfly	2	0.002
female_impersonator	hoofer	breaststroke	chrysalides	5	0.005
female_impersonator	hoofer	backstroke	Individual_Medley	5	0.005
female_impersonator	hoofer	recordholder_Ian	Medley_Relay	8	0.008
female_impersonator	hoofer	breaststroke	backstroke	5	0.005
female_impersonator	hoofer	dragonfly	backstroke	11	0.011
female_impersonator	hoofer	Medley_Relay	recordholder_Ian	3	0.003
female_impersonator	hoofer	Individual_Medley	recordholder_Ian	8	0.008
female_impersonator	hoofer	backstroke	freestyle	8	0.008
female_impersonator	hoofer	recordholder_Ian	backstroke	9	0.009
female_impersonator	hoofer	Individual_Medley	breaststroke	2	0.002
female_impersonator	hoofer	chrysalides	freestyle	3	0.003
female_impersonator	hoofer	recordholder_Ian	dragonfly	8	0.008
female_impersonator	hoofer	Individual_Medley	backstroke	3	0.003
female_impersonator	hoofer	chrysalides	Medley_Relay	2	0.002
female_impersonator	hoofer	freestyle	breaststroke	7	0.007
female_impersonator	hoofer	Medley_Relay	freestyle	8	0.008
female_impersonator	hoofer	Individual_Medley	freestyle	9	0.009
female_impersonator	hoofer	freestyle	backstroke	8	0.008
female_impersonator	hoofer	recordholder_Ian	chrysalides	6	0.006
female_impersonator	hoofer	chrysalides	breaststroke	3	0.003
female_impersonator	hoofer	chrysalides	recordholder_Ian	4	0.004
female_impersonator	hoofer	freestyle	chrysalides	2	0.002
female_impersonator	hoofer	breaststroke	Medley_Relay	7	0.007
female_impersonator	hoofer	freestyle	dragonfly	2	0.002
female_impersonator	hoofer	Medley_Relay	breaststroke	1	0.001
female_impersonator	hoofer	Medley_Relay	dragonfly	1	0.001
female_impersonator	hoofer	Medley_Relay	backstroke	3	0.003
female_impersonator	hoofer	chrysalides	backstroke	4	0.004
female_impersonator	hoofer	dragonfly	Medley_Relay	2	0.002
female_impersonator	hoofer	backstroke	Medley_Relay	2	0.002
female_impersonator	hoofer	Individual_Medley	Medley_Relay	1	0.001
female_impersonator	hoofer	Individual_Medley	dragonfly	2	0.002
female_impersonator	hoofer	Medley_Relay	Individual_Medley	1	0.001
female_impersonator	hoofer	NA	NA	628	0.628
