B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	dragonfly	69	0.069
dancer	female_impersonator	butterfly	floral	40	0.04
dancer	female_impersonator	butterfly	orchid	70	0.07
dancer	female_impersonator	butterfly	magenta_flowers	15	0.015
dancer	female_impersonator	butterfly	giant_swallowtail	33	0.033
dancer	female_impersonator	butterfly	zebra_longwing	33	0.033
dancer	female_impersonator	butterfly	fritillary	21	0.021
dancer	female_impersonator	butterfly	gulf_fritillary	34	0.034
dancer	female_impersonator	NA	NA	685	0.685
dancer	singer	butterfly	orchid	47	0.047
dancer	singer	butterfly	fritillary	44	0.044
dancer	singer	butterfly	dragonfly	21	0.021
dancer	singer	butterfly	zebra_longwing	29	0.029
dancer	singer	butterfly	magenta_flowers	48	0.048
dancer	singer	butterfly	gulf_fritillary	51	0.051
dancer	singer	butterfly	giant_swallowtail	47	0.047
dancer	singer	butterfly	floral	28	0.028
dancer	singer	NA	NA	685	0.685
female_impersonator	singer	dragonfly	orchid	9	0.009
female_impersonator	singer	floral	fritillary	3	0.003
female_impersonator	singer	orchid	dragonfly	4	0.004
female_impersonator	singer	floral	zebra_longwing	5	0.005
female_impersonator	singer	magenta_flowers	fritillary	3	0.003
female_impersonator	singer	dragonfly	magenta_flowers	14	0.014
female_impersonator	singer	orchid	zebra_longwing	5	0.005
female_impersonator	singer	giant_swallowtail	orchid	7	0.007
female_impersonator	singer	floral	gulf_fritillary	13	0.013
female_impersonator	singer	dragonfly	giant_swallowtail	17	0.017
female_impersonator	singer	zebra_longwing	dragonfly	5	0.005
female_impersonator	singer	fritillary	gulf_fritillary	3	0.003
female_impersonator	singer	orchid	fritillary	19	0.019
female_impersonator	singer	zebra_longwing	gulf_fritillary	7	0.007
female_impersonator	singer	floral	orchid	8	0.008
female_impersonator	singer	gulf_fritillary	fritillary	6	0.006
female_impersonator	singer	gulf_fritillary	orchid	8	0.008
female_impersonator	singer	giant_swallowtail	gulf_fritillary	5	0.005
female_impersonator	singer	dragonfly	fritillary	7	0.007
female_impersonator	singer	orchid	gulf_fritillary	11	0.011
female_impersonator	singer	giant_swallowtail	zebra_longwing	4	0.004
female_impersonator	singer	zebra_longwing	magenta_flowers	5	0.005
female_impersonator	singer	dragonfly	zebra_longwing	9	0.009
female_impersonator	singer	gulf_fritillary	floral	9	0.009
female_impersonator	singer	giant_swallowtail	fritillary	5	0.005
female_impersonator	singer	orchid	magenta_flowers	15	0.015
female_impersonator	singer	floral	giant_swallowtail	7	0.007
female_impersonator	singer	fritillary	dragonfly	4	0.004
female_impersonator	singer	zebra_longwing	orchid	8	0.008
female_impersonator	singer	orchid	giant_swallowtail	11	0.011
female_impersonator	singer	fritillary	orchid	4	0.004
female_impersonator	singer	zebra_longwing	floral	5	0.005
female_impersonator	singer	gulf_fritillary	dragonfly	3	0.003
female_impersonator	singer	dragonfly	gulf_fritillary	12	0.012
female_impersonator	singer	giant_swallowtail	dragonfly	3	0.003
female_impersonator	singer	floral	magenta_flowers	3	0.003
female_impersonator	singer	giant_swallowtail	magenta_flowers	5	0.005
female_impersonator	singer	orchid	floral	5	0.005
female_impersonator	singer	zebra_longwing	giant_swallowtail	2	0.002
female_impersonator	singer	giant_swallowtail	floral	4	0.004
female_impersonator	singer	magenta_flowers	giant_swallowtail	4	0.004
female_impersonator	singer	gulf_fritillary	magenta_flowers	1	0.001
female_impersonator	singer	fritillary	magenta_flowers	5	0.005
female_impersonator	singer	fritillary	floral	2	0.002
female_impersonator	singer	fritillary	giant_swallowtail	3	0.003
female_impersonator	singer	gulf_fritillary	giant_swallowtail	3	0.003
female_impersonator	singer	magenta_flowers	dragonfly	1	0.001
female_impersonator	singer	magenta_flowers	orchid	3	0.003
female_impersonator	singer	magenta_flowers	zebra_longwing	2	0.002
female_impersonator	singer	magenta_flowers	floral	2	0.002
female_impersonator	singer	gulf_fritillary	zebra_longwing	4	0.004
female_impersonator	singer	dragonfly	floral	1	0.001
female_impersonator	singer	floral	dragonfly	1	0.001
female_impersonator	singer	zebra_longwing	fritillary	1	0.001
female_impersonator	singer	NA	NA	685	0.685
