B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	dragonfly	104	0.104
dancer	female_impersonator	butterfly	magenta_flowers	23	0.023
dancer	female_impersonator	butterfly	floral	45	0.045
dancer	female_impersonator	butterfly	gulf_fritillary	52	0.052
dancer	female_impersonator	butterfly	fritillary	34	0.034
dancer	female_impersonator	butterfly	giant_swallowtail	62	0.062
dancer	female_impersonator	butterfly	orchid	94	0.094
dancer	female_impersonator	butterfly	zebra_longwing	68	0.068
dancer	female_impersonator	NA	NA	518	0.518
dancer	singers	butterfly	giant_swallowtail	99	0.099
dancer	singers	butterfly	gulf_fritillary	46	0.046
dancer	singers	butterfly	orchid	89	0.089
dancer	singers	butterfly	fritillary	67	0.067
dancer	singers	butterfly	floral	67	0.067
dancer	singers	butterfly	zebra_longwing	48	0.048
dancer	singers	butterfly	magenta_flowers	47	0.047
dancer	singers	butterfly	dragonfly	19	0.019
dancer	singers	NA	NA	518	0.518
female_impersonator	singers	dragonfly	giant_swallowtail	36	0.036
female_impersonator	singers	dragonfly	gulf_fritillary	11	0.011
female_impersonator	singers	magenta_flowers	giant_swallowtail	6	0.006
female_impersonator	singers	dragonfly	orchid	7	0.007
female_impersonator	singers	floral	giant_swallowtail	13	0.013
female_impersonator	singers	gulf_fritillary	fritillary	7	0.007
female_impersonator	singers	magenta_flowers	orchid	8	0.008
female_impersonator	singers	fritillary	floral	9	0.009
female_impersonator	singers	giant_swallowtail	floral	16	0.016
female_impersonator	singers	orchid	giant_swallowtail	24	0.024
female_impersonator	singers	zebra_longwing	floral	13	0.013
female_impersonator	singers	zebra_longwing	fritillary	9	0.009
female_impersonator	singers	gulf_fritillary	orchid	20	0.02
female_impersonator	singers	dragonfly	zebra_longwing	18	0.018
female_impersonator	singers	magenta_flowers	fritillary	2	0.002
female_impersonator	singers	orchid	magenta_flowers	13	0.013
female_impersonator	singers	magenta_flowers	floral	4	0.004
female_impersonator	singers	giant_swallowtail	fritillary	9	0.009
female_impersonator	singers	orchid	gulf_fritillary	17	0.017
female_impersonator	singers	dragonfly	magenta_flowers	9	0.009
female_impersonator	singers	giant_swallowtail	dragonfly	3	0.003
female_impersonator	singers	zebra_longwing	orchid	23	0.023
female_impersonator	singers	orchid	floral	8	0.008
female_impersonator	singers	giant_swallowtail	magenta_flowers	9	0.009
female_impersonator	singers	giant_swallowtail	orchid	17	0.017
female_impersonator	singers	floral	zebra_longwing	3	0.003
female_impersonator	singers	orchid	fritillary	14	0.014
female_impersonator	singers	floral	gulf_fritillary	8	0.008
female_impersonator	singers	floral	orchid	6	0.006
female_impersonator	singers	magenta_flowers	zebra_longwing	3	0.003
female_impersonator	singers	dragonfly	fritillary	17	0.017
female_impersonator	singers	orchid	dragonfly	6	0.006
female_impersonator	singers	fritillary	gulf_fritillary	2	0.002
female_impersonator	singers	dragonfly	floral	6	0.006
female_impersonator	singers	gulf_fritillary	floral	11	0.011
female_impersonator	singers	fritillary	magenta_flowers	3	0.003
female_impersonator	singers	zebra_longwing	giant_swallowtail	9	0.009
female_impersonator	singers	orchid	zebra_longwing	12	0.012
female_impersonator	singers	gulf_fritillary	dragonfly	2	0.002
female_impersonator	singers	zebra_longwing	gulf_fritillary	4	0.004
female_impersonator	singers	gulf_fritillary	magenta_flowers	4	0.004
female_impersonator	singers	fritillary	giant_swallowtail	6	0.006
female_impersonator	singers	fritillary	dragonfly	1	0.001
female_impersonator	singers	floral	dragonfly	2	0.002
female_impersonator	singers	gulf_fritillary	giant_swallowtail	5	0.005
female_impersonator	singers	floral	magenta_flowers	4	0.004
female_impersonator	singers	fritillary	orchid	8	0.008
female_impersonator	singers	floral	fritillary	9	0.009
female_impersonator	singers	fritillary	zebra_longwing	5	0.005
female_impersonator	singers	zebra_longwing	magenta_flowers	5	0.005
female_impersonator	singers	zebra_longwing	dragonfly	5	0.005
female_impersonator	singers	giant_swallowtail	gulf_fritillary	4	0.004
female_impersonator	singers	gulf_fritillary	zebra_longwing	3	0.003
female_impersonator	singers	giant_swallowtail	zebra_longwing	4	0.004
female_impersonator	singers	NA	NA	518	0.518
