B_dom	B_cod	A_dom	A_cod	count	probability
dancer	beauty	butterfly	beauty	674	0.674
dancer	beauty	butterfly	dance	54	0.054
dancer	beauty	butterfly	feather	45	0.045
dancer	beauty	butterfly	skirt	24	0.024
dancer	beauty	butterfly	flower	140	0.14
dancer	beauty	butterfly	sky	43	0.043
dancer	beauty	butterfly	fly	20	0.02
dancer	beauty	NA	NA	0	0.0
dancer	flower	butterfly	sky	120	0.12
dancer	flower	butterfly	dance	154	0.154
dancer	flower	butterfly	skirt	139	0.139
dancer	flower	butterfly	flower	333	0.333
dancer	flower	butterfly	beauty	204	0.204
dancer	flower	butterfly	feather	19	0.019
dancer	flower	butterfly	fly	31	0.031
dancer	flower	NA	NA	0	0.0
flower	beauty	sky	beauty	103	0.103
flower	beauty	dance	beauty	149	0.149
flower	beauty	skirt	beauty	89	0.089
flower	beauty	flower	beauty	333	0.333
flower	beauty	skirt	dance	21	0.021
flower	beauty	beauty	dance	33	0.033
flower	beauty	sky	feather	11	0.011
flower	beauty	feather	skirt	17	0.017
flower	beauty	beauty	flower	140	0.14
flower	beauty	fly	sky	27	0.027
flower	beauty	skirt	feather	25	0.025
flower	beauty	sky	fly	6	0.006
flower	beauty	beauty	feather	5	0.005
flower	beauty	beauty	skirt	7	0.007
flower	beauty	dance	fly	5	0.005
flower	beauty	beauty	sky	16	0.016
flower	beauty	beauty	fly	3	0.003
flower	beauty	fly	feather	4	0.004
flower	beauty	feather	fly	2	0.002
flower	beauty	skirt	fly	4	0.004
flower	beauty	NA	NA	0	0.0
