B_dom	B_cod	A_dom	A_cod	count	probability
dancer	flower	butterfly	dance	117	0.117
dancer	flower	butterfly	beauty	243	0.243
dancer	flower	butterfly	flower	212	0.212
dancer	flower	butterfly	fly	66	0.066
dancer	flower	butterfly	skirt	167	0.167
dancer	flower	butterfly	feather	62	0.062
dancer	flower	butterfly	sky	126	0.126
dancer	flower	butterfly	spin	7	0.007
dancer	flower	NA	NA	0	0.0
dancer	feather	butterfly	skirt	203	0.203
dancer	feather	butterfly	feather	431	0.431
dancer	feather	butterfly	spin	41	0.041
dancer	feather	butterfly	beauty	19	0.019
dancer	feather	butterfly	dance	109	0.109
dancer	feather	butterfly	sky	184	0.184
dancer	feather	butterfly	fly	13	0.013
dancer	feather	NA	NA	0	0.0
flower	feather	dance	skirt	58	0.058
flower	feather	beauty	skirt	58	0.058
flower	feather	flower	feather	115	0.115
flower	feather	fly	spin	7	0.007
flower	feather	skirt	beauty	3	0.003
flower	feather	fly	feather	39	0.039
flower	feather	feather	skirt	32	0.032
flower	feather	flower	skirt	28	0.028
flower	feather	skirt	feather	94	0.094
flower	feather	dance	spin	13	0.013
flower	feather	sky	feather	100	0.1
flower	feather	beauty	dance	46	0.046
flower	feather	dance	sky	7	0.007
flower	feather	dance	feather	23	0.023
flower	feather	skirt	dance	23	0.023
flower	feather	flower	sky	44	0.044
flower	feather	beauty	feather	57	0.057
flower	feather	beauty	sky	77	0.077
flower	feather	skirt	spin	14	0.014
flower	feather	feather	sky	15	0.015
flower	feather	fly	dance	5	0.005
flower	feather	dance	beauty	9	0.009
flower	feather	feather	beauty	1	0.001
flower	feather	skirt	sky	33	0.033
flower	feather	sky	skirt	19	0.019
flower	feather	sky	beauty	6	0.006
flower	feather	fly	skirt	8	0.008
flower	feather	flower	dance	25	0.025
flower	feather	dance	fly	7	0.007
flower	feather	fly	sky	7	0.007
flower	feather	feather	spin	2	0.002
flower	feather	beauty	spin	5	0.005
flower	feather	feather	fly	5	0.005
flower	feather	spin	feather	3	0.003
flower	feather	spin	dance	2	0.002
flower	feather	sky	dance	1	0.001
flower	feather	feather	dance	7	0.007
flower	feather	spin	fly	1	0.001
flower	feather	spin	sky	1	0.001
flower	feather	NA	NA	0	0.0
