B_dom	B_cod	A_dom	A_cod	count	probability
dancer	flower	butterfly	sky	100	0.1
dancer	flower	butterfly	flower	161	0.161
dancer	flower	butterfly	beauty	219	0.219
dancer	flower	butterfly	dance	93	0.093
dancer	flower	butterfly	feather	52	0.052
dancer	flower	butterfly	fly	43	0.043
dancer	flower	butterfly	skirt	124	0.124
dancer	flower	butterfly	spin	8	0.008
dancer	flower	NA	NA	200	0.2
dancer	music	butterfly	beauty	141	0.141
dancer	music	butterfly	dance	406	0.406
dancer	music	butterfly	sky	56	0.056
dancer	music	butterfly	flower	82	0.082
dancer	music	butterfly	feather	24	0.024
dancer	music	butterfly	fly	46	0.046
dancer	music	butterfly	skirt	19	0.019
dancer	music	butterfly	spin	26	0.026
dancer	music	NA	NA	200	0.2
flower	music	sky	beauty	31	0.031
flower	music	flower	beauty	23	0.023
flower	music	beauty	dance	175	0.175
flower	music	beauty	sky	25	0.025
flower	music	dance	flower	20	0.02
flower	music	feather	flower	16	0.016
flower	music	feather	beauty	15	0.015
flower	music	sky	flower	27	0.027
flower	music	flower	dance	95	0.095
flower	music	beauty	feather	6	0.006
flower	music	fly	feather	2	0.002
flower	music	fly	dance	24	0.024
flower	music	skirt	beauty	22	0.022
flower	music	skirt	fly	4	0.004
flower	music	dance	beauty	48	0.048
flower	music	flower	feather	5	0.005
flower	music	dance	skirt	4	0.004
flower	music	spin	fly	1	0.001
flower	music	sky	dance	21	0.021
flower	music	flower	sky	20	0.02
flower	music	skirt	dance	75	0.075
flower	music	dance	fly	17	0.017
flower	music	feather	dance	10	0.01
flower	music	sky	fly	7	0.007
flower	music	feather	spin	2	0.002
flower	music	skirt	feather	6	0.006
flower	music	spin	dance	6	0.006
flower	music	sky	skirt	4	0.004
flower	music	flower	fly	12	0.012
flower	music	fly	spin	7	0.007
flower	music	sky	feather	5	0.005
flower	music	sky	spin	5	0.005
flower	music	feather	fly	5	0.005
flower	music	beauty	spin	2	0.002
flower	music	beauty	skirt	7	0.007
flower	music	skirt	flower	8	0.008
flower	music	feather	sky	3	0.003
flower	music	dance	spin	4	0.004
flower	music	fly	flower	6	0.006
flower	music	skirt	sky	7	0.007
flower	music	beauty	flower	4	0.004
flower	music	flower	spin	4	0.004
flower	music	fly	beauty	2	0.002
flower	music	fly	sky	1	0.001
flower	music	flower	skirt	2	0.002
flower	music	skirt	spin	2	0.002
flower	music	feather	skirt	1	0.001
flower	music	fly	skirt	1	0.001
flower	music	spin	flower	1	0.001
flower	music	NA	NA	200	0.2
