B_dom	B_cod	A_dom	A_cod	count	probability
dancer	skirt	butterfly	beauty	41	0.041
dancer	skirt	butterfly	skirt	651	0.651
dancer	skirt	butterfly	feather	108	0.108
dancer	skirt	butterfly	sky	32	0.032
dancer	skirt	butterfly	dance	91	0.091
dancer	skirt	butterfly	fly	53	0.053
dancer	skirt	butterfly	flower	21	0.021
dancer	skirt	butterfly	spin	3	0.003
dancer	skirt	NA	NA	0	0.0
dancer	flower	butterfly	skirt	140	0.14
dancer	flower	butterfly	sky	94	0.094
dancer	flower	butterfly	beauty	186	0.186
dancer	flower	butterfly	dance	152	0.152
dancer	flower	butterfly	feather	167	0.167
dancer	flower	butterfly	flower	207	0.207
dancer	flower	butterfly	fly	51	0.051
dancer	flower	butterfly	spin	3	0.003
dancer	flower	NA	NA	0	0.0
flower	skirt	skirt	beauty	10	0.01
flower	skirt	sky	skirt	40	0.04
flower	skirt	beauty	skirt	108	0.108
flower	skirt	sky	feather	21	0.021
flower	skirt	dance	skirt	110	0.11
flower	skirt	beauty	sky	16	0.016
flower	skirt	feather	skirt	167	0.167
flower	skirt	flower	skirt	207	0.207
flower	skirt	beauty	dance	62	0.062
flower	skirt	dance	fly	18	0.018
flower	skirt	sky	fly	26	0.026
flower	skirt	fly	sky	13	0.013
flower	skirt	skirt	feather	76	0.076
flower	skirt	fly	dance	8	0.008
flower	skirt	sky	beauty	7	0.007
flower	skirt	skirt	flower	21	0.021
flower	skirt	skirt	dance	21	0.021
flower	skirt	dance	beauty	24	0.024
flower	skirt	skirt	sky	3	0.003
flower	skirt	fly	spin	1	0.001
flower	skirt	fly	feather	11	0.011
flower	skirt	fly	skirt	18	0.018
flower	skirt	skirt	fly	7	0.007
flower	skirt	skirt	spin	2	0.002
flower	skirt	spin	fly	2	0.002
flower	skirt	spin	skirt	1	0.001
flower	skirt	NA	NA	0	0.0
