B_dom	B_cod	A_dom	A_cod	count	probability
flower	woman	skirt	beauty	29	0.029
flower	woman	sky	flower	54	0.054
flower	woman	beauty	flower	34	0.034
flower	woman	skirt	flower	30	0.03
flower	woman	dance	beauty	41	0.041
flower	woman	sky	beauty	35	0.035
flower	woman	dance	skirt	22	0.022
flower	woman	dance	flower	29	0.029
flower	woman	beauty	feather	10	0.01
flower	woman	feather	flower	21	0.021
flower	woman	skirt	dance	17	0.017
flower	woman	flower	skirt	41	0.041
flower	woman	flower	dance	27	0.027
flower	woman	sky	feather	11	0.011
flower	woman	flower	sky	22	0.022
flower	woman	fly	skirt	8	0.008
flower	woman	sky	skirt	15	0.015
flower	woman	beauty	skirt	41	0.041
flower	woman	skirt	fly	3	0.003
flower	woman	fly	feather	7	0.007
flower	woman	skirt	sky	4	0.004
flower	woman	skirt	feather	18	0.018
flower	woman	spin	flower	1	0.001
flower	woman	sky	fly	2	0.002
flower	woman	beauty	sky	17	0.017
flower	woman	flower	feather	15	0.015
flower	woman	fly	beauty	4	0.004
flower	woman	flower	beauty	40	0.04
flower	woman	beauty	dance	33	0.033
flower	woman	feather	sky	3	0.003
flower	woman	feather	skirt	15	0.015
flower	woman	fly	flower	6	0.006
flower	woman	dance	sky	3	0.003
flower	woman	feather	dance	4	0.004
flower	woman	fly	sky	2	0.002
flower	woman	dance	feather	4	0.004
flower	woman	fly	dance	15	0.015
flower	woman	dance	fly	2	0.002
flower	woman	feather	beauty	11	0.011
flower	woman	sky	dance	2	0.002
flower	woman	spin	skirt	1	0.001
flower	woman	spin	beauty	1	0.001
flower	woman	spin	dance	1	0.001
flower	woman	beauty	fly	1	0.001
flower	woman	NA	NA	298	0.298
dancer	woman	butterfly	beauty	161	0.161
dancer	woman	butterfly	flower	175	0.175
dancer	woman	butterfly	skirt	143	0.143
dancer	woman	butterfly	feather	65	0.065
dancer	woman	butterfly	dance	99	0.099
dancer	woman	butterfly	sky	51	0.051
dancer	woman	butterfly	fly	8	0.008
dancer	woman	NA	NA	298	0.298
dancer	flower	butterfly	skirt	101	0.101
dancer	flower	butterfly	sky	119	0.119
dancer	flower	butterfly	beauty	136	0.136
dancer	flower	butterfly	dance	101	0.101
dancer	flower	butterfly	feather	54	0.054
dancer	flower	butterfly	flower	145	0.145
dancer	flower	butterfly	fly	42	0.042
dancer	flower	butterfly	spin	4	0.004
dancer	flower	NA	NA	298	0.298
