B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	dragonfly	94	0.094
dancer	ballerina	butterfly	freestyle	78	0.078
dancer	ballerina	butterfly	chrysalides	102	0.102
dancer	ballerina	butterfly	recordholder_Ian	151	0.151
dancer	ballerina	butterfly	backstroke	90	0.09
dancer	ballerina	butterfly	Individual_Medley	47	0.047
dancer	ballerina	butterfly	Medley_Relay	31	0.031
dancer	ballerina	butterfly	breaststroke	93	0.093
dancer	ballerina	NA	NA	314	0.314
dancer	gymnast	butterfly	Individual_Medley	154	0.154
dancer	gymnast	butterfly	recordholder_Ian	127	0.127
dancer	gymnast	butterfly	dragonfly	41	0.041
dancer	gymnast	butterfly	freestyle	145	0.145
dancer	gymnast	butterfly	backstroke	62	0.062
dancer	gymnast	butterfly	breaststroke	78	0.078
dancer	gymnast	butterfly	Medley_Relay	52	0.052
dancer	gymnast	butterfly	chrysalides	27	0.027
dancer	gymnast	NA	NA	314	0.314
gymnast	ballerina	Individual_Medley	dragonfly	23	0.023
gymnast	ballerina	recordholder_Ian	freestyle	19	0.019
gymnast	ballerina	dragonfly	chrysalides	32	0.032
gymnast	ballerina	recordholder_Ian	dragonfly	10	0.01
gymnast	ballerina	Individual_Medley	recordholder_Ian	56	0.056
gymnast	ballerina	recordholder_Ian	chrysalides	21	0.021
gymnast	ballerina	recordholder_Ian	backstroke	31	0.031
gymnast	ballerina	freestyle	Individual_Medley	22	0.022
gymnast	ballerina	freestyle	Medley_Relay	19	0.019
gymnast	ballerina	backstroke	dragonfly	15	0.015
gymnast	ballerina	backstroke	breaststroke	7	0.007
gymnast	ballerina	Individual_Medley	freestyle	28	0.028
gymnast	ballerina	breaststroke	chrysalides	17	0.017
gymnast	ballerina	breaststroke	Individual_Medley	9	0.009
gymnast	ballerina	recordholder_Ian	breaststroke	39	0.039
gymnast	ballerina	Medley_Relay	freestyle	14	0.014
gymnast	ballerina	freestyle	recordholder_Ian	51	0.051
gymnast	ballerina	freestyle	chrysalides	12	0.012
gymnast	ballerina	Medley_Relay	breaststroke	17	0.017
gymnast	ballerina	backstroke	Individual_Medley	8	0.008
gymnast	ballerina	breaststroke	recordholder_Ian	25	0.025
gymnast	ballerina	breaststroke	backstroke	8	0.008
gymnast	ballerina	freestyle	breaststroke	15	0.015
gymnast	ballerina	Medley_Relay	recordholder_Ian	5	0.005
gymnast	ballerina	Individual_Medley	chrysalides	15	0.015
gymnast	ballerina	Individual_Medley	backstroke	19	0.019
gymnast	ballerina	backstroke	recordholder_Ian	11	0.011
gymnast	ballerina	Individual_Medley	breaststroke	12	0.012
gymnast	ballerina	Medley_Relay	backstroke	15	0.015
gymnast	ballerina	freestyle	dragonfly	16	0.016
gymnast	ballerina	chrysalides	dragonfly	21	0.021
gymnast	ballerina	recordholder_Ian	Individual_Medley	6	0.006
gymnast	ballerina	breaststroke	dragonfly	8	0.008
gymnast	ballerina	dragonfly	Individual_Medley	2	0.002
gymnast	ballerina	freestyle	backstroke	10	0.01
gymnast	ballerina	backstroke	chrysalides	5	0.005
gymnast	ballerina	dragonfly	backstroke	6	0.006
gymnast	ballerina	backstroke	Medley_Relay	4	0.004
gymnast	ballerina	chrysalides	recordholder_Ian	3	0.003
gymnast	ballerina	backstroke	freestyle	12	0.012
gymnast	ballerina	breaststroke	freestyle	5	0.005
gymnast	ballerina	breaststroke	Medley_Relay	6	0.006
gymnast	ballerina	dragonfly	breaststroke	1	0.001
gymnast	ballerina	chrysalides	backstroke	1	0.001
gymnast	ballerina	Medley_Relay	dragonfly	1	0.001
gymnast	ballerina	recordholder_Ian	Medley_Relay	1	0.001
gymnast	ballerina	chrysalides	breaststroke	2	0.002
gymnast	ballerina	Individual_Medley	Medley_Relay	1	0.001
gymnast	ballerina	NA	NA	314	0.314
