B_dom	B_cod	A_dom	A_cod	count	probability
gymnast	ballet	freestyle	recordholder_Ian	32	0.032
gymnast	ballet	Individual_Medley	backstroke	19	0.019
gymnast	ballet	Individual_Medley	breaststroke	26	0.026
gymnast	ballet	breaststroke	freestyle	13	0.013
gymnast	ballet	recordholder_Ian	chrysalides	13	0.013
gymnast	ballet	freestyle	Medley_Relay	20	0.02
gymnast	ballet	recordholder_Ian	dragonfly	8	0.008
gymnast	ballet	Individual_Medley	chrysalides	14	0.014
gymnast	ballet	recordholder_Ian	freestyle	22	0.022
gymnast	ballet	freestyle	Individual_Medley	27	0.027
gymnast	ballet	recordholder_Ian	breaststroke	38	0.038
gymnast	ballet	freestyle	dragonfly	12	0.012
gymnast	ballet	recordholder_Ian	backstroke	41	0.041
gymnast	ballet	Medley_Relay	freestyle	28	0.028
gymnast	ballet	Medley_Relay	breaststroke	9	0.009
gymnast	ballet	dragonfly	recordholder_Ian	2	0.002
gymnast	ballet	Individual_Medley	recordholder_Ian	45	0.045
gymnast	ballet	recordholder_Ian	Individual_Medley	9	0.009
gymnast	ballet	recordholder_Ian	Medley_Relay	5	0.005
gymnast	ballet	Medley_Relay	recordholder_Ian	7	0.007
gymnast	ballet	breaststroke	dragonfly	7	0.007
gymnast	ballet	dragonfly	breaststroke	11	0.011
gymnast	ballet	Individual_Medley	freestyle	48	0.048
gymnast	ballet	chrysalides	dragonfly	22	0.022
gymnast	ballet	freestyle	backstroke	13	0.013
gymnast	ballet	backstroke	Medley_Relay	3	0.003
gymnast	ballet	Individual_Medley	dragonfly	12	0.012
gymnast	ballet	breaststroke	recordholder_Ian	44	0.044
gymnast	ballet	chrysalides	freestyle	3	0.003
gymnast	ballet	backstroke	Individual_Medley	2	0.002
gymnast	ballet	backstroke	chrysalides	9	0.009
gymnast	ballet	freestyle	breaststroke	14	0.014
gymnast	ballet	chrysalides	breaststroke	6	0.006
gymnast	ballet	dragonfly	chrysalides	25	0.025
gymnast	ballet	breaststroke	Medley_Relay	9	0.009
gymnast	ballet	breaststroke	chrysalides	22	0.022
gymnast	ballet	dragonfly	freestyle	5	0.005
gymnast	ballet	backstroke	dragonfly	21	0.021
gymnast	ballet	Medley_Relay	backstroke	13	0.013
gymnast	ballet	chrysalides	backstroke	10	0.01
gymnast	ballet	backstroke	recordholder_Ian	11	0.011
gymnast	ballet	breaststroke	Individual_Medley	11	0.011
gymnast	ballet	backstroke	freestyle	3	0.003
gymnast	ballet	Medley_Relay	dragonfly	3	0.003
gymnast	ballet	dragonfly	backstroke	14	0.014
gymnast	ballet	breaststroke	backstroke	3	0.003
gymnast	ballet	freestyle	chrysalides	5	0.005
gymnast	ballet	dragonfly	Individual_Medley	2	0.002
gymnast	ballet	chrysalides	Individual_Medley	1	0.001
gymnast	ballet	Medley_Relay	Individual_Medley	3	0.003
gymnast	ballet	backstroke	breaststroke	4	0.004
gymnast	ballet	Individual_Medley	Medley_Relay	2	0.002
gymnast	ballet	chrysalides	recordholder_Ian	2	0.002
gymnast	ballet	NA	NA	247	0.247
dancer	ballet	butterfly	recordholder_Ian	143	0.143
dancer	ballet	butterfly	backstroke	113	0.113
dancer	ballet	butterfly	breaststroke	108	0.108
dancer	ballet	butterfly	freestyle	122	0.122
dancer	ballet	butterfly	chrysalides	88	0.088
dancer	ballet	butterfly	Medley_Relay	39	0.039
dancer	ballet	butterfly	dragonfly	85	0.085
dancer	ballet	butterfly	Individual_Medley	55	0.055
dancer	ballet	NA	NA	247	0.247
dancer	gymnast	butterfly	freestyle	123	0.123
dancer	gymnast	butterfly	Individual_Medley	166	0.166
dancer	gymnast	butterfly	breaststroke	109	0.109
dancer	gymnast	butterfly	recordholder_Ian	136	0.136
dancer	gymnast	butterfly	Medley_Relay	63	0.063
dancer	gymnast	butterfly	dragonfly	59	0.059
dancer	gymnast	butterfly	chrysalides	44	0.044
dancer	gymnast	butterfly	backstroke	53	0.053
dancer	gymnast	NA	NA	247	0.247
