B_dom	B_cod	A_dom	A_cod	count	probability
gymnast	choreographer	chrysalides	backstroke	10	0.01
gymnast	choreographer	Individual_Medley	chrysalides	13	0.013
gymnast	choreographer	Individual_Medley	recordholder_Ian	38	0.038
gymnast	choreographer	Individual_Medley	breaststroke	10	0.01
gymnast	choreographer	freestyle	backstroke	5	0.005
gymnast	choreographer	Individual_Medley	freestyle	42	0.042
gymnast	choreographer	breaststroke	chrysalides	14	0.014
gymnast	choreographer	freestyle	chrysalides	6	0.006
gymnast	choreographer	recordholder_Ian	freestyle	31	0.031
gymnast	choreographer	dragonfly	backstroke	15	0.015
gymnast	choreographer	freestyle	recordholder_Ian	25	0.025
gymnast	choreographer	recordholder_Ian	breaststroke	25	0.025
gymnast	choreographer	dragonfly	freestyle	9	0.009
gymnast	choreographer	backstroke	recordholder_Ian	16	0.016
gymnast	choreographer	backstroke	chrysalides	5	0.005
gymnast	choreographer	freestyle	Medley_Relay	25	0.025
gymnast	choreographer	dragonfly	chrysalides	16	0.016
gymnast	choreographer	breaststroke	recordholder_Ian	49	0.049
gymnast	choreographer	recordholder_Ian	backstroke	31	0.031
gymnast	choreographer	chrysalides	freestyle	7	0.007
gymnast	choreographer	freestyle	breaststroke	9	0.009
gymnast	choreographer	Individual_Medley	dragonfly	16	0.016
gymnast	choreographer	recordholder_Ian	Medley_Relay	14	0.014
gymnast	choreographer	freestyle	dragonfly	14	0.014
gymnast	choreographer	Medley_Relay	breaststroke	10	0.01
gymnast	choreographer	Medley_Relay	chrysalides	1	0.001
gymnast	choreographer	freestyle	Individual_Medley	19	0.019
gymnast	choreographer	Medley_Relay	backstroke	9	0.009
gymnast	choreographer	breaststroke	freestyle	8	0.008
gymnast	choreographer	breaststroke	Medley_Relay	9	0.009
gymnast	choreographer	chrysalides	breaststroke	14	0.014
gymnast	choreographer	Individual_Medley	Medley_Relay	1	0.001
gymnast	choreographer	breaststroke	Individual_Medley	3	0.003
gymnast	choreographer	backstroke	dragonfly	9	0.009
gymnast	choreographer	backstroke	breaststroke	8	0.008
gymnast	choreographer	recordholder_Ian	dragonfly	4	0.004
gymnast	choreographer	dragonfly	Individual_Medley	8	0.008
gymnast	choreographer	dragonfly	breaststroke	13	0.013
gymnast	choreographer	recordholder_Ian	Individual_Medley	6	0.006
gymnast	choreographer	chrysalides	dragonfly	10	0.01
gymnast	choreographer	Individual_Medley	backstroke	5	0.005
gymnast	choreographer	Medley_Relay	recordholder_Ian	1	0.001
gymnast	choreographer	Medley_Relay	freestyle	17	0.017
gymnast	choreographer	recordholder_Ian	chrysalides	9	0.009
gymnast	choreographer	chrysalides	recordholder_Ian	6	0.006
gymnast	choreographer	Medley_Relay	dragonfly	1	0.001
gymnast	choreographer	backstroke	Medley_Relay	4	0.004
gymnast	choreographer	backstroke	freestyle	3	0.003
gymnast	choreographer	breaststroke	backstroke	3	0.003
gymnast	choreographer	dragonfly	recordholder_Ian	5	0.005
gymnast	choreographer	breaststroke	dragonfly	3	0.003
gymnast	choreographer	dragonfly	Medley_Relay	1	0.001
gymnast	choreographer	chrysalides	Individual_Medley	2	0.002
gymnast	choreographer	backstroke	Individual_Medley	1	0.001
gymnast	choreographer	NA	NA	362	0.362
dancer	gymnast	butterfly	chrysalides	49	0.049
dancer	gymnast	butterfly	Individual_Medley	125	0.125
dancer	gymnast	butterfly	freestyle	103	0.103
dancer	gymnast	butterfly	breaststroke	89	0.089
dancer	gymnast	butterfly	recordholder_Ian	120	0.12
dancer	gymnast	butterfly	dragonfly	67	0.067
dancer	gymnast	butterfly	backstroke	46	0.046
dancer	gymnast	butterfly	Medley_Relay	39	0.039
dancer	gymnast	NA	NA	362	0.362
dancer	choreographer	butterfly	backstroke	78	0.078
dancer	choreographer	butterfly	chrysalides	64	0.064
dancer	choreographer	butterfly	recordholder_Ian	140	0.14
dancer	choreographer	butterfly	breaststroke	89	0.089
dancer	choreographer	butterfly	freestyle	117	0.117
dancer	choreographer	butterfly	Medley_Relay	54	0.054
dancer	choreographer	butterfly	dragonfly	57	0.057
dancer	choreographer	butterfly	Individual_Medley	39	0.039
dancer	choreographer	NA	NA	362	0.362
