B_dom	B_cod	A_dom	A_cod	count	probability
gymnast	dance	dragonfly	chrysalides	23	0.023
gymnast	dance	Individual_Medley	dragonfly	31	0.031
gymnast	dance	Individual_Medley	recordholder_Ian	54	0.054
gymnast	dance	breaststroke	recordholder_Ian	48	0.048
gymnast	dance	dragonfly	freestyle	16	0.016
gymnast	dance	freestyle	breaststroke	10	0.01
gymnast	dance	recordholder_Ian	chrysalides	14	0.014
gymnast	dance	Individual_Medley	freestyle	29	0.029
gymnast	dance	Medley_Relay	freestyle	17	0.017
gymnast	dance	recordholder_Ian	Individual_Medley	22	0.022
gymnast	dance	recordholder_Ian	breaststroke	41	0.041
gymnast	dance	chrysalides	Medley_Relay	4	0.004
gymnast	dance	recordholder_Ian	freestyle	27	0.027
gymnast	dance	Individual_Medley	chrysalides	23	0.023
gymnast	dance	breaststroke	dragonfly	10	0.01
gymnast	dance	freestyle	Medley_Relay	25	0.025
gymnast	dance	breaststroke	chrysalides	33	0.033
gymnast	dance	backstroke	recordholder_Ian	11	0.011
gymnast	dance	freestyle	chrysalides	9	0.009
gymnast	dance	freestyle	recordholder_Ian	30	0.03
gymnast	dance	chrysalides	breaststroke	13	0.013
gymnast	dance	dragonfly	breaststroke	8	0.008
gymnast	dance	dragonfly	recordholder_Ian	1	0.001
gymnast	dance	recordholder_Ian	backstroke	26	0.026
gymnast	dance	Individual_Medley	Medley_Relay	1	0.001
gymnast	dance	recordholder_Ian	dragonfly	6	0.006
gymnast	dance	dragonfly	backstroke	19	0.019
gymnast	dance	backstroke	freestyle	10	0.01
gymnast	dance	freestyle	Individual_Medley	21	0.021
gymnast	dance	dragonfly	Individual_Medley	10	0.01
gymnast	dance	chrysalides	Individual_Medley	6	0.006
gymnast	dance	Individual_Medley	breaststroke	8	0.008
gymnast	dance	breaststroke	Individual_Medley	8	0.008
gymnast	dance	chrysalides	dragonfly	10	0.01
gymnast	dance	freestyle	dragonfly	12	0.012
gymnast	dance	chrysalides	freestyle	10	0.01
gymnast	dance	Medley_Relay	recordholder_Ian	5	0.005
gymnast	dance	backstroke	breaststroke	5	0.005
gymnast	dance	Medley_Relay	chrysalides	4	0.004
gymnast	dance	backstroke	dragonfly	16	0.016
gymnast	dance	breaststroke	freestyle	11	0.011
gymnast	dance	backstroke	Medley_Relay	5	0.005
gymnast	dance	Individual_Medley	backstroke	10	0.01
gymnast	dance	freestyle	backstroke	6	0.006
gymnast	dance	breaststroke	backstroke	1	0.001
gymnast	dance	recordholder_Ian	Medley_Relay	6	0.006
gymnast	dance	Medley_Relay	breaststroke	8	0.008
gymnast	dance	dragonfly	Medley_Relay	4	0.004
gymnast	dance	backstroke	chrysalides	13	0.013
gymnast	dance	chrysalides	recordholder_Ian	5	0.005
gymnast	dance	breaststroke	Medley_Relay	3	0.003
gymnast	dance	Medley_Relay	Individual_Medley	2	0.002
gymnast	dance	backstroke	Individual_Medley	4	0.004
gymnast	dance	chrysalides	backstroke	6	0.006
gymnast	dance	Medley_Relay	backstroke	3	0.003
gymnast	dance	NA	NA	237	0.237
dancer	dance	butterfly	chrysalides	119	0.119
dancer	dance	butterfly	dragonfly	85	0.085
dancer	dance	butterfly	recordholder_Ian	154	0.154
dancer	dance	butterfly	freestyle	120	0.12
dancer	dance	butterfly	breaststroke	93	0.093
dancer	dance	butterfly	Individual_Medley	73	0.073
dancer	dance	butterfly	Medley_Relay	48	0.048
dancer	dance	butterfly	backstroke	71	0.071
dancer	dance	NA	NA	237	0.237
dancer	gymnast	butterfly	dragonfly	81	0.081
dancer	gymnast	butterfly	Individual_Medley	156	0.156
dancer	gymnast	butterfly	breaststroke	114	0.114
dancer	gymnast	butterfly	freestyle	113	0.113
dancer	gymnast	butterfly	recordholder_Ian	142	0.142
dancer	gymnast	butterfly	Medley_Relay	39	0.039
dancer	gymnast	butterfly	chrysalides	54	0.054
dancer	gymnast	butterfly	backstroke	64	0.064
dancer	gymnast	NA	NA	237	0.237
