B_dom	B_cod	A_dom	A_cod	count	probability
dancer	gymnast	butterfly	recordholder_Ian	134	0.134
dancer	gymnast	butterfly	chrysalides	59	0.059
dancer	gymnast	butterfly	freestyle	78	0.078
dancer	gymnast	butterfly	dragonfly	99	0.099
dancer	gymnast	butterfly	Medley_Relay	62	0.062
dancer	gymnast	butterfly	Individual_Medley	121	0.121
dancer	gymnast	butterfly	breaststroke	73	0.073
dancer	gymnast	butterfly	backstroke	45	0.045
dancer	gymnast	NA	NA	329	0.329
dancer	dancing	butterfly	breaststroke	67	0.067
dancer	dancing	butterfly	freestyle	110	0.11
dancer	dancing	butterfly	dragonfly	111	0.111
dancer	dancing	butterfly	Medley_Relay	44	0.044
dancer	dancing	butterfly	backstroke	64	0.064
dancer	dancing	butterfly	recordholder_Ian	110	0.11
dancer	dancing	butterfly	chrysalides	113	0.113
dancer	dancing	butterfly	Individual_Medley	52	0.052
dancer	dancing	NA	NA	329	0.329
gymnast	dancing	recordholder_Ian	breaststroke	18	0.018
gymnast	dancing	chrysalides	freestyle	17	0.017
gymnast	dancing	freestyle	dragonfly	16	0.016
gymnast	dancing	dragonfly	Medley_Relay	7	0.007
gymnast	dancing	Medley_Relay	freestyle	19	0.019
gymnast	dancing	Individual_Medley	freestyle	20	0.02
gymnast	dancing	breaststroke	backstroke	1	0.001
gymnast	dancing	chrysalides	breaststroke	13	0.013
gymnast	dancing	Individual_Medley	recordholder_Ian	37	0.037
gymnast	dancing	freestyle	breaststroke	7	0.007
gymnast	dancing	backstroke	chrysalides	14	0.014
gymnast	dancing	Medley_Relay	recordholder_Ian	17	0.017
gymnast	dancing	recordholder_Ian	chrysalides	17	0.017
gymnast	dancing	freestyle	recordholder_Ian	10	0.01
gymnast	dancing	Individual_Medley	chrysalides	18	0.018
gymnast	dancing	recordholder_Ian	backstroke	28	0.028
gymnast	dancing	dragonfly	freestyle	15	0.015
gymnast	dancing	breaststroke	recordholder_Ian	18	0.018
gymnast	dancing	dragonfly	Individual_Medley	8	0.008
gymnast	dancing	recordholder_Ian	dragonfly	23	0.023
gymnast	dancing	chrysalides	Medley_Relay	4	0.004
gymnast	dancing	freestyle	Individual_Medley	17	0.017
gymnast	dancing	Medley_Relay	breaststroke	5	0.005
gymnast	dancing	backstroke	dragonfly	14	0.014
gymnast	dancing	backstroke	Individual_Medley	4	0.004
gymnast	dancing	breaststroke	freestyle	10	0.01
gymnast	dancing	chrysalides	recordholder_Ian	3	0.003
gymnast	dancing	Medley_Relay	Individual_Medley	3	0.003
gymnast	dancing	dragonfly	chrysalides	22	0.022
gymnast	dancing	breaststroke	chrysalides	26	0.026
gymnast	dancing	Individual_Medley	breaststroke	8	0.008
gymnast	dancing	freestyle	Medley_Relay	10	0.01
gymnast	dancing	Medley_Relay	backstroke	8	0.008
gymnast	dancing	recordholder_Ian	freestyle	25	0.025
gymnast	dancing	recordholder_Ian	Individual_Medley	12	0.012
gymnast	dancing	dragonfly	recordholder_Ian	22	0.022
gymnast	dancing	chrysalides	backstroke	4	0.004
gymnast	dancing	breaststroke	dragonfly	9	0.009
gymnast	dancing	Medley_Relay	dragonfly	6	0.006
gymnast	dancing	breaststroke	Individual_Medley	3	0.003
gymnast	dancing	Individual_Medley	dragonfly	30	0.03
gymnast	dancing	dragonfly	breaststroke	13	0.013
gymnast	dancing	chrysalides	dragonfly	13	0.013
gymnast	dancing	recordholder_Ian	Medley_Relay	11	0.011
gymnast	dancing	backstroke	recordholder_Ian	3	0.003
gymnast	dancing	dragonfly	backstroke	12	0.012
gymnast	dancing	backstroke	freestyle	4	0.004
gymnast	dancing	Individual_Medley	Medley_Relay	3	0.003
gymnast	dancing	breaststroke	Medley_Relay	6	0.006
gymnast	dancing	chrysalides	Individual_Medley	5	0.005
gymnast	dancing	Medley_Relay	chrysalides	4	0.004
gymnast	dancing	freestyle	chrysalides	12	0.012
gymnast	dancing	backstroke	Medley_Relay	3	0.003
gymnast	dancing	freestyle	backstroke	6	0.006
gymnast	dancing	Individual_Medley	backstroke	5	0.005
gymnast	dancing	backstroke	breaststroke	3	0.003
gymnast	dancing	NA	NA	329	0.329
