B_dom	B_cod	A_dom	A_cod	count	probability
dancer	hoofer	butterfly	recordholder_Ian	133	0.133
dancer	hoofer	butterfly	dragonfly	77	0.077
dancer	hoofer	butterfly	chrysalides	109	0.109
dancer	hoofer	butterfly	freestyle	69	0.069
dancer	hoofer	butterfly	backstroke	63	0.063
dancer	hoofer	butterfly	breaststroke	80	0.08
dancer	hoofer	butterfly	Individual_Medley	50	0.05
dancer	hoofer	butterfly	Medley_Relay	21	0.021
dancer	hoofer	NA	NA	398	0.398
dancer	gymnast	butterfly	freestyle	75	0.075
dancer	gymnast	butterfly	breaststroke	65	0.065
dancer	gymnast	butterfly	chrysalides	54	0.054
dancer	gymnast	butterfly	Individual_Medley	121	0.121
dancer	gymnast	butterfly	Medley_Relay	64	0.064
dancer	gymnast	butterfly	recordholder_Ian	109	0.109
dancer	gymnast	butterfly	backstroke	52	0.052
dancer	gymnast	butterfly	dragonfly	62	0.062
dancer	gymnast	NA	NA	398	0.398
gymnast	hoofer	freestyle	recordholder_Ian	15	0.015
gymnast	hoofer	breaststroke	recordholder_Ian	15	0.015
gymnast	hoofer	chrysalides	dragonfly	13	0.013
gymnast	hoofer	Individual_Medley	dragonfly	15	0.015
gymnast	hoofer	freestyle	chrysalides	9	0.009
gymnast	hoofer	Medley_Relay	chrysalides	4	0.004
gymnast	hoofer	recordholder_Ian	freestyle	11	0.011
gymnast	hoofer	backstroke	dragonfly	10	0.01
gymnast	hoofer	Medley_Relay	dragonfly	4	0.004
gymnast	hoofer	recordholder_Ian	backstroke	20	0.02
gymnast	hoofer	Individual_Medley	chrysalides	25	0.025
gymnast	hoofer	backstroke	chrysalides	15	0.015
gymnast	hoofer	Individual_Medley	recordholder_Ian	48	0.048
gymnast	hoofer	backstroke	freestyle	6	0.006
gymnast	hoofer	recordholder_Ian	breaststroke	25	0.025
gymnast	hoofer	Individual_Medley	breaststroke	8	0.008
gymnast	hoofer	dragonfly	backstroke	9	0.009
gymnast	hoofer	dragonfly	Individual_Medley	11	0.011
gymnast	hoofer	chrysalides	breaststroke	10	0.01
gymnast	hoofer	Individual_Medley	freestyle	16	0.016
gymnast	hoofer	recordholder_Ian	dragonfly	21	0.021
gymnast	hoofer	breaststroke	chrysalides	24	0.024
gymnast	hoofer	dragonfly	breaststroke	11	0.011
gymnast	hoofer	breaststroke	freestyle	11	0.011
gymnast	hoofer	Medley_Relay	backstroke	10	0.01
gymnast	hoofer	Medley_Relay	breaststroke	10	0.01
gymnast	hoofer	recordholder_Ian	chrysalides	21	0.021
gymnast	hoofer	freestyle	backstroke	9	0.009
gymnast	hoofer	backstroke	recordholder_Ian	10	0.01
gymnast	hoofer	dragonfly	chrysalides	11	0.011
gymnast	hoofer	freestyle	breaststroke	11	0.011
gymnast	hoofer	chrysalides	recordholder_Ian	13	0.013
gymnast	hoofer	chrysalides	freestyle	7	0.007
gymnast	hoofer	freestyle	Individual_Medley	13	0.013
gymnast	hoofer	freestyle	dragonfly	11	0.011
gymnast	hoofer	chrysalides	Individual_Medley	5	0.005
gymnast	hoofer	Medley_Relay	freestyle	8	0.008
gymnast	hoofer	dragonfly	recordholder_Ian	8	0.008
gymnast	hoofer	Medley_Relay	recordholder_Ian	24	0.024
gymnast	hoofer	backstroke	breaststroke	5	0.005
gymnast	hoofer	breaststroke	Medley_Relay	3	0.003
gymnast	hoofer	dragonfly	Medley_Relay	2	0.002
gymnast	hoofer	Individual_Medley	backstroke	9	0.009
gymnast	hoofer	backstroke	Medley_Relay	1	0.001
gymnast	hoofer	freestyle	Medley_Relay	7	0.007
gymnast	hoofer	chrysalides	backstroke	3	0.003
gymnast	hoofer	dragonfly	freestyle	10	0.01
gymnast	hoofer	recordholder_Ian	Individual_Medley	6	0.006
gymnast	hoofer	recordholder_Ian	Medley_Relay	5	0.005
gymnast	hoofer	Medley_Relay	Individual_Medley	4	0.004
gymnast	hoofer	breaststroke	dragonfly	3	0.003
gymnast	hoofer	breaststroke	Individual_Medley	6	0.006
gymnast	hoofer	backstroke	Individual_Medley	5	0.005
gymnast	hoofer	breaststroke	backstroke	3	0.003
gymnast	hoofer	chrysalides	Medley_Relay	3	0.003
gymnast	hoofer	NA	NA	398	0.398
