B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	Individual_Medley	53	0.053
dancer	dance	butterfly	Medley_Relay	39	0.039
dancer	dance	butterfly	recordholder_Ian	80	0.08
dancer	dance	butterfly	chrysalides	67	0.067
dancer	dance	butterfly	freestyle	119	0.119
dancer	dance	butterfly	breaststroke	67	0.067
dancer	dance	butterfly	backstroke	59	0.059
dancer	dance	butterfly	dragonfly	44	0.044
dancer	dance	NA	NA	472	0.472
dancer	hoofer	butterfly	breaststroke	65	0.065
dancer	hoofer	butterfly	freestyle	78	0.078
dancer	hoofer	butterfly	Individual_Medley	54	0.054
dancer	hoofer	butterfly	chrysalides	62	0.062
dancer	hoofer	butterfly	backstroke	75	0.075
dancer	hoofer	butterfly	recordholder_Ian	111	0.111
dancer	hoofer	butterfly	Medley_Relay	28	0.028
dancer	hoofer	butterfly	dragonfly	55	0.055
dancer	hoofer	NA	NA	472	0.472
hoofer	dance	breaststroke	Individual_Medley	12	0.012
hoofer	dance	freestyle	Medley_Relay	9	0.009
hoofer	dance	Individual_Medley	recordholder_Ian	4	0.004
hoofer	dance	chrysalides	recordholder_Ian	14	0.014
hoofer	dance	backstroke	Individual_Medley	12	0.012
hoofer	dance	freestyle	Individual_Medley	14	0.014
hoofer	dance	Individual_Medley	chrysalides	4	0.004
hoofer	dance	recordholder_Ian	freestyle	31	0.031
hoofer	dance	backstroke	chrysalides	12	0.012
hoofer	dance	Medley_Relay	breaststroke	2	0.002
hoofer	dance	dragonfly	backstroke	10	0.01
hoofer	dance	backstroke	dragonfly	12	0.012
hoofer	dance	freestyle	recordholder_Ian	18	0.018
hoofer	dance	recordholder_Ian	backstroke	20	0.02
hoofer	dance	Individual_Medley	freestyle	26	0.026
hoofer	dance	dragonfly	chrysalides	20	0.02
hoofer	dance	backstroke	freestyle	13	0.013
hoofer	dance	backstroke	Medley_Relay	9	0.009
hoofer	dance	chrysalides	freestyle	17	0.017
hoofer	dance	dragonfly	breaststroke	5	0.005
hoofer	dance	recordholder_Ian	Medley_Relay	5	0.005
hoofer	dance	Medley_Relay	freestyle	13	0.013
hoofer	dance	recordholder_Ian	breaststroke	31	0.031
hoofer	dance	backstroke	recordholder_Ian	15	0.015
hoofer	dance	breaststroke	recordholder_Ian	20	0.02
hoofer	dance	chrysalides	dragonfly	11	0.011
hoofer	dance	freestyle	chrysalides	8	0.008
hoofer	dance	chrysalides	breaststroke	8	0.008
hoofer	dance	Medley_Relay	dragonfly	1	0.001
hoofer	dance	dragonfly	freestyle	11	0.011
hoofer	dance	chrysalides	Medley_Relay	6	0.006
hoofer	dance	recordholder_Ian	Individual_Medley	7	0.007
hoofer	dance	breaststroke	freestyle	8	0.008
hoofer	dance	dragonfly	recordholder_Ian	4	0.004
hoofer	dance	Individual_Medley	dragonfly	5	0.005
hoofer	dance	Medley_Relay	Individual_Medley	3	0.003
hoofer	dance	recordholder_Ian	chrysalides	10	0.01
hoofer	dance	breaststroke	chrysalides	12	0.012
hoofer	dance	Medley_Relay	chrysalides	1	0.001
hoofer	dance	dragonfly	Individual_Medley	4	0.004
hoofer	dance	recordholder_Ian	dragonfly	7	0.007
hoofer	dance	chrysalides	backstroke	5	0.005
hoofer	dance	breaststroke	Medley_Relay	7	0.007
hoofer	dance	freestyle	dragonfly	6	0.006
hoofer	dance	freestyle	breaststroke	14	0.014
hoofer	dance	Individual_Medley	breaststroke	5	0.005
hoofer	dance	freestyle	backstroke	9	0.009
hoofer	dance	chrysalides	Individual_Medley	1	0.001
hoofer	dance	Individual_Medley	backstroke	8	0.008
hoofer	dance	breaststroke	dragonfly	2	0.002
hoofer	dance	breaststroke	backstroke	4	0.004
hoofer	dance	Medley_Relay	recordholder_Ian	5	0.005
hoofer	dance	Medley_Relay	backstroke	3	0.003
hoofer	dance	Individual_Medley	Medley_Relay	2	0.002
hoofer	dance	backstroke	breaststroke	2	0.002
hoofer	dance	dragonfly	Medley_Relay	1	0.001
hoofer	dance	NA	NA	472	0.472
