B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dancing	butterfly	breaststroke	36	0.036
dancer	dancing	butterfly	chrysalides	58	0.058
dancer	dancing	butterfly	Medley_Relay	28	0.028
dancer	dancing	butterfly	backstroke	45	0.045
dancer	dancing	butterfly	freestyle	105	0.105
dancer	dancing	butterfly	dragonfly	58	0.058
dancer	dancing	butterfly	recordholder_Ian	59	0.059
dancer	dancing	butterfly	Individual_Medley	36	0.036
dancer	dancing	NA	NA	575	0.575
dancer	hoofer	butterfly	recordholder_Ian	108	0.108
dancer	hoofer	butterfly	dragonfly	44	0.044
dancer	hoofer	butterfly	freestyle	62	0.062
dancer	hoofer	butterfly	chrysalides	56	0.056
dancer	hoofer	butterfly	Individual_Medley	43	0.043
dancer	hoofer	butterfly	backstroke	45	0.045
dancer	hoofer	butterfly	breaststroke	46	0.046
dancer	hoofer	butterfly	Medley_Relay	21	0.021
dancer	hoofer	NA	NA	575	0.575
hoofer	dancing	recordholder_Ian	breaststroke	11	0.011
hoofer	dancing	dragonfly	chrysalides	17	0.017
hoofer	dancing	freestyle	Medley_Relay	12	0.012
hoofer	dancing	recordholder_Ian	backstroke	20	0.02
hoofer	dancing	chrysalides	freestyle	14	0.014
hoofer	dancing	recordholder_Ian	dragonfly	8	0.008
hoofer	dancing	freestyle	backstroke	9	0.009
hoofer	dancing	Individual_Medley	chrysalides	4	0.004
hoofer	dancing	chrysalides	breaststroke	5	0.005
hoofer	dancing	chrysalides	backstroke	6	0.006
hoofer	dancing	chrysalides	dragonfly	23	0.023
hoofer	dancing	recordholder_Ian	chrysalides	14	0.014
hoofer	dancing	recordholder_Ian	freestyle	38	0.038
hoofer	dancing	backstroke	recordholder_Ian	17	0.017
hoofer	dancing	Individual_Medley	backstroke	3	0.003
hoofer	dancing	recordholder_Ian	Individual_Medley	14	0.014
hoofer	dancing	freestyle	Individual_Medley	12	0.012
hoofer	dancing	backstroke	dragonfly	6	0.006
hoofer	dancing	Individual_Medley	freestyle	16	0.016
hoofer	dancing	freestyle	recordholder_Ian	11	0.011
hoofer	dancing	Individual_Medley	breaststroke	9	0.009
hoofer	dancing	backstroke	freestyle	8	0.008
hoofer	dancing	freestyle	dragonfly	9	0.009
hoofer	dancing	dragonfly	recordholder_Ian	8	0.008
hoofer	dancing	breaststroke	recordholder_Ian	16	0.016
hoofer	dancing	breaststroke	freestyle	9	0.009
hoofer	dancing	dragonfly	freestyle	8	0.008
hoofer	dancing	freestyle	chrysalides	3	0.003
hoofer	dancing	dragonfly	Medley_Relay	3	0.003
hoofer	dancing	Medley_Relay	backstroke	1	0.001
hoofer	dancing	chrysalides	Individual_Medley	4	0.004
hoofer	dancing	Individual_Medley	dragonfly	4	0.004
hoofer	dancing	Medley_Relay	freestyle	12	0.012
hoofer	dancing	chrysalides	recordholder_Ian	2	0.002
hoofer	dancing	breaststroke	chrysalides	8	0.008
hoofer	dancing	backstroke	chrysalides	9	0.009
hoofer	dancing	Individual_Medley	recordholder_Ian	4	0.004
hoofer	dancing	dragonfly	Individual_Medley	2	0.002
hoofer	dancing	Individual_Medley	Medley_Relay	3	0.003
hoofer	dancing	recordholder_Ian	Medley_Relay	3	0.003
hoofer	dancing	Medley_Relay	dragonfly	3	0.003
hoofer	dancing	breaststroke	dragonfly	5	0.005
hoofer	dancing	freestyle	breaststroke	6	0.006
hoofer	dancing	Medley_Relay	chrysalides	3	0.003
hoofer	dancing	breaststroke	backstroke	3	0.003
hoofer	dancing	Medley_Relay	Individual_Medley	1	0.001
hoofer	dancing	Medley_Relay	recordholder_Ian	1	0.001
hoofer	dancing	backstroke	breaststroke	2	0.002
hoofer	dancing	breaststroke	Medley_Relay	4	0.004
hoofer	dancing	dragonfly	backstroke	3	0.003
hoofer	dancing	chrysalides	Medley_Relay	2	0.002
hoofer	dancing	dragonfly	breaststroke	3	0.003
hoofer	dancing	backstroke	Medley_Relay	1	0.001
hoofer	dancing	backstroke	Individual_Medley	2	0.002
hoofer	dancing	breaststroke	Individual_Medley	1	0.001
hoofer	dancing	NA	NA	575	0.575
