B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	Medley_Relay	18	0.018
dancer	female_impersonator	butterfly	dragonfly	90	0.09
dancer	female_impersonator	butterfly	recordholder_Ian	70	0.07
dancer	female_impersonator	butterfly	breaststroke	49	0.049
dancer	female_impersonator	butterfly	Individual_Medley	33	0.033
dancer	female_impersonator	butterfly	freestyle	42	0.042
dancer	female_impersonator	butterfly	backstroke	36	0.036
dancer	female_impersonator	butterfly	chrysalides	23	0.023
dancer	female_impersonator	NA	NA	639	0.639
dancer	hoofer	butterfly	Individual_Medley	43	0.043
dancer	hoofer	butterfly	recordholder_Ian	78	0.078
dancer	hoofer	butterfly	chrysalides	48	0.048
dancer	hoofer	butterfly	breaststroke	42	0.042
dancer	hoofer	butterfly	freestyle	59	0.059
dancer	hoofer	butterfly	Medley_Relay	21	0.021
dancer	hoofer	butterfly	dragonfly	29	0.029
dancer	hoofer	butterfly	backstroke	41	0.041
dancer	hoofer	NA	NA	639	0.639
hoofer	female_impersonator	Individual_Medley	Medley_Relay	3	0.003
hoofer	female_impersonator	recordholder_Ian	dragonfly	19	0.019
hoofer	female_impersonator	chrysalides	dragonfly	28	0.028
hoofer	female_impersonator	breaststroke	dragonfly	7	0.007
hoofer	female_impersonator	freestyle	recordholder_Ian	15	0.015
hoofer	female_impersonator	recordholder_Ian	Medley_Relay	2	0.002
hoofer	female_impersonator	Individual_Medley	breaststroke	6	0.006
hoofer	female_impersonator	Individual_Medley	dragonfly	12	0.012
hoofer	female_impersonator	breaststroke	recordholder_Ian	18	0.018
hoofer	female_impersonator	freestyle	Individual_Medley	5	0.005
hoofer	female_impersonator	freestyle	Medley_Relay	6	0.006
hoofer	female_impersonator	breaststroke	freestyle	7	0.007
hoofer	female_impersonator	Medley_Relay	breaststroke	3	0.003
hoofer	female_impersonator	dragonfly	breaststroke	6	0.006
hoofer	female_impersonator	dragonfly	recordholder_Ian	6	0.006
hoofer	female_impersonator	freestyle	dragonfly	8	0.008
hoofer	female_impersonator	dragonfly	Individual_Medley	6	0.006
hoofer	female_impersonator	chrysalides	Medley_Relay	2	0.002
hoofer	female_impersonator	Individual_Medley	freestyle	5	0.005
hoofer	female_impersonator	recordholder_Ian	Individual_Medley	11	0.011
hoofer	female_impersonator	breaststroke	Individual_Medley	6	0.006
hoofer	female_impersonator	chrysalides	backstroke	5	0.005
hoofer	female_impersonator	dragonfly	chrysalides	6	0.006
hoofer	female_impersonator	freestyle	chrysalides	8	0.008
hoofer	female_impersonator	Individual_Medley	recordholder_Ian	11	0.011
hoofer	female_impersonator	recordholder_Ian	chrysalides	5	0.005
hoofer	female_impersonator	dragonfly	freestyle	2	0.002
hoofer	female_impersonator	backstroke	Medley_Relay	4	0.004
hoofer	female_impersonator	Medley_Relay	dragonfly	5	0.005
hoofer	female_impersonator	freestyle	breaststroke	9	0.009
hoofer	female_impersonator	breaststroke	backstroke	2	0.002
hoofer	female_impersonator	dragonfly	backstroke	3	0.003
hoofer	female_impersonator	Medley_Relay	freestyle	7	0.007
hoofer	female_impersonator	backstroke	dragonfly	11	0.011
hoofer	female_impersonator	recordholder_Ian	breaststroke	14	0.014
hoofer	female_impersonator	recordholder_Ian	freestyle	14	0.014
hoofer	female_impersonator	freestyle	backstroke	8	0.008
hoofer	female_impersonator	backstroke	freestyle	6	0.006
hoofer	female_impersonator	chrysalides	breaststroke	5	0.005
hoofer	female_impersonator	Medley_Relay	backstroke	1	0.001
hoofer	female_impersonator	recordholder_Ian	backstroke	13	0.013
hoofer	female_impersonator	backstroke	recordholder_Ian	11	0.011
hoofer	female_impersonator	breaststroke	Medley_Relay	1	0.001
hoofer	female_impersonator	chrysalides	recordholder_Ian	7	0.007
hoofer	female_impersonator	Medley_Relay	chrysalides	1	0.001
hoofer	female_impersonator	backstroke	Individual_Medley	3	0.003
hoofer	female_impersonator	chrysalides	freestyle	1	0.001
hoofer	female_impersonator	Medley_Relay	recordholder_Ian	2	0.002
hoofer	female_impersonator	Individual_Medley	backstroke	4	0.004
hoofer	female_impersonator	backstroke	breaststroke	6	0.006
hoofer	female_impersonator	Medley_Relay	Individual_Medley	2	0.002
hoofer	female_impersonator	Individual_Medley	chrysalides	2	0.002
hoofer	female_impersonator	breaststroke	chrysalides	1	0.001
hoofer	female_impersonator	NA	NA	639	0.639
