B_dom	B_cod	A_dom	A_cod	count	probability
dancer	gymnast	butterfly	freestyle	58	0.058
dancer	gymnast	butterfly	Individual_Medley	131	0.131
dancer	gymnast	butterfly	Medley_Relay	63	0.063
dancer	gymnast	butterfly	chrysalides	75	0.075
dancer	gymnast	butterfly	recordholder_Ian	120	0.12
dancer	gymnast	butterfly	breaststroke	61	0.061
dancer	gymnast	butterfly	dragonfly	63	0.063
dancer	gymnast	butterfly	backstroke	49	0.049
dancer	gymnast	NA	NA	380	0.38
dancer	hoofer	butterfly	backstroke	75	0.075
dancer	hoofer	butterfly	breaststroke	76	0.076
dancer	hoofer	butterfly	chrysalides	83	0.083
dancer	hoofer	butterfly	freestyle	97	0.097
dancer	hoofer	butterfly	dragonfly	86	0.086
dancer	hoofer	butterfly	recordholder_Ian	115	0.115
dancer	hoofer	butterfly	Medley_Relay	23	0.023
dancer	hoofer	butterfly	Individual_Medley	65	0.065
dancer	hoofer	NA	NA	380	0.38
hoofer	gymnast	backstroke	freestyle	10	0.01
hoofer	gymnast	breaststroke	Individual_Medley	14	0.014
hoofer	gymnast	chrysalides	Individual_Medley	25	0.025
hoofer	gymnast	freestyle	Medley_Relay	18	0.018
hoofer	gymnast	dragonfly	freestyle	14	0.014
hoofer	gymnast	recordholder_Ian	chrysalides	9	0.009
hoofer	gymnast	Medley_Relay	recordholder_Ian	7	0.007
hoofer	gymnast	chrysalides	freestyle	11	0.011
hoofer	gymnast	Individual_Medley	recordholder_Ian	25	0.025
hoofer	gymnast	backstroke	Individual_Medley	14	0.014
hoofer	gymnast	freestyle	Individual_Medley	24	0.024
hoofer	gymnast	freestyle	recordholder_Ian	16	0.016
hoofer	gymnast	breaststroke	chrysalides	15	0.015
hoofer	gymnast	chrysalides	recordholder_Ian	15	0.015
hoofer	gymnast	backstroke	breaststroke	5	0.005
hoofer	gymnast	recordholder_Ian	Medley_Relay	30	0.03
hoofer	gymnast	chrysalides	breaststroke	10	0.01
hoofer	gymnast	backstroke	chrysalides	11	0.011
hoofer	gymnast	Individual_Medley	freestyle	11	0.011
hoofer	gymnast	Individual_Medley	chrysalides	8	0.008
hoofer	gymnast	breaststroke	dragonfly	12	0.012
hoofer	gymnast	freestyle	backstroke	6	0.006
hoofer	gymnast	recordholder_Ian	Individual_Medley	34	0.034
hoofer	gymnast	dragonfly	backstroke	16	0.016
hoofer	gymnast	dragonfly	Individual_Medley	20	0.02
hoofer	gymnast	recordholder_Ian	backstroke	8	0.008
hoofer	gymnast	backstroke	recordholder_Ian	19	0.019
hoofer	gymnast	chrysalides	dragonfly	9	0.009
hoofer	gymnast	freestyle	dragonfly	10	0.01
hoofer	gymnast	breaststroke	recordholder_Ian	25	0.025
hoofer	gymnast	breaststroke	Medley_Relay	5	0.005
hoofer	gymnast	backstroke	dragonfly	11	0.011
hoofer	gymnast	Medley_Relay	breaststroke	3	0.003
hoofer	gymnast	Individual_Medley	backstroke	4	0.004
hoofer	gymnast	dragonfly	recordholder_Ian	13	0.013
hoofer	gymnast	Individual_Medley	breaststroke	9	0.009
hoofer	gymnast	freestyle	chrysalides	13	0.013
hoofer	gymnast	recordholder_Ian	freestyle	6	0.006
hoofer	gymnast	backstroke	Medley_Relay	5	0.005
hoofer	gymnast	chrysalides	backstroke	10	0.01
hoofer	gymnast	Medley_Relay	dragonfly	5	0.005
hoofer	gymnast	Medley_Relay	freestyle	4	0.004
hoofer	gymnast	dragonfly	chrysalides	17	0.017
hoofer	gymnast	freestyle	breaststroke	10	0.01
hoofer	gymnast	recordholder_Ian	breaststroke	20	0.02
hoofer	gymnast	chrysalides	Medley_Relay	3	0.003
hoofer	gymnast	dragonfly	Medley_Relay	2	0.002
hoofer	gymnast	breaststroke	backstroke	3	0.003
hoofer	gymnast	dragonfly	breaststroke	4	0.004
hoofer	gymnast	breaststroke	freestyle	2	0.002
hoofer	gymnast	Medley_Relay	chrysalides	2	0.002
hoofer	gymnast	Individual_Medley	dragonfly	8	0.008
hoofer	gymnast	recordholder_Ian	dragonfly	8	0.008
hoofer	gymnast	Medley_Relay	backstroke	2	0.002
hoofer	gymnast	NA	NA	380	0.38
