B_dom	B_cod	A_dom	A_cod	count	probability
dancer	beauty	butterfly	beauty	536	0.536
dancer	beauty	butterfly	feather	40	0.04
dancer	beauty	butterfly	dance	70	0.07
dancer	beauty	butterfly	skirt	36	0.036
dancer	beauty	butterfly	sky	23	0.023
dancer	beauty	butterfly	fly	28	0.028
dancer	beauty	butterfly	flower	8	0.008
dancer	beauty	NA	NA	259	0.259
dancer	music	butterfly	fly	25	0.025
dancer	music	butterfly	dance	345	0.345
dancer	music	butterfly	flower	177	0.177
dancer	music	butterfly	beauty	81	0.081
dancer	music	butterfly	spin	17	0.017
dancer	music	butterfly	skirt	17	0.017
dancer	music	butterfly	sky	45	0.045
dancer	music	butterfly	feather	34	0.034
dancer	music	NA	NA	259	0.259
music	beauty	fly	beauty	4	0.004
music	beauty	dance	beauty	329	0.329
music	beauty	flower	feather	18	0.018
music	beauty	flower	beauty	134	0.134
music	beauty	beauty	dance	52	0.052
music	beauty	spin	dance	7	0.007
music	beauty	skirt	feather	5	0.005
music	beauty	beauty	feather	3	0.003
music	beauty	sky	feather	11	0.011
music	beauty	fly	dance	9	0.009
music	beauty	beauty	skirt	7	0.007
music	beauty	sky	beauty	27	0.027
music	beauty	beauty	sky	11	0.011
music	beauty	feather	beauty	25	0.025
music	beauty	feather	skirt	2	0.002
music	beauty	spin	beauty	7	0.007
music	beauty	sky	fly	7	0.007
music	beauty	dance	fly	16	0.016
music	beauty	skirt	dance	2	0.002
music	beauty	fly	sky	6	0.006
music	beauty	beauty	flower	8	0.008
music	beauty	spin	skirt	3	0.003
music	beauty	fly	feather	3	0.003
music	beauty	flower	fly	4	0.004
music	beauty	flower	skirt	21	0.021
music	beauty	skirt	beauty	10	0.01
music	beauty	feather	sky	6	0.006
music	beauty	fly	skirt	3	0.003
music	beauty	feather	fly	1	0.001
music	beauty	NA	NA	259	0.259
