B_dom	B_cod	A_dom	A_cod	count	probability
dancer	feather	butterfly	spin	90	0.09
dancer	feather	butterfly	fly	50	0.05
dancer	feather	butterfly	skirt	157	0.157
dancer	feather	butterfly	feather	300	0.3
dancer	feather	butterfly	beauty	20	0.02
dancer	feather	butterfly	sky	122	0.122
dancer	feather	butterfly	dance	45	0.045
dancer	feather	NA	NA	216	0.216
dancer	music	butterfly	beauty	255	0.255
dancer	music	butterfly	sky	44	0.044
dancer	music	butterfly	dance	285	0.285
dancer	music	butterfly	skirt	13	0.013
dancer	music	butterfly	flower	78	0.078
dancer	music	butterfly	spin	47	0.047
dancer	music	butterfly	fly	42	0.042
dancer	music	butterfly	feather	20	0.02
dancer	music	NA	NA	216	0.216
music	feather	beauty	spin	27	0.027
music	feather	beauty	fly	36	0.036
music	feather	sky	skirt	10	0.01
music	feather	beauty	skirt	62	0.062
music	feather	dance	feather	136	0.136
music	feather	beauty	feather	92	0.092
music	feather	sky	beauty	1	0.001
music	feather	dance	sky	64	0.064
music	feather	skirt	feather	4	0.004
music	feather	flower	skirt	7	0.007
music	feather	spin	feather	20	0.02
music	feather	spin	sky	16	0.016
music	feather	skirt	dance	2	0.002
music	feather	fly	feather	17	0.017
music	feather	dance	spin	25	0.025
music	feather	dance	beauty	11	0.011
music	feather	sky	dance	17	0.017
music	feather	spin	skirt	9	0.009
music	feather	dance	skirt	49	0.049
music	feather	beauty	sky	30	0.03
music	feather	flower	feather	23	0.023
music	feather	flower	spin	23	0.023
music	feather	fly	skirt	16	0.016
music	feather	fly	spin	1	0.001
music	feather	sky	feather	8	0.008
music	feather	feather	spin	4	0.004
music	feather	feather	skirt	4	0.004
music	feather	flower	dance	9	0.009
music	feather	skirt	fly	4	0.004
music	feather	feather	dance	5	0.005
music	feather	feather	fly	1	0.001
music	feather	fly	beauty	5	0.005
music	feather	flower	sky	7	0.007
music	feather	flower	fly	9	0.009
music	feather	sky	spin	8	0.008
music	feather	spin	beauty	1	0.001
music	feather	beauty	dance	8	0.008
music	feather	feather	beauty	2	0.002
music	feather	skirt	sky	1	0.001
music	feather	fly	dance	3	0.003
music	feather	spin	dance	1	0.001
music	feather	feather	sky	4	0.004
music	feather	skirt	spin	2	0.002
music	feather	NA	NA	216	0.216
